method_key,method,wall_time,steps,target_steps,percent,steps_per_second,eta_minutes,recent_episode_reward_mean,approx_kl,clip_fraction,entropy_loss,policy_gradient_loss,value_loss,explained_variance,learning_rate,n_updates,std,log_std_mean,log_std_min,log_std_max,variant,training_seed
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 08:02:59,1059908,1500000,70.66053333333333,220.66618838392645,33.239649084367585,33.623253,0.02290422096848488,0.20712890625,-4.886830422282219,-0.00885072539531393,3.5887686274945736,0.6539612412452698,0.0003,2580.0,1.2630865573883057,0.2067202478647232,-0.11238794028759003,0.4530203342437744,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 08:07:59,1126784,1500000,75.11893333333333,220.7983760690833,28.171704780656864,30.331233899999997,0.03749847412109375,0.26220703125,-5.0455496370792385,-0.004054918547626585,4.704829531908035,0.6257116794586182,0.0003,2750.0,1.3343616724014282,0.26227328181266785,-0.0551203116774559,0.5013023018836975,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 08:12:59,1193404,1500000,79.56026666666666,220.8682875907709,23.135658763294792,28.11556034,0.031480975449085236,0.226611328125,-5.164353847503662,-0.005077032523695379,5.4227326899766926,0.5869578123092651,0.0003,2910.0,1.4010854959487915,0.3036940097808838,-0.05800573155283928,0.5731124877929688,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 08:17:59,1261392,1500000,84.0928,221.17061717516887,17.98068862307484,28.397540480000004,0.0213305726647377,0.1895263671875,-5.257731679081917,-0.011019356027827599,4.902318186312914,0.6064881086349487,0.0003,3070.0,1.4615840911865234,0.3378891050815582,-0.06279552727937698,0.6453316807746887,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 08:22:59,1326592,1500000,88.43946666666666,220.97866103245644,13.078789236164491,29.649222920000003,0.02512921206653118,0.1959716796875,-5.376286011934281,-0.009780953128938563,8.021134296059609,0.637742817401886,0.0003,3230.0,1.521550178527832,0.3737640380859375,-0.041694000363349915,0.70669025182724,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 08:27:59,1393296,1500000,92.8864,221.04322501058985,8.045485220887452,27.584166240000005,0.04743749648332596,0.2604248046875,-5.431752184033394,-0.007703394768759609,9.615967018902301,0.39375871419906616,0.0003,3400.0,1.5673598051071167,0.39622601866722107,-0.04163995757699013,0.7674053311347961,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 08:32:59,1460384,1500000,97.35893333333334,221.16058387304324,2.985462667460181,29.640457160000004,0.026503905653953552,0.2072998046875,-5.589041328430175,-0.011209002402029,5.439318180829287,0.6133389472961426,0.0003,3560.0,1.6718430519104004,0.4513694941997528,-0.02389173023402691,0.8560231924057007,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 06:47:57,66792,1500000,4.4528,222.63054853020355,107.29345167453224,14.945649340000003,0.00899875070899725,0.0941162109375,-4.04152989089489,-0.006263862120977137,8.949113431572915,0.5713022947311401,0.0003,160.0,0.9334717392921448,-0.07139165699481964,-0.1702752560377121,-0.001628611353226006,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 06:52:57,134572,1500000,8.971466666666666,224.28133435535545,101.46690717149254,22.2477835,0.014499111101031303,0.114599609375,-4.035790061950683,-0.005898695047653746,7.142840427160263,0.6063151359558105,0.0003,320.0,0.9307145476341248,-0.07645703107118607,-0.20801062881946564,0.02402695268392563,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 06:57:57,200400,1500000,13.36,222.66251037691205,97.27726487649414,23.42227508,0.013007886707782745,0.130078125,-3.953695921599865,-0.007506008239579387,7.273945370316506,0.7090383768081665,0.0003,480.0,0.907454788684845,-0.10222294181585312,-0.2426687628030777,-0.0029027906712144613,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:02:59,266244,1500000,17.7496,221.44548245109945,92.85626318676753,27.923627619999998,0.009565840475261211,0.1087646484375,-3.9936859220266343,-0.007212904361949768,6.9372080489993095,0.603942334651947,0.0003,650.0,0.9187677502632141,-0.09006691724061966,-0.21833257377147675,0.03523290157318115,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:07:59,331688,1500000,22.11253333333333,220.78458910905277,88.1939574915207,27.039165680000007,0.01532125473022461,0.15419921875,-4.017366966605186,-0.007762540748808533,7.146565772593021,0.42900216579437256,0.0003,800.0,0.9312995076179504,-0.08028700202703476,-0.24610444903373718,0.08499978482723236,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:12:59,397960,1500000,26.530666666666665,220.80398503356176,83.18388515742384,28.20701942,0.020410854369401932,0.1691162109375,-4.01784456372261,-0.005592972072190605,7.475410661101341,0.6119007468223572,0.0003,970.0,0.931331217288971,-0.07836804538965225,-0.21091724932193756,0.07894451916217804,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:17:59,465480,1500000,31.032,221.41056171949486,77.8734305450338,28.183038980000003,0.022434774786233902,0.2126220703125,-4.070825606584549,-0.008166312453977299,8.779855419695377,0.5507224798202515,0.0003,1130.0,0.9480652809143066,-0.06237981840968132,-0.20611579716205597,0.11565917730331421,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:22:59,531680,1500000,35.44533333333333,221.31704897391944,72.92102773595398,27.74146678,0.018255965784192085,0.1740234375,-4.178187370300293,-0.0047691409068647776,5.929984086751938,0.5834671258926392,0.0003,1290.0,0.9904477000236511,-0.024474168196320534,-0.19299228489398956,0.20886631309986115,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:27:59,596376,1500000,39.7584,220.68805743782534,68.24293156073016,26.434302020000004,0.021263103932142258,0.1978271484375,-4.277675539255142,-0.01094343624281464,7.813537800312043,0.5698598027229309,0.0003,1450.0,1.02353036403656,0.00383574771694839,-0.19531624019145966,0.2680332362651825,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:32:59,660380,1500000,44.025333333333336,219.9532820485676,63.62108597032321,32.8891692,0.02971418760716915,0.2214599609375,-4.34403195977211,-0.005624309215636458,3.591875001043081,0.6687884330749512,0.0003,1610.0,1.0557125806808472,0.0325918011367321,-0.14582161605358124,0.31834086775779724,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:37:59,727216,1500000,48.48106666666666,220.21003643587053,58.4884028984036,30.535722479999993,0.026254283264279366,0.212548828125,-4.486392238736153,-0.0003286176943220198,5.260360322892666,0.46615439653396606,0.0003,1770.0,1.0999614000320435,0.07490970939397812,-0.0836399644613266,0.3539409637451172,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:42:59,791088,1500000,52.7392,219.60156532396337,53.802895177772676,29.48927278,0.020232927054166794,0.1687744140625,-4.565581995248794,-0.0024870624067261813,5.878195233643055,0.5856482982635498,0.0003,1930.0,1.1290796995162964,0.10515660047531128,-0.030890075489878654,0.3551817834377289,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:47:59,857468,1500000,57.16453333333333,219.7291384644661,48.736670709690465,31.057492160000006,0.017253022640943527,0.171337890625,-4.686921620368958,-0.005103329227131326,4.9940365716815,0.5715318918228149,0.0003,2090.0,1.1747428178787231,0.14072668552398682,-0.0651148185133934,0.4102119505405426,stab_s2d_gated,2
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:52:59,923752,1500000,61.583466666666666,219.81594604564552,43.69170438317065,29.59471126,0.016129611060023308,0.150048828125,-4.666478526592255,-0.006237511432846077,4.7767667718231674,0.630009114742279,0.0003,2250.0,1.1769932508468628,0.14241264760494232,-0.060706425458192825,0.4146321713924408,stab_s2d_gated,2
