method,checkpoint,checkpoint_step,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc
attention_full,attention_full_1500k,1500000,eval_flow_high_threat,linear,medium,283,0.4204946996466431,0.4416961130742049,2.8581019704524615,1.656426745493415
attention_full,attention_full_1500k,1500000,eval_flow_high_threat,sinusoidal_lateral,high,697,0.32711621233859395,0.351506456241033,3.246977698853506,1.6248022500939683
attention_full,attention_full_1500k,1500000,eval_flow_high_threat,sinusoidal_lateral,low,153,0.16993464052287582,0.21568627450980393,2.863754724219344,1.3614705979464707
attention_full,attention_full_1500k,1500000,eval_flow_high_threat,sinusoidal_lateral,medium,523,0.23518164435946462,0.2734225621414914,3.2217499945743677,1.4910522405205304
attention_full,attention_full_1500k,1500000,eval_flow_id,accel_decel,high,509,0.3320235756385069,0.3654223968565815,2.917299409318269,1.867716299144288
attention_full,attention_full_1500k,1500000,eval_flow_id,accel_decel,low,223,0.16143497757847533,0.16591928251121077,3.4500633622436143,2.1086280136807027
attention_full,attention_full_1500k,1500000,eval_flow_id,accel_decel,medium,634,0.3422712933753943,0.3659305993690852,2.679322725470025,2.1659064629904434
attention_full,attention_full_1500k,1500000,eval_flow_id,ar1_velocity,high,377,0.46684350132625996,0.5039787798408488,2.6671860525057225,2.0831623968032993
attention_full,attention_full_1500k,1500000,eval_flow_id,ar1_velocity,low,335,0.09850746268656717,0.10746268656716418,4.210476230365683,1.7876240721120347
attention_full,attention_full_1500k,1500000,eval_flow_id,ar1_velocity,medium,447,0.3042505592841163,0.32662192393736017,3.3811676826575976,2.083208253410315
attention_full,attention_full_1500k,1500000,eval_flow_id,crossing_or_sudden_threat,high,144,0.2847222222222222,0.3055555555555556,3.183790556206885,1.9912002741355639
attention_full,attention_full_1500k,1500000,eval_flow_id,crossing_or_sudden_threat,low,33,0.06060606060606061,0.06060606060606061,5.648063587419914,2.3334330323452703
attention_full,attention_full_1500k,1500000,eval_flow_id,crossing_or_sudden_threat,medium,310,0.1032258064516129,0.11935483870967742,3.286742778482937,2.310674964625545
attention_full,attention_full_1500k,1500000,eval_flow_id,linear,high,280,0.43214285714285716,0.4642857142857143,3.108608226819862,1.8772929929996933
