method,checkpoint,checkpoint_step,seed,scenario,episode_id,episode_seed,success,collision,near_miss,mean_min_distance,episode_min_distance,mean_time,episode_length,progress,planned_cpa,planned_ttc,threat_class,threat_motion_mode,threat_valid_rate,replacement_count,episode_reward,raw_unsafe_action_rate,nan_or_crash
attention_full,attention_full_1500k,1500000,0,eval_flow_id,12,1012,1,0,1,6.248773810932938,1.1968291997909546,20.6,103,0.9842488476770851,0.8208413577378235,6.285274972062412,high,accel_decel,1.0,23,42.856076162603735,0.30097087378640774,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,13,1013,1,0,1,3.8010940854100213,1.1836193799972534,27.6,138,0.9839721424792188,0.671012955022393,0.8,high,linear,1.0,49,42.34318642909891,0.38405797101449274,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,14,1014,0,1,1,5.641653793464814,0.42260870337486267,22.400000000000002,112,0.9554559793470534,0.7847640197166914,4.204908969045995,high,crossing_or_sudden_threat,1.0,22,21.78785806517788,0.23214285714285715,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,15,1015,1,0,1,5.326233307339928,0.7462670207023621,22.0,110,0.9817788305978411,0.49375820772905044,7.359583083549457,high,sinusoidal_lateral,1.0,38,42.68409278939785,0.35454545454545455,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,16,1016,1,0,0,5.596901741682315,1.8645215034484863,20.400000000000002,102,0.9857630671543613,0.3568859894663299,7.856541651433258,high,linear,1.0,40,42.928456500336736,0.11764705882352941,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,17,1017,0,1,1,4.933388080161351,0.6177201867103577,20.8,104,0.9654230284425032,1.5936141421104775,4.627588637105525,medium,ar1_velocity,1.0,26,22.10357948284836,0.2692307692307692,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,18,1018,1,0,1,3.747996579683744,1.0330320596694946,26.0,130,0.9889542641724801,0.5552567512844722,0.8,high,crossing_or_sudden_threat,1.0,50,42.675252097370205,0.3153846153846154,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,19,1019,1,0,1,4.832947360781523,1.1192820072174072,20.8,104,0.9814414210034362,0.47578484078113303,4.947797876892393,high,ar1_velocity,1.0,40,42.75694105287726,0.33653846153846156,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,20,1020,1,0,1,3.902520117006804,1.0410727262496948,22.8,114,0.9786108102675828,0.5257214930723092,5.203293758590041,high,ar1_velocity,1.0,47,42.50446523456711,0.3157894736842105,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,21,1021,1,0,1,6.722328702608745,0.6793023347854614,21.0,105,0.987548757264524,0.4265351208355513,0.8,high,linear,1.0,34,42.93489583915698,0.2761904761904762,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,22,1022,0,1,1,4.77036947680411,0.5870534181594849,21.400000000000002,107,0.9498587459693796,0.3613274973226275,7.1048978578652795,high,accel_decel,1.0,38,21.629310892886437,0.24299065420560748,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,23,1023,0,1,1,5.417542407813581,0.34790730476379395,20.6,103,0.9868377293748415,0.37479664324960404,8.566729186835058,high,accel_decel,1.0,26,22.962894562524987,0.23300970873786409,0
