step,scenario,risk_reference_method,wide_method,wide_beta,delta_mean_time_risk5_minus_wide,delta_near_miss_risk5_minus_wide,delta_min_distance_risk5_minus_wide,delta_collision_risk5_minus_wide,delta_success_risk5_minus_wide,delta_reaction_risk5_minus_wide,wide_covers_risk5,best_cover_method
500000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.09199999999999875,-0.14,0.4920966571569443,-0.04,0.040000000000000036,0.05199999999999999,False,
500000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.016000000000000014,0.0,0.16333863854408204,0.0,0.0,0.07200000000000006,False,
500000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-0.7560000000000002,-0.08,-0.11385180592536903,-0.02,0.020000000000000018,0.07200000000000001,False,
500000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
750000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.02400000000000091,0.0,0.0660268688201906,0.0,0.0,,False,
750000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.2239999999999993,0.0,-0.06799967050552347,0.0,0.0,,False,
750000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.7440000000000007,0.0,-0.3976077198982235,0.0,0.0,,False,
750000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
750000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.0840000000000014,0.0,0.014516837596893595,0.0,0.0,,True,
750000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.2999999999999998,0.0,-0.11668218374252293,0.0,0.0,,False,
750000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.7159999999999984,-0.02,-0.43218879044055925,-0.02,0.020000000000000018,,False,
750000,eval_ar1,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,True,attention_full_distance_penalty_wide_d2_beta2
750000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.37600000000000033,-0.1,0.5715715032815933,-0.04,0.040000000000000036,-0.01600000000000007,False,
750000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.0600000000000005,-0.04,0.22541514277458186,0.0,0.0,-0.015999999999999986,False,
