method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,logvar_hat_9_clamped,0,3165,28485,0,0,12.77263395240145,13.282674789428711,14.352508163452148,15.0,4.964241453369647,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,full_aug_obs,0,3165,297510,0,0,29.17025314258738,29.495086669921875,41.37719955444336,48.374908447265625,9.46803433205844,13.29890327453613,15.89680290222168
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,obs_i_12,0,8960,107520,0,0,1.4324114729384227,1.4203071594238281,1.9020097374916074,2.366580009460449,0.8370912494337452,1.0263638019561767,1.445804476737976
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,z_i_64_raw,0,8960,573440,0,0,27.14513637295791,27.271839141845703,39.23638362884522,48.74509811401367,9.769884271786681,13.433623600006102,16.671024322509766
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,z_i_64_after_norm,0,8960,573440,0,0,27.14513637295791,27.271839141845703,39.23638362884522,48.74509811401367,9.769884271786681,13.433623600006102,16.671024322509766
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,delta_hat_9_after_scale,0,8960,80640,0,0,1.3340268357498903,1.3055954575538635,2.014271950721741,3.5436439514160156,1.0401273632014636,1.536526179313659,2.95638370513916
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,logvar_hat_9_clamped,0,8960,80640,0,0,12.973968703885163,13.414324283599854,14.410406446456909,15.0,4.9768566097798095,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,full_aug_obs,0,8960,842240,0,0,30.251027071795292,30.411019325256348,41.79041881561279,50.97077941894531,9.774739639487649,13.433623600006102,16.671024322509766
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,high,obs_i_12,0,4444,53328,0,0,1.4293325051705543,1.4223088026046753,1.9206458926200867,2.2605226039886475,0.8669617654341604,1.1122566878795623,1.3671412467956543
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,high,z_i_64_raw,0,4444,284416,0,0,25.66310412104767,24.785149574279785,39.51112174987791,48.1569938659668,9.218436076392148,13.565958738327025,16.42435646057129
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,high,z_i_64_after_norm,0,4444,284416,0,0,25.66310412104767,24.785149574279785,39.51112174987791,48.1569938659668,9.218436076392148,13.565958738327025,16.42435646057129
