method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_750k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_750k.zip,750000,750k,high,293,0.4778156996587031,0.5221843003412969,0.4197952218430034,0.9386262164121563,5.547188130240363,0.7607997082199253,109.7679180887372,30.709584655406818,0.22736948242149221,0.25667233286873964,1.5196073696279944,0.09017601935634463,0.0,3.6128335221683905,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_750k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_750k.zip,750000,750k,medium,7,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.9539450416884747,5.830584148429314,0.9410475024155208,111.42857142857143,33.030594307780476,0.19303180538794326,0.23888276773907294,1.5273522817990437,0.08861886444310528,0.0,3.9298643159728583,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/best_by_eval.zip,1500000,best_by_eval,high,290,0.503448275862069,0.496551724137931,0.4689655172413793,0.9247396026367855,5.228824408842958,0.7434084016701271,110.70689655172414,30.762944479354445,0.26385668569964,0.2980471001341908,1.5653949320259817,0.09029876235458027,0.0,3.2164098570454027,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/best_by_eval.zip,1500000,best_by_eval,medium,10,0.6,0.4,0.5,0.962952749650632,5.154815909878813,0.8302385449409485,114.4,34.003453110701315,0.23508202753119756,0.2696965062530422,1.5531023737788323,0.09703070932863198,0.0,3.161218194799073,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,final,high,290,0.503448275862069,0.496551724137931,0.4689655172413793,0.9247396026367855,5.228824408842958,0.7434084016701271,110.70689655172414,30.762944479354445,0.26385668569964,0.2980471001341908,1.5653949320259817,0.09029876235458027,0.0,3.2164098570454027,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,final,medium,10,0.6,0.4,0.5,0.962952749650632,5.154815909878813,0.8302385449409485,114.4,34.003453110701315,0.23508202753119756,0.2696965062530422,1.5531023737788323,0.09703070932863198,0.0,3.161218194799073,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/parent_500k.zip,500000,parent_500k,high,288,0.4756944444444444,0.5243055555555556,0.4583333333333333,0.9389523459284115,5.505889675223046,0.721582897602477,106.51388888888889,30.701548477601207,0.22948344693380365,0.26244788910338873,1.4806378476604385,0.08322958470731452,0.0,3.5831505195877926,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/parent_500k.zip,500000,parent_500k,medium,12,0.5833333333333334,0.4166666666666667,0.5,0.9650297910723316,5.603068923625283,0.7604498962561289,113.0,33.783956534673074,0.2041367591006584,0.24365937829155346,1.4657163909908524,0.08167891956992561,0.0,3.874145687306811,0
z2_old_n3z2c,gpsi_z_layernorm_alpha_0p5_old_n3z2c,z2_old_n3z2c_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2c_layernorm_alpha0p5_s0/final.zip,1500000,old_final,high,295,0.44745762711864406,0.5525423728813559,0.37966101694915255,0.9244228643548013,5.508830810604338,0.7662352429608167,114.16949152542372,29.525661389959794,0.27916180758085113,0.3157385978546972,1.6211065067830837,0.08807642900377353,0.0,3.3831313071007294,0
z2_old_n3z2c,gpsi_z_layernorm_alpha_0p5_old_n3z2c,z2_old_n3z2c_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2c_layernorm_alpha0p5_s0/final.zip,1500000,old_final,medium,5,0.6,0.4,0.4,0.9797779939663156,6.134771110716966,0.9404193162918091,137.6,34.427973886657654,0.15675762003892152,0.19768210020877075,1.622681216218989,0.09184386962853257,0.0,4.057365497897274,0
