method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,seed,scenario,episode_id,episode_seed,success,collision,near_miss,mean_min_distance,episode_min_distance,episode_length,progress,planned_cpa,planned_ttc,threat_class,threat_motion_mode,threat_valid_rate,replacement_count,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,raw_min_predicted_cpa,action_norm,action_delta,no_response_rate,nan_or_crash
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,21,1021,1,0,1,4.618253053970707,0.8040280342102051,103,0.9852016795601921,0.3879999230450411,0.8,high,crossing_or_sudden_threat,1.0,37,42.920714359452326,0.3883495145631068,0.4563106796116505,1.7806047562473608,1.0624182826106987,0.08835879590778241,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,22,1022,0,1,0,5.807413943019914,0.543758749961853,81,0.7359578459377405,0.490438754565465,4.225058102020984,high,sinusoidal_lateral,1.0,29,14.160344174745562,0.38271604938271603,0.41975308641975306,3.236131996307292,1.0974858623963815,0.07890167279617379,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,23,1023,1,0,1,4.105796360006236,0.9739058017730713,99,0.9817878627551643,0.3985598809722912,6.091755537751878,high,sinusoidal_lateral,1.0,29,42.845004411578124,0.36363636363636365,0.3838383838383838,1.8063863860537308,1.1306055471150562,0.06921073093579969,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,24,1024,0,1,0,5.032459927832379,0.46638113260269165,68,0.6644551788900788,0.6441124150844717,7.161068321276094,high,accel_decel,1.0,19,11.716722390651357,0.20588235294117646,0.23529411764705882,2.9230940116240696,1.1779551777769537,0.05760082839440335,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,25,1025,0,1,0,4.744668647166221,0.5987895727157593,93,0.9574509661393552,0.3590618417801452,6.6878610395520575,high,ar1_velocity,1.0,39,20.402246942353365,0.20430107526881722,0.2903225806451613,2.7383886055760485,1.1836033700614847,0.06291429166211396,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,26,1026,0,1,0,4.11539414110063,0.6283286809921265,79,0.74830542584561,0.39346104835771606,6.60532105141858,high,accel_decel,1.0,28,14.861931575279314,0.620253164556962,0.6455696202531646,1.2697756712242394,1.1643737984609,0.06554784771656216,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,27,1027,0,1,0,4.306444622661876,0.4967232048511505,87,0.8931612625703176,0.7835036041560564,5.546632240409625,high,sinusoidal_lateral,1.0,25,19.77585507459743,0.21839080459770116,0.25287356321839083,2.8100942157572883,1.1234806495151302,0.07175369266334963,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,28,1028,1,0,1,6.236613845229149,0.9657637476921082,100,1.0,0.4505571128805232,5.560281016025177,high,sinusoidal_lateral,1.0,25,42.78242113432965,0.1,0.26,3.2555925130844114,1.1958385550975799,0.07301772266975604,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,29,1029,1,0,1,4.8823188035795,1.1043214797973633,101,1.0,0.5755102532664891,3.267629282813283,high,crossing_or_sudden_threat,1.0,56,42.720430234180895,0.2376237623762376,0.24752475247524752,2.943992216785503,1.1793729922559002,0.08390540525427845,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,30,1030,1,0,1,4.429933196366435,1.0585086345672607,99,0.9874807123975184,0.37493606649942923,7.592447652316435,high,ar1_velocity,1.0,26,43.03871031945324,0.32323232323232326,0.41414141414141414,2.194801716830092,1.1018206103883608,0.08346357856021085,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,31,1031,0,1,0,5.285302172616585,0.5797145962715149,97,0.9573981673682772,0.6361170624940268,6.615846233048037,high,sinusoidal_lateral,1.0,41,20.592839240348113,0.4845360824742268,0.5360824742268041,2.3079522744363614,1.2377815308030118,0.06094114676348327,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,32,1032,1,0,1,4.528926704444137,1.2617841958999634,102,1.0,0.6374602855332904,4.5417040525662715,high,sinusoidal_lateral,1.0,49,42.85494551808591,0.1568627450980392,0.2549019607843137,3.2181246447212555,1.2441863990297504,0.06371829772422857,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,33,1033,1,0,1,5.218839048743248,0.7790887355804443,100,1.0,0.6056094289614111,4.891799659777217,high,crossing_or_sudden_threat,1.0,23,42.82353830311983,0.31,0.31,3.052690517222509,1.2289832246303558,0.068686678186059,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,34,1034,0,1,0,4.688745673745871,0.36199501156806946,24,0.19493240367188158,0.46273219214393846,4.108090685386823,high,crossing_or_sudden_threat,1.0,7,-4.286547545015641,0.9166666666666666,0.9166666666666666,0.3904142774408683,1.4548978606859844,0.10203220051092406,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,35,1035,0,1,0,4.420612776906867,0.6431296467781067,95,0.9441209837756377,0.3830420592968698,3.8522968368658037,high,ar1_velocity,1.0,29,21.58920308081415,0.29473684210526313,0.4,2.4984481346450353,1.147155179475483,0.07387433082943684,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,36,1036,0,1,0,5.9262258011102675,0.5015279054641724,100,0.9650719586540671,1.6994111427287422,3.201641698052199,medium,accel_decel,1.0,21,22.243826268793494,0.23,0.25,3.784399679750204,1.1108548521995545,0.09165057697799056,0.0,0
