run_name,method,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,reaction_time_eval_style,reaction_time_nan_style,reaction_time,min_distance_after_turn,nan_reaction_rate,no_response_count,total_episodes
attention_full_distance_penalty,attention_full_distance_penalty,1000000,eval_sudden_turn,1.0,0.0,0.9591919720172882,0.6,6.56,22.065556565760925,0.0003934581927751071,0.0,0.0,0.0012879465823061602,0.010272648050775119,0.054440712649375146,0.0026706364331793566,0.15481002607848493,0.24727801904082297,0.4945736199617386,0.05356431123800569,0.0019344487196512367,0.154234278621152,0.24508302100002766,0.48973007649183276,11.46,0.5142857142857145,11.46,1.4508651554584504,0.3,3.0,10.0
attention_full_distance_penalty,attention_full_distance_penalty,1000000,mixed_uncertainty,0.8,0.2,0.9333475768566132,0.6,6.639999999999999,18.017783203558782,0.0031905963536700945,0.0,0.00868600400572174,0.02022609277046282,0.05356741377632266,0.1030577866360545,0.006818101780663659,0.4146637260913849,0.5206188730895519,0.6222127236425876,0.0973750609904527,0.00678591694631901,0.3969834767282009,0.4833411231637001,0.5759510964155197,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.9564211308956146,0.0,0.0,10.0
attention_full_risk_penalty,attention_full_risk_penalty,250000,eval_sudden_turn,0.1,0.0,2.3754258036613463,0.0,39.0,8.068444999634844,0.0,0.0,0.0,0.0,0.0,0.0013619187843197582,1.5051318384177916e-16,0.0015170860324098322,0.006123383709882953,0.056499094199871494,0.0013619187843197582,1.5051318384177916e-16,0.0015170860324098322,0.006123383709877269,0.056499094199871494,0.2000000000000001,0.2000000000000001,0.2000000000000001,3.0718982338905336,0.0,0.0,10.0
attention_full_risk_penalty,attention_full_risk_penalty,250000,mixed_uncertainty,0.8,0.0,2.2075477957725527,0.0,32.6,17.086265276557278,0.0,0.0,0.0,0.0,0.0,1.2264065136186997e-05,1.6247886597727035e-33,1.388224052611411e-13,7.373154260949672e-09,0.001571883262401925,1.2264065134238728e-05,1.6247886597727035e-33,1.3882240523930354e-13,7.373154260949672e-09,0.001571883262401925,0.2000000000000001,0.2000000000000001,0.2000000000000001,2.2975512623786924,0.0,0.0,10.0
attention_full_risk_penalty,attention_full_risk_penalty,750000,eval_sudden_turn,1.0,0.0,1.9412737011909484,0.0,8.04,21.988484683439843,0.0,0.0,0.0,0.0,0.0,0.00023859041323716557,9.83241736167541e-10,5.200997051189658e-05,0.0006364799217002699,0.00724465615587912,0.0002385705030794589,9.832411815423952e-10,5.200819013375722e-05,0.0006364637371567868,0.0072446252421996815,0.2000000000000001,0.2000000000000001,0.2000000000000001,2.723885440826416,0.0,0.0,10.0
attention_full_risk_penalty,attention_full_risk_penalty,750000,mixed_uncertainty,0.9,0.1,1.1386321187019348,0.3,8.200000000000001,19.82177268719131,0.0023600327840540398,0.0,0.00121331689879298,0.016056724078953262,0.04276161218035453,0.040189600725170714,1.510809976669947e-12,0.20796445034902716,0.2411152121545456,0.31845011109980986,0.0375480029144455,1.4701062081891928e-12,0.1906950330187101,0.22975977034584502,0.30301437763992,0.2000000000000001,0.2000000000000001,0.2000000000000001,1.1386321187019348,0.0,0.0,10.0
attention_full_risk_penalty,attention_full_risk_penalty,1000000,eval_sudden_turn,1.0,0.0,1.8395750045776367,0.0,7.5,21.96838589367804,0.0,0.0,0.0,0.0,0.0,0.0003166614649671599,5.562551833559177e-07,0.00036664708354690854,0.0012455329335352484,0.007050254393106981,0.00031606272868881104,5.562547621050146e-07,0.0003665861559511341,0.0012335371568041984,0.007047709705511761,0.2000000000000001,0.2000000000000001,0.2000000000000001,2.497866678237915,0.0,0.0,10.0
attention_full_risk_penalty,attention_full_risk_penalty,1000000,mixed_uncertainty,1.0,0.0,1.2809289515018463,0.3,8.18,21.807173875522015,0.0007671145140193236,0.0,1.136258579208e-05,0.00239373631775379,0.018592227291772533,0.019885017448748567,1.4169079334500731e-12,0.02468932236216756,0.14514504464770822,0.37554940639988105,0.017776357240682085,1.4169079334500731e-12,0.02468932189650627,0.14514503848933202,0.29331176339379395,0.2000000000000001,0.2000000000000001,0.2000000000000001,1.2809289515018463,0.0,0.0,10.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,250000,eval_sudden_turn,0.6,0.0,2.283394420146942,0.0,26.880000000000003,15.398366758567231,0.0,0.0,0.0,0.0,0.0,0.00011290885310534559,3.9357045223558365e-22,9.517820489571839e-09,1.4966910638431786e-06,0.010524047901815594,0.00011290885301439612,3.9356899775230063e-22,9.517820489571839e-09,1.4966910638431786e-06,0.010524047901815594,0.2000000000000001,0.2000000000000001,0.2000000000000001,3.107437753677368,0.0,0.0,10.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,250000,mixed_uncertainty,0.7,0.0,2.0237995266914366,0.0,33.3,16.359245531452277,0.0,0.0,0.0,0.0,0.0,0.00033484835439042055,2.1443209723447184e-36,1.2273453274046412e-11,9.968316958664005e-09,0.033160693512057526,0.00033484835264035344,2.1443209723447184e-36,1.2273453100443036e-11,9.907484730520324e-09,0.033160693512057526,0.2000000000000001,0.2000000000000001,0.2000000000000001,2.062095081806183,0.0,0.0,10.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,750000,eval_sudden_turn,1.0,0.0,1.9500938653945923,0.0,8.080000000000002,21.906177857024307,0.0,0.0,0.0,0.0,0.0,0.0006619976776974467,1.3045196484775896e-08,0.0016669056680237344,0.0024905467501241253,0.011314902005278746,0.0006619854635587631,1.304519241522606e-08,0.0016669054455044868,0.002490545426743254,0.011314896642943459,0.2000000000000001,0.2000000000000001,0.2000000000000001,2.713192641735077,0.0,0.0,10.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,750000,mixed_uncertainty,0.9,0.1,1.1107681155204774,0.5,8.56,19.762233456506532,0.0014247329185309203,0.0,0.0,0.00286650042980909,0.04189219614284522,0.048141857048854306,2.2068478482254602e-13,0.1763289795902276,0.3580113188094458,0.5385869621119695,0.044750735209642276,2.2068478482246847e-13,0.16597396802906222,0.3257194301308971,0.5006367702268676,0.2000000000000001,0.2000000000000001,0.2000000000000001,1.1107681155204774,0.0,0.0,10.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,1000000,eval_sudden_turn,1.0,0.0,1.966444993019104,0.0,7.6,21.959653765171918,0.0,0.0,0.0,0.0,0.0,0.0004081633106806865,8.915012112231422e-07,0.0004786481346769395,0.0010587592252420102,0.010077587653722691,0.0004078208779773404,8.915011836964848e-07,0.0004785179624803618,0.0010564838785853234,0.010075815232698878,0.2000000000000001,0.2000000000000001,0.2000000000000001,2.3182422161102294,0.0,0.0,10.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,1000000,mixed_uncertainty,1.0,0.0,1.0208519995212555,0.6,8.18,21.788661789225767,0.0010051602221210262,0.0,0.0,0.0053820291534066094,0.02438222514674456,0.043875487566014074,3.773449589508388e-09,0.09418750099557066,0.3270320463626717,0.6663418728335102,0.03906839149819804,3.773449589508388e-09,0.08534330680685662,0.29341930632284624,0.582669385097762,0.2000000000000001,0.2000000000000001,0.2000000000000001,1.0208519995212555,0.0,0.0,10.0
