run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,std_min_distance,mean_time,mean_episode_reward,mean_reaction_time,std_reaction_time,nan_rate_reaction_time,mean_min_distance_after_turn,mean_risk_at_turn,mean_risk_max_after_turn,mean_risk_rise_time_0p3,mean_risk_rise_time_0p5,nan_rate_risk_rise_0p5,mean_sigma_trace_at_turn,mean_sigma_trace_max_after_turn,mean_sigma_rise_time_2x,mean_R_sum_at_turn,mean_R_sum_max_after_turn,mean_R_bar_at_turn,mean_R_bar_max_after_turn,mean_w_risk_at_turn,mean_w_risk_max_after_turn,turning_obstacle_top1_rate_after_turn
Rgate8_lambda015_RbarFloor03,0,500k,random,0.99,0.01,1.3917498145997524,1.2369420631643167,6.6819999999999995,21.988934063451996,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,0,500k,sudden,1.0,0.0,0.9879224926233292,0.1761364527427198,6.76,22.30194292692512,10.954,16.73384895982096,0.0,1.5476773393154144,0.06312797967006809,0.07257509059485674,0.0,0.0,0.9333333333333333,1.054716187218825,1.6774710496266683,2.1500000000000004,0.07651301515029293,0.5347449940318862,0.06966552216450764,0.47017461257340704,0.8282993713528631,0.9331575860579808,0.9333333333333333
Rgate8_lambda015_RbarFloor03,1,100k,hard,0.89,0.11,0.8574522778391838,0.24639034716398422,6.75,18.524350389543926,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,1,100k,random,0.98,0.02,1.3569622841477393,0.7468350573243869,7.232000000000002,21.65893589790051,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,1,100k,sudden,0.98,0.02,1.2097558203339576,0.4098292538221825,7.226,21.536429109432124,0.216326530612245,0.16162440712835371,0.02,1.8152216336131095,0.014029197122938099,0.031477927176101025,,,1.0,1.1799871602228709,1.7492727956601553,2.0250000000000004,0.014033672478690843,0.5542635882154779,0.014011644680854094,0.46019915006143247,0.8324088315878596,0.9743465749280793,0.9333333333333333
Rgate8_lambda015_RbarFloor03,1,200k,hard,0.98,0.02,1.0112784531712533,0.22368562436793107,7.892000000000001,21.130099221579258,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,1,200k,random,1.0,0.0,1.605396476984024,0.6737612057947461,8.142,21.999562941117627,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,1,200k,sudden,1.0,0.0,1.4332803934812546,0.38581518905494777,8.101999999999999,22.00439850352648,0.2000000000000001,0.0,0.0,2.1411179918050767,0.0007026395698237958,0.01685920365932526,0.6000000000000001,,1.0,1.1347826917966206,1.8011697749296824,1.9200000000000004,0.0007093842355920027,0.3649750444796458,0.0007093765511110438,0.32627619916887535,0.7275591601928075,0.933333334326744,1.0
Rgate8_lambda015_RbarFloor03,1,300k,hard,0.98,0.02,0.9431706845760346,0.21646976298109105,7.0440000000000005,21.301966679621568,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,1,300k,random,1.0,0.0,1.485149957537651,0.6279955153126959,7.242000000000001,22.194389691493157,,,1.0,,,,,,,,,,,,,,,,
