method,seed,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,distance_warning_cost_mean,risk_sum_mean,risk_max_mean,reaction_time_eval_style,reaction_time_nan_style,reaction_time,nan_reaction_rate,mean_min_distance_after_turn,total_episodes,checkpoint_path,eval_csv_path,reused_from
attention_full_distance_penalty,0,250000,eval_random_switch,1.0,0.0,1.654870673418045,0.04,7.367999999999999,8.16646443126956e-07,0.010941292952377895,0.010911372204293996,,,,1.0,,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step250000_random.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step250000_random.csv
attention_full_distance_penalty,0,250000,eval_random_switch_hard,1.0,0.0,1.0905732655525207,0.26,7.291999999999999,0.0009587889632814804,0.028234204803593413,0.02769490987528111,,,,1.0,,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step250000_hard.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step250000_hard.csv
attention_full_distance_penalty,0,250000,eval_sudden_turn,1.0,0.0,1.5018977510929108,0.04,7.352,3.1656595911042203e-06,0.009352378790043714,0.009322412580953548,0.26400000000000007,0.26400000000000007,0.26400000000000007,0.0,2.0142375826835632,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step250000_sudden.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step250000_sudden.csv
attention_full_distance_penalty,0,250000,mixed_uncertainty,0.92,0.08,1.0149364972114563,0.52,7.216,0.0018482988526738909,0.05244397517271516,0.052140080714376424,0.2320000000000001,0.2320000000000001,0.2320000000000001,0.0,1.0149364972114563,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step250000_mixed.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step250000_mixed.csv
attention_full_distance_penalty,0,500000,eval_random_switch,1.0,0.0,1.5401763772964479,0.06,7.144000000000001,2.81517108987794e-05,0.015724895117639356,0.01563011020127535,,,,1.0,,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step500000_random.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step500000_random.csv
attention_full_distance_penalty,0,500000,eval_random_switch_hard,0.92,0.08,0.9281982898712158,0.62,6.508000000000001,0.008747402017106626,0.1116377428360283,0.10976921029388902,,,,1.0,,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step500000_hard.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step500000_hard.csv
attention_full_distance_penalty,0,500000,eval_sudden_turn,1.0,0.0,1.3306029641628265,0.14,7.0920000000000005,0.0002233873375553183,0.02133359109229782,0.021286767554963674,1.2320000000000004,0.5020408163265307,1.2320000000000004,0.02,1.91996799826622,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step500000_sudden.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step500000_sudden.csv
attention_full_distance_penalty,0,500000,mixed_uncertainty,0.98,0.02,1.0129500716924666,0.56,7.148,0.0016186389150538894,0.05688776831527289,0.056738674905127164,0.3080000000000001,0.3080000000000001,0.3080000000000001,0.0,1.0129500716924666,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step500000_mixed.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step500000_mixed.csv
attention_full_distance_penalty,0,750000,eval_random_switch,1.0,0.0,1.3091441690921783,0.12,6.8759999999999994,0.00010008906514485351,0.029068349806130062,0.028790478944520363,,,,1.0,,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step750000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step750000_random.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step750000_random.csv
attention_full_distance_penalty,0,750000,eval_random_switch_hard,0.9,0.1,0.8409916347265244,0.84,6.152,0.014855509529360203,0.144326356947422,0.14090933281928297,,,,1.0,,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step750000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step750000_hard.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step750000_hard.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,0.98,0.02,1.1184253466129304,0.32,6.704000000000001,0.0012571013748674765,0.04849029815464741,0.04821797848824641,11.032653061224492,0.6457142857142859,11.032653061224492,0.3,1.58254256606102,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step750000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step750000_sudden.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step750000_sudden.csv
attention_full_distance_penalty,0,750000,mixed_uncertainty,0.98,0.02,1.014964439868927,0.52,6.9079999999999995,0.0015865385093547801,0.05868937556049783,0.05799174847430546,2.964,0.7914893617021279,2.964,0.06,1.0243865847587585,50.0,checkpoints/gate2b/attention_full_distance_penalty_s0_step750000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step750000_mixed.csv,results/gate2b/eval/attention_full_distance_penalty_s0_step750000_mixed.csv
