method,step,scenario,mean_reaction,std_reaction,mean_success,std_success,mean_collision,std_collision,mean_near_miss,std_near_miss,mean_min_distance,std_min_distance,mean_time,std_time
attention_full_risk_penalty,500000,eval_random_switch_hard,,,1.0,0.0,0.0,0.0,0.06,0.02,1.4981677281856538,0.0401944418127501,8.934666666666667,0.29600900887191484
attention_full_risk_penalty,500000,eval_sudden_turn,0.20000000000000007,0.0,1.0,0.0,0.0,0.0,0.006666666666666667,0.011547005383792516,2.0564054628213246,0.034278971406573024,8.712000000000002,0.24123018053303424
attention_full_risk_penalty,500000,mixed_uncertainty,0.20000000000000007,0.0,0.88,0.07211102550927974,0.12,0.0721110255092798,0.46,0.10000000000000003,1.1423839869101844,0.13688934373568315,8.838666666666667,0.1639674764498536
attention_full_risk_penalty,750000,eval_random_switch,,,1.0,0.0,0.0,0.0,0.0,0.0,2.1871537089347837,0.19975952002648578,8.126666666666667,0.13794684966802745
attention_full_risk_penalty,750000,eval_random_switch_hard,,,1.0,0.0,0.0,0.0,0.05333333333333334,0.030550504633038936,1.436335867245992,0.05559269571418277,8.397333333333334,0.061492546973867114
attention_full_risk_penalty,750000,eval_sudden_turn,0.20266666666666674,0.00461880215351701,1.0,0.0,0.0,0.0,0.0,0.0,1.9130966067314148,0.003060540071720433,8.186666666666667,0.10286560811725828
attention_full_risk_penalty,750000,mixed_uncertainty,0.20666666666666675,0.008326663997864539,0.7999999999999999,0.06,0.20000000000000004,0.06,0.5666666666666668,0.06429100507328635,1.0191616412003837,0.0818058328031778,8.384,0.32518302538724236
attention_full_risk_penalty,1000000,eval_random_switch,,,1.0,0.0,0.0,0.0,0.0,0.0,2.1505717825889588,0.16839216230387735,7.810666666666666,0.07821338333900055
attention_full_risk_penalty,1000000,eval_random_switch_hard,,,1.0,0.0,0.0,0.0,0.05333333333333334,0.030550504633038936,1.4353463816642762,0.030458126642308535,8.173333333333334,0.3364362247638231
attention_full_risk_penalty,1000000,eval_sudden_turn,0.4986666666666668,0.49998933321955324,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,0.006666666666666667,0.011547005383792516,1.8872854177157083,0.01862095559151214,7.954666666666667,0.2650987237489712
attention_full_risk_penalty,1000000,mixed_uncertainty,0.20000000000000007,0.0,0.86,0.07999999999999996,0.14,0.08,0.48666666666666664,0.04163331998932266,1.074503911137581,0.04427692989679637,8.14,0.16044936896105175
