repair_stage,scenario,checkpoint_or_policy,motion_mode,threat_class,history_valid_ratio_bin,active_only,samples,delta_norm_1s_mean,delta_norm_1s_median,delta_norm_1s_p95,delta_norm_1s_max,logvar_xy_1s_mean,logvar_xy_1s_median,logvar_xy_1s_min,logvar_xy_1s_max,delta_norm_2s_mean,delta_norm_2s_median,delta_norm_2s_p95,delta_norm_2s_max,logvar_xy_2s_mean,logvar_xy_2s_median,logvar_xy_2s_min,logvar_xy_2s_max,delta_norm_4s_mean,delta_norm_4s_median,delta_norm_4s_p95,delta_norm_4s_max,logvar_xy_4s_mean,logvar_xy_4s_median,logvar_xy_4s_min,logvar_xy_4s_max,projected_std_radial_mean,projected_std_radial_std,projected_std_relvel_mean,projected_std_relvel_std,z_norm_mean,z_norm_median,z_norm_p95,z_norm_max,nan_count,inf_count
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,medium,0.25_0.5,1,37,16844.020666173987,19529.02734375,21038.341406249998,21658.90234375,-5.0,-5.0,-5.0,-5.0,39971.80051731419,61093.2265625,67182.9984375,67270.609375,-5.0,-5.0,-5.0,-5.0,89099.8489231419,135232.09375,146627.990625,147753.734375,-5.0,-5.0,-5.0,-5.0,0.08208499627338874,3.405425702657201e-09,0.08208499647475578,3.308798156307151e-09,1185994.5202702703,752375.0,1731017.325,1748251.625,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,medium,0.5_0.75,1,33,17077.468217329544,18379.73046875,22399.36640625,22608.689453125,-5.0,-5.0,-5.0,-5.0,42343.672526041664,62888.48046875,70229.2859375,71033.6953125,-5.0,-5.0,-5.0,-5.0,91341.36257102272,132480.515625,151352.346875,152220.8125,-5.0,-5.0,-5.0,-5.0,0.08208499577912418,3.5840697059097488e-09,0.08208499735955035,2.6714078328372924e-09,1213437.3276515151,861542.0625,1729609.175,1730303.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,medium,0.75_1.0,1,18,14622.260199652777,12145.9814453125,22724.2640625,22776.373046875,-5.0,-5.0,-5.0,-5.0,33075.417860243055,14814.1708984375,71801.95546874999,74435.90625,-5.0,-5.0,-5.0,-5.0,68882.10470920139,29323.3388671875,149745.29374999998,153812.703125,-5.0,-5.0,-5.0,-5.0,0.08208499766058391,2.341491583938557e-09,0.08208499683274163,3.0975022140260715e-09,1354063.6805555555,1523726.0625,1713627.425,1730988.25,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,medium,0_0.25,1,45,12729.883495189477,12790.7138671875,19432.709765625,19704.49609375,-4.623188267813789,-5.0,-5.0,-2.4026296138763428,27396.91954527961,14233.5390625,60548.3734375,61183.78125,-4.37040048705207,-5.0,-5.0,-1.0529401302337646,59657.69655922486,38976.0703125,132055.653125,133685.75,-4.169778939419323,-5.0,-5.0,0.22889310121536255,0.10955566151274575,0.061511179325652636,0.10481140083736844,0.052379885650990124,919343.7645634969,700333.6875,1742628.0,1748248.125,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,medium,1.0,1,2,10921.7177734375,10921.7177734375,11129.87529296875,11153.00390625,-5.0,-5.0,-5.0,-5.0,14096.1640625,14096.1640625,14328.76396484375,14354.6083984375,-5.0,-5.0,-5.0,-5.0,29132.099609375,29132.099609375,30483.5568359375,30633.71875,-5.0,-5.0,-5.0,-5.0,0.08208499476313591,3.725290298461914e-09,0.08208499848842621,0.0,1543837.1875,1543837.1875,1564799.81875,1567129.0,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,high,0.25_0.5,1,36,19631.743136935766,20436.22265625,22005.80810546875,23190.41796875,-5.0,-5.0,-5.0,-5.0,57999.699951171875,64944.552734375,70105.14453125,75730.734375,-5.0,-5.0,-5.0,-5.0,126620.14295789931,141633.46875,151246.72265625,155731.640625,-5.0,-5.0,-5.0,-5.0,0.0820849970397022,2.9487342571167085e-09,0.08208499745362335,2.5766383438451284e-09,880474.25,746682.375,1724389.65625,1727206.25,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,high,0.5_0.75,1,29,19307.582233297413,20174.623046875,22360.562109375,22557.79296875,-5.0,-5.0,-5.0,-5.0,58496.93083243535,66922.234375,72787.3546875,74333.953125,-5.0,-5.0,-5.0,-5.0,124192.9854525862,142325.078125,153552.58125,154461.59375,-5.0,-5.0,-5.0,-5.0,0.08208499669001021,3.1882508165853955e-09,0.08208499669001021,3.1882508165853955e-09,961202.948275862,804474.625,1728315.075,1729084.125,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,high,0.75_1.0,1,10,17803.48212890625,19917.0146484375,22959.14833984375,23075.62890625,-5.0,-5.0,-5.0,-5.0,54004.13671875,68435.71484375,74285.1,74671.6640625,-5.0,-5.0,-5.0,-5.0,112979.6494140625,141811.703125,156049.85078125,156517.28125,-5.0,-5.0,-5.0,-5.0,0.08208499625325202,3.4142849556772713e-09,0.08208499625325202,3.4142849556772704e-09,1052362.94375,892419.4375,1531750.65625,1558761.625,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,high,0_0.25,1,33,17035.81020223046,19127.130859375,23280.84453125,23336.1953125,-4.792182546673399,-5.0,-5.0,-2.6279139518737793,49494.21473388758,59723.4375,75433.059375,75613.15625,-4.672443342931343,-5.0,-5.0,-1.328547477722168,107558.10163203423,130490.5,155455.85625,155625.359375,-4.565910728591861,-5.0,-5.0,-0.1309087574481964,0.09812050019249771,0.050728045665805466,0.09572787266789061,0.04361521298061897,755739.5240660291,719909.125,1597284.9,1688562.75,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,high,1.0,1,1,22426.935546875,22426.935546875,22426.935546875,22426.935546875,-5.0,-5.0,-5.0,-5.0,72723.9609375,72723.9609375,72723.9609375,72723.9609375,-5.0,-5.0,-5.0,-5.0,154509.578125,154509.578125,154509.578125,154509.578125,-5.0,-5.0,-5.0,-5.0,0.08208499848842621,0.0,0.08208499103784561,0.0,838368.0,838368.0,838368.0,838368.0,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,low,0_0.25,1,7,13634.955358748457,18076.16796875,23242.8599609375,23265.177734375,-4.392408030373709,-5.0,-5.0,-2.850010871887207,39205.02170159774,54707.93359375,75660.9390625,75731.0078125,-3.966567805835179,-5.0,-5.0,-1.3657701015472412,82520.98196431143,117373.8125,155668.4421875,155731.953125,-3.599485674074718,-5.0,-5.0,-0.05783015489578247,0.12563824015004293,0.06889148372668201,0.11502773953335625,0.052088422837968905,676970.2950728281,681819.625,1470326.4312499994,1746254.0,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,medium,0.25_0.5,1,20,14728.29150390625,12891.70703125,20732.56748046875,21166.13671875,-5.0,-5.0,-5.0,-5.0,24759.7447265625,12272.29443359375,64962.549609375004,66359.546875,-5.0,-5.0,-5.0,-5.0,55869.19130859375,28538.8876953125,141286.0984375,142933.84375,-5.0,-5.0,-5.0,-5.0,0.08208499625325202,3.4142849556772713e-09,0.08208499625325202,3.4142849556772704e-09,1452582.203125,1685850.25,1723943.925,1726044.375,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,medium,0.5_0.75,1,16,13842.425415039062,12895.7978515625,21595.7138671875,21833.77734375,-5.0,-5.0,-5.0,-5.0,19628.376403808594,12972.9833984375,67755.865234375,68528.9453125,-5.0,-5.0,-5.0,-5.0,42767.27404785156,28619.1435546875,144583.05859375,145491.859375,-5.0,-5.0,-5.0,-5.0,0.08208499755710363,2.4640479228129524e-09,0.08208499709144235,2.908053807168453e-09,1568518.765625,1690639.875,1728680.84375,1729083.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,medium,0.75_1.0,1,9,11073.6796875,11126.3671875,11723.9677734375,11880.2412109375,-5.0,-5.0,-5.0,-5.0,15698.365125868055,14500.716796875,21137.320703125,21352.873046875,-5.0,-5.0,-5.0,-5.0,34114.843098958336,29453.880859375,48683.3734375,49164.3828125,-5.0,-5.0,-5.0,-5.0,0.08208499766058391,2.341491583938557e-09,0.08208499766058391,2.341491583938557e-09,1503171.875,1517402.0,1609586.45,1634866.25,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,medium,0_0.25,1,29,10992.979522694544,12611.0654296875,18577.694921874998,19140.078125,-4.560177342645053,-5.0,-5.0,-2.599916934967041,17203.102987297138,12268.0712890625,57401.59374999999,59773.99609375,-4.26256996598737,-5.0,-5.0,-1.085447072982788,38505.1789645956,27603.197265625,127110.67499999999,132590.203125,-4.02895849121028,-5.0,-5.0,0.29517102241516113,0.11334372722897036,0.06366370530239243,0.10626171118226545,0.04942707273595806,1136948.4716234864,1563452.0,1747451.4,1748252.25,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,ar1_velocity,medium,1.0,1,1,11898.431640625,11898.431640625,11898.431640625,11898.431640625,-5.0,-5.0,-5.0,-5.0,15086.3955078125,15086.3955078125,15086.3955078125,15086.3955078125,-5.0,-5.0,-5.0,-5.0,27838.17578125,27838.17578125,27838.17578125,27838.17578125,-5.0,-5.0,-5.0,-5.0,0.08208499848842621,0.0,0.08208499848842621,0.0,1624613.0,1624613.0,1624613.0,1624613.0,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,high,0.25_0.5,1,33,17305.538825757576,18874.380859375,23205.36328125,23264.970703125,-5.0,-5.0,-5.0,-5.0,41560.17001065341,58379.515625,75543.0359375,75730.78125,-5.0,-5.0,-5.0,-5.0,90932.88352272728,127799.484375,155666.675,156515.984375,-5.0,-5.0,-5.0,-5.0,0.08208499713377519,3.409130300207007e-09,0.08208499758532553,2.431672995349902e-09,1190183.571969697,822383.125,1727717.05,1728602.0,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,high,0.5_0.75,1,24,15980.923543294271,12923.33740234375,22038.68232421875,22353.51953125,-5.0,-5.0,-5.0,-5.0,32947.094889322914,12604.78173828125,70050.84140625,71093.6640625,-5.0,-5.0,-5.0,-5.0,71361.27880859375,27964.62890625,149037.27890625,150296.265625,-5.0,-5.0,-5.0,-5.0,0.0820849963153402,3.3865099507805315e-09,0.08208499600489934,3.512237375907836e-09,1346942.0052083333,1704582.5,1730243.86875,1730794.375,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,high,0.75_1.0,1,15,14280.910416666668,11844.7802734375,21166.058593749996,22595.193359375,-5.0,-5.0,-5.0,-5.0,31754.212760416667,14581.67578125,68398.31093749999,71930.9375,-5.0,-5.0,-5.0,-5.0,66974.39270833334,30124.537109375,147039.1828125,151320.875,-5.0,-5.0,-5.0,-5.0,0.0820849969983101,4.035253527082979e-09,0.0820849969983101,2.980232238769531e-09,1316148.7583333333,1522526.625,1661764.4,1709678.0,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,high,0_0.25,1,31,14065.745296116798,12884.6328125,23314.7939453125,23336.984375,-4.538408852392627,-5.0,-5.0,-1.4768399000167847,32857.07219287657,14233.3271484375,75159.4765625,75391.8984375,-4.535500834065099,-5.0,-5.0,-1.642841100692749,71617.0184211731,38981.3984375,155151.171875,155415.21875,-4.451246455792458,-5.0,-5.0,-0.944597065448761,0.1278772820388117,0.10699956510359492,0.14065222922832735,0.13635368172015258,941942.2616129229,801366.5,1713705.4375,1723357.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,low,0.25_0.5,1,5,19719.205859375,19704.814453125,20435.540625,20513.802734375,-5.0,-5.0,-5.0,-5.0,61185.71953125,61184.15625,63395.89765625,63632.734375,-5.0,-5.0,-5.0,-5.0,133639.703125,133685.203125,137813.7,138254.015625,-5.0,-5.0,-5.0,-5.0,0.0820849969983101,2.9802322387695314e-09,0.08208499848842621,0.0,727281.3875,728108.125,739474.6625,740672.8125,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,low,0.5_0.75,1,5,21620.30234375,21659.490234375,22155.58828125,22209.98828125,-5.0,-5.0,-5.0,-5.0,67122.778125,67271.4296875,68754.821875,68917.6640625,-5.0,-5.0,-5.0,-5.0,142642.515625,142777.953125,144654.49375,144861.75,-5.0,-5.0,-5.0,-5.0,0.0820849969983101,2.980232238769531e-09,0.08208499848842621,0.0,757965.0875,757999.75,768104.0625,769227.125,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,low,0.75_1.0,1,5,22585.61015625,22609.28515625,22764.68828125,22776.953125,-5.0,-5.0,-5.0,-5.0,70164.9078125,70209.6484375,70831.81875,70891.9765625,-5.0,-5.0,-5.0,-5.0,146312.6125,146370.546875,147047.828125,147110.890625,-5.0,-5.0,-5.0,-5.0,0.08208499252796173,5.575503985246928e-09,0.0820849969983101,2.9802322387695314e-09,784154.7625,784412.125,792668.7375,793526.1875,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,low,0_0.25,1,13,13083.224119722843,13016.015625,18254.778515625,18521.66015625,-4.676466318277212,-5.0,-5.0,-2.643207550048828,28914.591595172882,15230.25,55888.3484375,57052.26171875,-4.643915781607995,-5.0,-5.0,-2.4742519855499268,64655.7259879479,40747.23046875,122953.3296875,125314.8359375,-4.592947941560012,-5.0,-5.0,-2.103501558303833,0.10683317195910674,0.05907570447731518,0.1199113606260373,0.08903067051697076,881384.2102499742,681825.5,1681674.55,1688562.625,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,medium,0.25_0.5,1,5,19794.314453125,19773.150390625,20454.142578125,20533.181640625,-5.0,-5.0,-5.0,-5.0,62591.8109375,62580.95703125,64890.72890625,65152.6484375,-5.0,-5.0,-5.0,-5.0,139381.346875,139953.46875,142987.64375,143311.0625,-5.0,-5.0,-5.0,-5.0,0.0820849969983101,2.980232238769531e-09,0.08208499848842621,0.0,726571.975,727927.0,739841.8625,741104.625,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,medium,0.5_0.75,1,5,21727.2578125,21772.583984375,22299.525390625,22353.11328125,-5.0,-5.0,-5.0,-5.0,69041.2890625,69183.9609375,70915.00625,71092.9765625,-5.0,-5.0,-5.0,-5.0,147872.384375,148029.609375,150080.021875,150296.265625,-5.0,-5.0,-5.0,-5.0,0.08208499252796173,2.980232238769531e-09,0.08208499550819397,3.650024149988857e-09,758738.1375,758858.375,768819.4375,769932.4375,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,medium,0.75_1.0,1,5,22921.459375,22957.603515625,23143.766015625,23166.578125,-5.0,-5.0,-5.0,-5.0,73199.0375,73299.9765625,74140.5078125,74237.703125,-5.0,-5.0,-5.0,-5.0,152831.590625,152957.03125,153942.265625,154059.28125,-5.0,-5.0,-5.0,-5.0,0.08208499401807785,3.6500241499888573e-09,0.0820849969983101,2.980232238769531e-09,786080.7,786201.1875,795357.15,796395.0625,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,medium,0_0.25,1,11,14871.122010317717,17439.392578125,21624.216796875,23227.580078125,-4.536135456778786,-5.0,-5.0,-2.386042356491089,41837.21165689555,46977.37109375,70214.92578125,75614.390625,-4.527726346796209,-5.0,-5.0,-2.3724498748779297,89056.20110086961,95429.1171875,150166.53125,155628.25,-4.44235051761974,-5.0,-5.0,-1.915496587753296,0.12014180354096672,0.08090484820783798,0.13564269041473215,0.11380535763125046,648827.5883650347,661399.625,1252256.8125,1682124.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,crossing_or_sudden_threat,medium,1.0,1,2,23179.4638671875,23179.4638671875,23234.24697265625,23240.333984375,-5.0,-5.0,-5.0,-5.0,74568.1328125,74568.1328125,74616.83828125,74622.25,-5.0,-5.0,-5.0,-5.0,154954.7421875,154954.7421875,155244.95703125,155277.203125,-5.0,-5.0,-5.0,-5.0,0.08208499848842621,0.0,0.08208499848842621,0.0,807247.40625,807247.40625,811822.021875,812330.3125,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,high,0.25_0.5,1,15,15300.761393229166,12922.7724609375,20590.786718749998,20908.3515625,-5.0,-5.0,-5.0,-5.0,28657.975651041666,11488.84375,65126.535546875,66152.21875,-5.0,-5.0,-5.0,-5.0,65145.8703125,27630.0859375,142757.8625,143978.421875,-5.0,-5.0,-5.0,-5.0,0.0820849969983101,2.9802322387695314e-09,0.0820849969983101,2.9802322387695314e-09,1393667.1333333333,1723358.125,1728227.875,1728603.25,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,high,0.5_0.75,1,15,14880.617578125,12918.890625,19461.4982421875,20213.8984375,-5.0,-5.0,-5.0,-5.0,29909.706640625,12270.48046875,68646.746875,71070.015625,-5.0,-5.0,-5.0,-5.0,64626.187239583334,27471.369140625,143403.81718749998,145969.21875,-5.0,-5.0,-5.0,-5.0,0.08208499749501547,2.532710390087358e-09,0.08208499848842621,0.0,1435271.9666666666,1728602.25,1732122.2,1733143.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,high,0.75_1.0,1,11,13391.372869318182,12785.8349609375,16279.93310546875,19679.00390625,-5.0,-5.0,-5.0,-5.0,18260.474875710228,12785.9921875,43378.43896484375,73674.8828125,-5.0,-5.0,-5.0,-5.0,38617.452592329544,27487.017578125,88730.525390625,149923.890625,-5.0,-5.0,-5.0,-5.0,0.0820849978111007,3.831531682808549e-09,0.08208499713377519,2.873648762106411e-09,1665582.8863636365,1734765.875,1740495.5,1741316.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,high,0_0.25,1,12,14556.960530598959,12867.44677734375,18846.84755859375,18988.0546875,-5.0,-5.0,-5.0,-5.0,25340.984456380207,11002.85546875,58352.7064453125,59447.40625,-5.0,-5.0,-5.0,-5.0,57453.284342447914,27614.564453125,129254.71015624999,133028.921875,-5.0,-5.0,-5.0,-5.0,0.08208499662578106,3.226196034939731e-09,0.08208499786754449,2.0592316925248754e-09,1316121.8541666667,1605281.625,1720726.5625,1723357.625,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,high,1.0,1,11,11405.9228515625,11693.8271484375,12680.193359375,12701.197265625,-5.0,-5.0,-5.0,-5.0,14821.19637784091,14360.56640625,17725.83642578125,19512.66015625,-5.0,-5.0,-5.0,-5.0,29590.559836647728,27930.6015625,37498.6494140625,42425.0859375,-5.0,-5.0,-5.0,-5.0,0.08208499713377519,2.873648762106411e-09,0.08208499713377519,2.873648762106411e-09,1621142.8409090908,1614728.5,1738853.25,1739672.75,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,low,0.25_0.5,1,5,20785.216015625,20733.5546875,21534.41796875,21624.720703125,-5.0,-5.0,-5.0,-5.0,67330.80078125,67183.8125,69742.6546875,70030.28125,-5.0,-5.0,-5.0,-5.0,147847.090625,147754.484375,150709.6,151038.671875,-5.0,-5.0,-5.0,-5.0,0.0820849969983101,2.9802322387695314e-09,0.08208499550819397,3.6500241499888573e-09,746463.2875,746685.4375,757289.675,758455.8125,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,low,0.5_0.75,1,5,22534.1578125,22558.16796875,23024.211328125,23075.998046875,-5.0,-5.0,-5.0,-5.0,72901.81875,72960.6328125,74500.3359375,74672.2265625,-5.0,-5.0,-5.0,-5.0,154414.89375,154461.5625,156309.50625,156517.34375,-5.0,-5.0,-5.0,-5.0,0.08208499550819397,3.6500241499888573e-09,0.08208499401807785,3.6500241499888573e-09,774475.0,774357.875,784250.275,785357.9375,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,low,0_0.25,1,7,15498.595686257418,18731.541015625,19708.1953125,19761.19921875,-4.654491867337908,-5.0,-5.0,-2.5814430713653564,44655.29424783694,57457.453125,63423.8421875,63721.26171875,-4.452257428850446,-5.0,-5.0,-1.165802001953125,97959.08626950638,126167.6484375,141780.8671875,142682.296875,-4.276961620364871,-5.0,-5.0,0.06126865744590759,0.10908433262790952,0.0661345950783269,0.1041996840919767,0.05416969555077178,748044.6135458265,696140.0,1439020.1687499993,1744603.0,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,medium,0.25_0.5,1,10,16525.64677734375,16154.69287109375,20782.48818359375,20985.9453125,-5.0,-5.0,-5.0,-5.0,37664.9794921875,36484.923828125,65964.0744140625,66626.7890625,-5.0,-5.0,-5.0,-5.0,84763.0115234375,82861.8154296875,144271.3234375,145055.828125,-5.0,-5.0,-5.0,-5.0,0.08208499401807785,3.650024149988857e-09,0.0820849969983101,2.9802322387695314e-09,1217922.05,1218518.625,1707199.6375,1707715.0,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,linear,medium,0.5_0.75,1,10,17240.57578125,17181.37353515625,22486.7234375,22595.46875,-5.0,-5.0,-5.0,-5.0,41475.5765625,41163.28271484375,71555.1515625,71931.9140625,-5.0,-5.0,-5.0,-5.0,88477.680078125,87608.017578125,150861.47109375,151322.53125,-5.0,-5.0,-5.0,-5.0,0.0820849969983101,2.9802322387695314e-09,0.0820849969983101,2.980232238769531e-09,1213575.34375,1165603.125,1708786.05,1709046.375,0,0
