split,horizon_sec,motion_mode_id,motion_mode,count,mean,std,median,p95,max
train,4.0,4,crossing_or_sudden_threat,26523,0.43525986800530636,1.3204632961687996,3.0181381589500234e-06,3.375746107101439,12.367566108703613
val,1.0,0,linear,8307,7.93950986447692e-07,5.434132907722946e-07,5.462856051963172e-07,1.9369217625353485e-06,2.7079145183961373e-06
val,1.0,1,sinusoidal_lateral,12298,0.43657322761624967,0.31068708468527534,0.3782323747873306,1.0894068300724025,1.4808248281478882
val,1.0,2,accel_decel,7500,0.21142231167741526,0.2759761684823497,0.09757595881819725,0.8230859905481338,1.7417542934417725
val,1.0,3,ar1_velocity,9577,0.26069484619726957,0.14521590409868124,0.23134881258010864,0.5384479284286494,1.012204647064209
val,1.0,4,crossing_or_sudden_threat,7575,0.04828309483764682,0.22534632788352926,9.610960205463925e-07,0.33659062683582214,2.690324068069458
val,2.0,0,linear,7742,1.5851097556986232e-06,1.083054179933377e-06,1.3486991292666062e-06,3.877510152960895e-06,5.4066372285888065e-06
val,2.0,1,sinusoidal_lateral,11497,1.2505311084456807,0.8222861622343026,1.1302505731582642,2.926641273498535,3.8357198238372803
val,2.0,2,accel_decel,6754,0.6971801336213237,0.662605856508674,0.4891277849674225,2.0863063812255858,3.8541605472564697
val,2.0,3,ar1_velocity,8642,0.6176647389558931,0.3457799818011167,0.5469281673431396,1.2862857937812804,2.5595672130584717
val,2.0,4,crossing_or_sudden_threat,7085,0.16836099841571753,0.5877409023564969,1.7161584082714398e-06,1.4146995544433576,5.380646228790283
val,4.0,0,linear,6622,2.889351147572625e-06,2.1348747222500764e-06,2.1981106783641735e-06,8.207107021007687e-06,1.0315565305063501e-05
val,4.0,1,sinusoidal_lateral,9909,2.162394284206011,1.2679288245110722,2.0975160598754883,4.408992290496827,5.222864151000977
val,4.0,2,accel_decel,5287,1.8663573286614472,1.359982831064584,1.5769851207733154,4.513843965530395,7.486490249633789
val,4.0,3,ar1_velocity,6816,1.405841117646073,0.778295334682158,1.244170069694519,2.9461507201194763,5.7397260665893555
val,4.0,4,crossing_or_sudden_threat,6114,0.5000929969981246,1.460710910947011,3.2009413644118467e-06,3.969413077831259,10.76129150390625
test,1.0,0,linear,7425,7.879492744003261e-07,5.160795507081231e-07,6.848052294117224e-07,1.9369217625353485e-06,2.7079145183961373e-06
test,1.0,1,sinusoidal_lateral,13774,0.42199610363375956,0.290750544148455,0.3746318519115448,0.9737245529890056,1.676898717880249
test,1.0,2,accel_decel,6642,0.20874312379439147,0.27798294574606813,0.09390587732195854,0.8196086853742598,1.7378398180007935
test,1.0,3,ar1_velocity,8508,0.2648933938571213,0.15461458037293915,0.23122024536132812,0.5632258564233779,1.0612988471984863
test,1.0,4,crossing_or_sudden_threat,7559,0.04071292488348674,0.19752437202537418,9.610960205463925e-07,0.2586882650852178,2.457658052444458
test,2.0,0,linear,6915,1.550651036179612e-06,1.0283148628876476e-06,1.3953089137430652e-06,3.846231720672222e-06,5.1577826525317505e-06
test,2.0,1,sinusoidal_lateral,12872,1.2228810804979882,0.7787960874723434,1.13412207365036,2.6604878783226003,4.199100017547607
test,2.0,2,accel_decel,5942,0.6790429035084178,0.6625962128183457,0.47330905497074127,2.0594361424446106,3.733344078063965
test,2.0,3,ar1_velocity,7690,0.6297295194911263,0.3627741540532877,0.5524186193943024,1.3498849987983694,2.704458475112915
test,2.0,4,crossing_or_sudden_threat,7109,0.14291717328524184,0.5168477760948238,1.7233886637768592e-06,1.2389728069305415,4.915315628051758
test,4.0,0,linear,5935,2.8600317041508824e-06,2.026305952993236e-06,2.387164158790256e-06,7.62939453125e-06,1.0327267773391213e-05
test,4.0,1,sinusoidal_lateral,11088,2.1778517405188125,1.2495569971907654,2.1547266244888306,4.298110294342041,5.882914066314697
test,4.0,2,accel_decel,4565,1.8458300164324892,1.411173717915256,1.5201574563980103,4.587157821655276,7.68985652923584
test,4.0,3,ar1_velocity,6088,1.3907633978511242,0.7919728790129966,1.2251617312431335,2.882711946964262,5.762531280517578
test,4.0,4,crossing_or_sudden_threat,6213,0.42289699609578685,1.2959210331529805,3.101733227595105e-06,3.2889975070953326,9.830629348754883
