method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,high,285,0.4421052631578947,0.5578947368421052,0.4070175438596491,0.930680281045738,5.5813113538041295,0.7202720842340536,115.56491228070175,29.60010379412372,0.27086017758642683,0.3048245838286155,1.6168668057945712,0.08650247918142091,0.0,3.4996032419508416,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,medium,15,0.6,0.4,0.6,0.9793116760191901,5.856903769832744,0.7866044819355011,124.86666666666666,34.250559686154595,0.1959088364230883,0.24424956012590532,1.6303251819200317,0.0846766921252354,0.0,3.987812690402199,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,high,288,0.4548611111111111,0.5451388888888888,0.4305555555555556,0.9389315392860388,4.866302644043238,0.7092066769384675,103.71527777777777,30.236466322054152,0.2594690842949017,0.29205405323155176,1.5400205748121332,0.09159613703764789,0.0,2.991332831535683,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,medium,12,0.75,0.25,0.75,0.9645499144400467,5.15392022658892,0.7909447699785233,110.0,37.05007691892792,0.26943982081733825,0.2953693940615043,1.5222160781446865,0.10537402740361373,0.0,3.18011504342674,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,high,295,0.44745762711864406,0.5525423728813559,0.37966101694915255,0.9244228643548013,5.508830810604338,0.7662352429608167,114.16949152542372,29.525661389959794,0.27916180758085113,0.3157385978546972,1.6211065067830837,0.08807642900377353,0.0,3.3831313071007294,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,medium,5,0.6,0.4,0.4,0.9797779939663156,6.134771110716966,0.9404193162918091,137.6,34.427973886657654,0.15675762003892152,0.19768210020877075,1.622681216218989,0.09184386962853257,0.0,4.057365497897274,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,high,295,0.44745762711864406,0.5525423728813559,0.37966101694915255,0.9244228643548013,5.508830810604338,0.7662352429608167,114.16949152542372,29.525661389959794,0.27916180758085113,0.3157385978546972,1.6211065067830837,0.08807642900377353,0.0,3.3831313071007294,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,medium,5,0.6,0.4,0.4,0.9797779939663156,6.134771110716966,0.9404193162918091,137.6,34.427973886657654,0.15675762003892152,0.19768210020877075,1.622681216218989,0.09184386962853257,0.0,4.057365497897274,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_parent_500k,500000,parent_500k,high,293,0.46757679180887374,0.5324232081911263,0.4300341296928328,0.9366213332708897,5.297882201282095,0.7315382091614574,104.89078498293516,30.432124571937702,0.23683345021142962,0.26811138324085904,1.484232530210252,0.08431309120527725,0.0,3.421378949468735,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_parent_500k,500000,parent_500k,medium,7,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.976655391993847,5.4282272673196905,0.8874095550605229,111.71428571428571,33.95073615109154,0.2092366162069994,0.2538327521083135,1.4800258516427196,0.092449261123374,0.0,3.476646630280886,0
