method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,eval_flow_mixed_ood,50,0.42,0.58,0.4,0.91799036879813,4.872420835008117,0.7098699134588241,100.9,28.786858905150055,0.25647741463063833,0.29197580298301673,1.544762626106417,0.09065591091350265,0.0,3.0057511286172507,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,eval_flow_sudden_threat,50,0.56,0.44,0.56,0.9508739412848227,5.070217993115359,0.752733062505722,105.08,32.74915130844194,0.2585473878889436,0.2847070188531544,1.5388394114672923,0.09297285564342085,0.0,3.131847096880545,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,eval_flow_high_density,50,0.28,0.72,0.26,0.8898227100893307,5.297320464616888,0.6201805686950683,108.98,24.95957233805601,0.33053613017172323,0.3602781829215179,1.6241526078471866,0.08976329019166851,0.0,3.0911638847535015,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,eval_flow_high_speed,50,0.44,0.56,0.32,0.9433743722425249,5.23539274620994,0.8034040224552155,116.9,29.969661765339882,0.2356459431490027,0.27851846941962827,1.6205173521161698,0.08631303655065191,0.0,3.392372396613681,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,50,0.46,0.54,0.44,0.927257321985775,5.695623909050905,0.7874204108119011,112.36,29.933977403847358,0.27255024036198755,0.3138561145004001,1.6226814122901083,0.08342769976315365,0.0,3.528222154027338,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,eval_flow_id,50,0.52,0.48,0.44,0.9327617010868985,5.763016086502457,0.7891904962062836,115.18,31.23812811464981,0.2825096697328648,0.31640087618314267,1.621015471947986,0.08921994183603181,0.0,3.4410236114820707,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,eval_flow_mixed_ood,50,0.48,0.52,0.4,0.9179746032772081,5.489907672143396,0.7866017737984657,117.72,29.960487429180933,0.283642323464302,0.32274056606974405,1.618393624250774,0.09290882951200972,0.0,3.37560315084637,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,eval_flow_sudden_threat,50,0.52,0.48,0.42,0.9408819904082223,5.634318015113706,0.8280325931310654,116.22,31.58237253835456,0.25784611985103356,0.29083172826915754,1.6200360431898673,0.08720252023160152,0.0,3.5378260639610697,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,eval_flow_high_density,50,0.28,0.72,0.26,0.8898227100893307,5.297320464616888,0.6201805686950683,108.98,24.95957233805601,0.33053613017172323,0.3602781829215179,1.6241526078471866,0.08976329019166851,0.0,3.0911638847535015,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,eval_flow_high_speed,50,0.44,0.56,0.32,0.9433743722425249,5.23539274620994,0.8034040224552155,116.9,29.969661765339882,0.2356459431490027,0.27851846941962827,1.6205173521161698,0.08631303655065191,0.0,3.392372396613681,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,eval_flow_high_threat,50,0.46,0.54,0.44,0.927257321985775,5.695623909050905,0.7874204108119011,112.36,29.933977403847358,0.27255024036198755,0.3138561145004001,1.6226814122901083,0.08342769976315365,0.0,3.528222154027338,0
