method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,crossing_or_sudden_threat,45,0.4666666666666667,0.5333333333333333,0.4444444444444444,0.9591882212308819,5.897042967645647,0.7355337513817681,121.26666666666667,30.839120351442812,0.24119871853640218,0.2799491754726953,1.6126455210150152,0.06751165227360811,0.0,3.8350214677410213,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,linear,31,0.2903225806451613,0.7096774193548387,0.22580645161290322,0.9436655805292549,6.1066907648582305,0.625112830150512,114.48387096774194,26.755061799137167,0.26798404751857796,0.29285303596294554,1.6224559518773016,0.05997586163456921,0.0,3.8494053101490757,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,sinusoidal_lateral,87,0.40229885057471265,0.5977011494252874,0.3563218390804598,0.9572745732467222,5.994457769882921,0.706502755226075,115.94252873563218,29.451319323117797,0.2444887082028778,0.2756884693707731,1.6175241649480256,0.05879949771990805,0.0,3.937929440720315,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,accel_decel,49,0.5918367346938775,0.40816326530612246,0.5714285714285714,0.9215819084467958,5.59588896378542,0.7829921890278252,114.18367346938776,32.31669733718872,0.2979603886981539,0.3292353610109885,1.620634673182511,0.08776833118047721,0.0,3.45437815250913,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,ar1_velocity,73,0.3287671232876712,0.6712328767123288,0.3150684931506849,0.930156815826105,5.562869418256723,0.6551058692474888,111.86301369863014,27.298893985142033,0.2716695111928284,0.3055778778977233,1.6133588698165362,0.08486849027771835,0.0,3.5199608809596103,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,crossing_or_sudden_threat,47,0.5531914893617021,0.44680851063829785,0.5319148936170213,0.9455393326362224,5.7609512849654845,0.7616895329444966,125.1063829787234,32.323150980583456,0.2516232544375601,0.28084179057267195,1.617608857445934,0.09079283522724281,0.0,3.701012016694014,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,linear,47,0.3191489361702128,0.6808510638297872,0.2765957446808511,0.9122217506978232,5.611062935872583,0.6858826285981118,114.04255319148936,26.47669744404002,0.2775955913586129,0.3103158426805272,1.6187707999777439,0.08311739996201158,0.0,3.4561736512672168,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,sinusoidal_lateral,84,0.4880952380952381,0.5119047619047619,0.42857142857142855,0.947140753005052,5.520888062429195,0.7482306419738701,116.76190476190476,31.06973416931737,0.24795909574728364,0.28945980064370697,1.61864020236655,0.08635152234013942,0.0,3.5070799301767384,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,accel_decel,54,0.5185185185185185,0.48148148148148145,0.48148148148148145,0.9356271936459123,4.881386004742262,0.7479987332114467,102.74074074074075,31.41090132805206,0.2769836413673772,0.31134272092905796,1.5423132035276856,0.09004830323047323,0.0,2.9976723609094846,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,ar1_velocity,72,0.4305555555555556,0.5694444444444444,0.4166666666666667,0.9418982494374126,4.805837506014346,0.6650935270720058,104.65277777777777,29.809158305286942,0.2589710122753506,0.2941107260083129,1.5359658866290673,0.09430735055059207,0.0,2.961736793934934,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,crossing_or_sudden_threat,47,0.6170212765957447,0.3829787234042553,0.6170212765957447,0.9620440680135011,4.899538782718604,0.7698956613845014,107.55319148936171,34.34207094579472,0.2533880782322846,0.2838337617041671,1.5364298134414542,0.09859308865265728,0.0,3.0444665265129625,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,linear,40,0.35,0.65,0.25,0.920217185434924,4.920198906348762,0.7348097495734691,102.85,27.486642000425253,0.2586822697980705,0.2908727786386148,1.5414560523534417,0.0939806828044786,0.0,2.8915801488766006,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,sinusoidal_lateral,87,0.4367816091954023,0.5632183908045977,0.4367816091954023,0.93817909491098,4.903917016927352,0.6883529722690582,102.73563218390805,29.84726597257355,0.25403234643949346,0.2838209530001938,1.5407772221834108,0.08733719198556023,0.0,3.055089041951688,0
