scenario,seed,step,risk_mean_time,wide_d2_mean_time,delta_mean_time,risk_near_miss,wide_d2_near_miss,delta_near_miss,risk_min_distance,wide_d2_min_distance,delta_min_distance,risk_collision,wide_d2_collision,delta_collision,risk_success,wide_d2_success,delta_success,risk_reaction,wide_d2_reaction,delta_reaction,risk_source_csv,wide_d2_source_csv,classification
eval_ar1,2,750000,7.756,8.044,-0.28800000000000026,0.02,0.02,0.0,1.8257611835002896,2.033169982433319,-0.20740879893302955,0.02,0.0,0.02,0.98,1.0,-0.020000000000000018,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step750000_ar1.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step750000_ar1.csv,risk_efficiency_but_safety_gap
eval_ar1,2,1000000,7.496,8.056000000000001,-0.5600000000000005,0.02,0.04,-0.02,1.7857117944955825,2.117559541463852,-0.33184774696826946,0.02,0.0,0.02,0.98,1.0,-0.020000000000000018,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step1000000_ar1.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step1000000_ar1.csv,risk_efficiency_but_safety_gap
eval_mixed_v2,0,750000,8.184000000000001,8.124,0.0600000000000005,0.0,0.04,-0.04,2.5761032700538635,2.3506881272792817,0.22541514277458186,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.216,-0.015999999999999986,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step750000_mixed_v2.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_mixed_v2.csv,no_meaningful_difference
eval_mixed_v2,0,1000000,7.7,8.012,-0.3120000000000003,0.0,0.0,0.0,2.107771332263946,2.416160218715668,-0.3083888864517217,0.0,0.0,0.0,1.0,1.0,0.0,0.3360000000000001,0.212,0.12400000000000008,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step1000000_mixed_v2.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_mixed_v2.csv,risk_pareto_positive
eval_mixed_v2,1,750000,7.971999999999999,8.160000000000002,-0.18800000000000328,0.12,0.06,0.06,1.9406049638986589,2.148577642440796,-0.2079726785421372,0.02,0.02,0.0,0.98,0.98,0.0,0.5120000000000001,0.2,0.3120000000000001,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step750000_mixed_v2.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step750000_mixed_v2.csv,risk_efficiency_but_safety_gap
eval_mixed_v2,1,1000000,7.963999999999999,7.976000000000002,-0.01200000000000312,0.0,0.0,0.0,2.1400060296058654,2.3366736721992494,-0.19666764259338398,0.0,0.0,0.0,1.0,1.0,0.0,0.208,0.2800000000000001,-0.07200000000000009,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step1000000_mixed_v2.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step1000000_mixed_v2.csv,no_meaningful_difference
eval_mixed_v2,2,750000,7.988,7.88,0.10800000000000054,0.12,0.04,0.07999999999999999,1.8934458959102631,2.084383101463318,-0.19093720555305493,0.0,0.0,0.0,1.0,1.0,0.0,0.2920000000000001,0.22,0.07200000000000009,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step750000_mixed_v2.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step750000_mixed_v2.csv,wide_d2_dominates
eval_mixed_v2,2,1000000,7.508000000000001,8.052,-0.5439999999999987,0.0,0.02,-0.02,1.890130445957184,2.1331117951869967,-0.24298134922981274,0.0,0.0,0.0,1.0,1.0,0.0,0.3480000000000001,0.248,0.10000000000000009,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step1000000_mixed_v2.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step1000000_mixed_v2.csv,risk_pareto_positive
eval_random_switch,0,750000,8.280000000000001,8.240000000000002,0.03999999999999915,0.0,0.0,0.0,2.152271883487701,2.1978390216827397,-0.04556713819503866,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step750000_random.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_random.csv,no_meaningful_difference
eval_random_switch,0,1000000,7.976,8.16,-0.18400000000000016,0.0,0.0,0.0,2.107306609153748,2.1462671399116515,-0.03896053075790373,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step1000000_random.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_random.csv,risk_pareto_positive
eval_random_switch,1,750000,8.091999999999999,8.556000000000001,-0.4640000000000022,0.02,0.02,0.0,1.9813978254795075,2.1773935317993165,-0.195995706319809,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step750000_random.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step750000_random.csv,risk_pareto_positive
eval_random_switch,1,1000000,7.947999999999999,8.443999999999999,-0.49600000000000044,0.0,0.0,0.0,1.898601961135864,2.1735266709327696,-0.27492470979690564,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step1000000_random.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step1000000_random.csv,risk_pareto_positive
eval_random_switch,2,750000,8.088,8.224,-0.136000000000001,0.0,0.0,0.0,2.408710596561432,2.486718554496765,-0.07800795793533322,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step750000_random.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step750000_random.csv,risk_pareto_positive
eval_random_switch,2,1000000,7.692,8.108,-0.41600000000000037,0.0,0.0,0.0,2.281767728328705,2.5119323682785035,-0.23016463994979874,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step1000000_random.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step1000000_random.csv,risk_pareto_positive
eval_random_switch_hard,0,750000,8.472,8.700000000000001,-0.22800000000000153,0.1,0.04,0.060000000000000005,1.3756509566307067,1.6747180956602097,-0.299067139029503,0.0,0.02,-0.02,1.0,0.98,0.020000000000000018,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step750000_hard.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_hard.csv,risk_efficiency_but_safety_gap
eval_random_switch_hard,0,1000000,8.74,9.852,-1.112,0.08,0.04,0.04,1.4538818657398225,1.6454313921928403,-0.19154952645301782,0.02,0.02,0.0,0.98,0.96,0.020000000000000018,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step1000000_hard.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_hard.csv,risk_pareto_positive
eval_random_switch_hard,1,750000,8.28,9.484000000000002,-1.2040000000000024,0.08,0.02,0.06,1.3188436430692674,1.672771943807602,-0.3539283007383347,0.02,0.0,0.02,0.98,1.0,-0.020000000000000018,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step750000_hard.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step750000_hard.csv,risk_efficiency_but_safety_gap
eval_random_switch_hard,1,1000000,8.308000000000002,12.152,-3.8439999999999976,0.08,0.04,0.04,1.3070169258117676,1.5701418381929395,-0.26312491238117186,0.02,0.04,-0.02,0.98,0.9,0.07999999999999996,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step1000000_hard.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step1000000_hard.csv,risk_pareto_positive
eval_random_switch_hard,2,750000,8.116,8.856,-0.7400000000000002,0.08,0.0,0.08,1.3568284714221954,1.6998084044456483,-0.34297993302345287,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step750000_hard.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step750000_hard.csv,risk_efficiency_but_safety_gap
eval_random_switch_hard,2,1000000,7.8,8.764,-0.9639999999999995,0.02,0.0,0.02,1.3686644458770751,1.792305896282196,-0.4236414504051209,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step1000000_hard.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step1000000_hard.csv,risk_pareto_positive
eval_sinusoidal,0,750000,7.832000000000001,8.12,-0.2879999999999985,0.04,0.04,0.0,1.949106748104096,2.045600311756134,-0.0964935636520381,0.02,0.02,0.0,0.98,0.98,0.0,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step750000_sinusoidal.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_sinusoidal.csv,risk_pareto_positive
eval_sinusoidal,0,1000000,7.568,7.916,-0.34800000000000075,0.04,0.0,0.04,1.8862039184570312,2.052884202003479,-0.16668028354644782,0.02,0.0,0.02,0.98,1.0,-0.020000000000000018,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step1000000_sinusoidal.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_sinusoidal.csv,risk_efficiency_but_safety_gap
eval_sinusoidal,1,750000,7.864000000000001,8.340000000000002,-0.47600000000000087,0.0,0.0,0.0,1.8588687658309937,2.112723395824432,-0.2538546299934381,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step750000_sinusoidal.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step750000_sinusoidal.csv,risk_pareto_positive
eval_sinusoidal,1,1000000,7.724,8.100000000000001,-0.3760000000000012,0.02,0.02,0.0,1.809267040491104,2.0942230689525605,-0.2849560284614565,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step1000000_sinusoidal.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step1000000_sinusoidal.csv,risk_pareto_positive
eval_sinusoidal,2,750000,7.752000000000001,8.044,-0.2919999999999998,0.02,0.02,0.0,1.893650265932083,2.1051412403583525,-0.2114909744262694,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step750000_sinusoidal.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step750000_sinusoidal.csv,risk_pareto_positive
eval_sinusoidal,2,1000000,7.476,8.132,-0.6559999999999997,0.0,0.0,0.0,1.8659287071228028,2.229212069511413,-0.36328336238861025,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step1000000_sinusoidal.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step1000000_sinusoidal.csv,risk_pareto_positive
eval_sudden_turn,0,750000,8.100000000000001,8.232000000000001,-0.13199999999999967,0.0,0.0,0.0,1.9341906690597532,2.0546186113357545,-0.12042794227600129,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.204,-0.003999999999999976,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step750000_sudden.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_sudden.csv,risk_pareto_positive
eval_sudden_turn,0,1000000,7.8,8.160000000000002,-0.3600000000000021,0.0,0.0,0.0,1.8546517419815065,2.0051774168014527,-0.15052567481994616,0.0,0.0,0.0,1.0,1.0,0.0,1.8720000000000008,0.2,1.6720000000000008,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step1000000_sudden.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_sudden.csv,risk_pareto_positive
eval_sudden_turn,1,750000,8.172,8.744,-0.5719999999999992,0.0,0.0,0.0,1.862699193954468,2.1189393639564518,-0.25624017000198385,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.2,0.0,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step750000_sudden.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step750000_sudden.csv,risk_pareto_positive
eval_sudden_turn,1,1000000,8.116000000000001,8.896,-0.7799999999999994,0.02,0.02,0.0,1.8211358177661896,2.0851321876049043,-0.26399636983871466,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.22,-0.01999999999999999,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step1000000_sudden.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step1000000_sudden.csv,risk_pareto_positive
eval_sudden_turn,2,750000,8.172,8.420000000000002,-0.2480000000000011,0.02,0.0,0.02,1.8017903995513915,2.012140624523163,-0.21035022497177147,0.0,0.0,0.0,1.0,1.0,0.0,0.264,0.268,-0.0040000000000000036,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step750000_sudden.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step750000_sudden.csv,risk_pareto_positive
eval_sudden_turn,2,1000000,7.864000000000001,8.324000000000002,-0.46000000000000085,0.0,0.0,0.0,1.7010053539276122,2.108105878829956,-0.40710052490234383,0.0,0.0,0.0,1.0,1.0,0.0,1.1160000000000003,0.2,0.9160000000000004,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step1000000_sudden.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step1000000_sudden.csv,risk_pareto_positive
eval_threat_validated_sudden,0,750000,8.376,8.171999999999999,0.20400000000000063,0.0,0.0,0.0,2.692291991710663,2.450701916217804,0.24159007549285905,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.2480000000000001,-0.0480000000000001,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step750000_threat_sudden.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_threat_sudden.csv,no_meaningful_difference
eval_threat_validated_sudden,0,1000000,7.808000000000001,8.184000000000001,-0.37600000000000033,0.0,0.02,-0.02,2.233842206001282,2.537167932987213,-0.3033257269859311,0.0,0.0,0.0,1.0,1.0,0.0,0.3200000000000001,0.2,0.1200000000000001,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step1000000_threat_sudden.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_threat_sudden.csv,risk_pareto_positive
eval_threat_validated_sudden,1,750000,8.076,8.304,-0.22799999999999976,0.06,0.04,0.019999999999999997,1.8955345773696897,2.109427959918976,-0.21389338254928636,0.02,0.0,0.02,0.98,1.0,-0.020000000000000018,0.2440000000000001,0.2,0.044000000000000095,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step750000_threat_sudden.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step750000_threat_sudden.csv,risk_efficiency_but_safety_gap
eval_threat_validated_sudden,1,1000000,8.072000000000001,8.404000000000002,-0.33200000000000074,0.0,0.0,0.0,2.18472815990448,2.350081021785736,-0.16535286188125609,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.208,-0.00799999999999998,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step1000000_threat_sudden.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step1000000_threat_sudden.csv,risk_pareto_positive
eval_threat_validated_sudden,2,750000,8.188,8.052,0.136000000000001,0.04,0.02,0.02,2.040881942510605,2.0961642980575563,-0.05528235554695149,0.0,0.0,0.0,1.0,1.0,0.0,0.2280000000000001,0.216,0.012000000000000094,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step750000_threat_sudden.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step750000_threat_sudden.csv,wide_d2_dominates
eval_threat_validated_sudden,2,1000000,7.58,8.328,-0.7479999999999993,0.0,0.02,-0.02,1.8814831829071048,2.2431382751464843,-0.3616550922393795,0.0,0.02,-0.02,1.0,0.98,0.020000000000000018,0.3400000000000001,0.24,0.10000000000000009,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step1000000_threat_sudden.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step1000000_threat_sudden.csv,risk_pareto_positive
