method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,feature_adapter,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,delta_hat_9_after_scale,0,704,6336,0,0,1.0787276005245408,1.0765570402145386,1.8447236716747288,2.194582462310791,0.8461852440801025,1.4300681054592137,1.78875732421875
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,logvar_raw_9_clamped,0,704,6336,0,0,13.555402014743198,14.090760231018066,14.920396375656129,15.0,4.992726201699539,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,logvar_scaled_9_policy,0,704,6336,0,0,13.555402014743198,14.090760231018066,14.920396375656129,15.0,4.992726201699539,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,full_aug_obs,0,704,21120,0,0,13.668104979802262,14.212352275848389,14.97778458595276,15.058161735534668,4.992726201699539,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,accel_decel,medium,,obs_i_12,0,690,8280,0,0,1.2998052876064743,1.2543055415153503,1.9147690534591675,2.067878246307373,0.7400290966033936,1.1692181825637817,1.2998666763305664
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,accel_decel,medium,,delta_hat_9_after_scale,0,690,6210,0,0,1.3442330041225405,1.3846988081932068,1.9595646858215332,2.183742046356201,1.0898391588442566,1.5150524377822876,1.8898508548736572
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,accel_decel,medium,,logvar_raw_9_clamped,0,690,6210,0,0,13.623797767749732,13.906691551208496,14.674132347106934,14.894392013549805,5.0,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,accel_decel,medium,,logvar_scaled_9_policy,0,690,6210,0,0,13.623797767749732,13.906691551208496,14.674132347106934,14.894392013549805,5.0,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,accel_decel,medium,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,accel_decel,medium,,full_aug_obs,0,690,20700,0,0,13.759538798401321,14.044330596923828,14.80077838897705,14.9619140625,5.0,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,medium,,obs_i_12,0,1221,14652,0,0,1.3473348377377747,1.3306324481964111,1.7636475563049316,2.0675156116485596,0.728059125913156,0.9456008672714233,1.459743618965149
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,medium,,delta_hat_9_after_scale,0,1221,10989,0,0,1.1601577337455984,1.1196564435958862,1.8395460844039917,3.06359601020813,0.8971556400198315,1.4614273309707642,2.796027421951294
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,medium,,logvar_raw_9_clamped,0,1221,10989,0,0,12.732494276923102,13.195147514343262,14.393672943115234,14.761167526245117,4.966282586793642,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,medium,,logvar_scaled_9_policy,0,1221,10989,0,0,12.732494276923102,13.195147514343262,14.393672943115234,14.761167526245117,4.966282586793642,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,medium,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,medium,,full_aug_obs,0,1221,36630,0,0,12.864480011586183,13.32145881652832,14.514891624450684,14.864215850830078,4.966282586793642,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,medium,,obs_i_12,0,129,1548,0,0,1.249703845312429,1.2332819700241089,1.7469171285629272,1.925190806388855,0.6872537066770155,0.9838330149650574,1.1783466339111328
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,medium,,delta_hat_9_after_scale,0,129,1161,0,0,1.2726633257644122,1.3553056716918945,1.8439903259277344,1.8757215738296509,0.9944551399973935,1.3803496360778809,1.4470831155776978
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,medium,,logvar_raw_9_clamped,0,129,1161,0,0,12.91059048231258,13.351770401000977,14.255160331726074,14.522226333618164,4.973219960234886,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,medium,,logvar_scaled_9_policy,0,129,1161,0,0,12.91059048231258,13.351770401000977,14.255160331726074,14.522226333618164,4.973219960234886,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,medium,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,medium,,full_aug_obs,0,129,3870,0,0,13.042939452237862,13.456774711608887,14.38401985168457,14.578760147094727,4.973219960234886,5.0,5.0
