method_key,method,base_policy,shield_enabled,shield_config_name,eval_seed,scenario,steps,shield_trigger_rate,filter_delta_norm_mean,filter_delta_norm_p95,raw_action_unsafe_rate,filtered_action_unsafe_rate,raw_min_predicted_cpa,filtered_min_predicted_cpa,raw_ttc_min,filtered_ttc_min,a_raw_norm,a_exec_norm
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1000,eval_flow_high_density,7934,0.45752457776657424,0.3315263004536394,1.095813238620758,0.4441643559364759,0.005293672800604991,2.1726984707908557,2.899534391208296,0.0,0.0,1.4096256878357527,1.2832099822518175
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1000,eval_flow_high_speed,7522,0.350704599840468,0.23235341516981825,1.0142135620117188,0.34286094123903216,0.006381281574049455,2.383895131999458,2.828254708662685,0.0,0.0,1.3953396366952233,1.313524658065928
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1000,eval_flow_high_threat,7612,0.3399894902785076,0.22170461804708305,1.0,0.3151602732527588,0.006962690488702049,2.5988554532268897,3.118280411065134,0.0,0.0,1.3773749969592313,1.2927855620042266
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1000,eval_flow_id,6717,0.350305195771922,0.24486687912476618,1.0142135620117188,0.33020693762096176,0.004317403602798868,2.8477917826344163,3.514500373559996,0.0,0.0,1.438917336776105,1.3392826870995582
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1000,eval_flow_mixed_ood,6824,0.36474208675263775,0.2541719361220389,1.0558170080184937,0.34979484173505276,0.011576787807737398,2.5653658224532245,3.1290760324246514,0.0,0.0,1.442694409264542,1.344239353015582
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1000,eval_flow_sudden_threat,7111,0.3386302910982984,0.22937930483675392,1.0142135620117188,0.31852060188440445,0.00576571508929827,2.6175323101925385,3.1645331162356354,0.0,0.0,1.410035728023133,1.3186713196929205
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1001,eval_flow_high_density,7930,0.45422446406052963,0.32805031302184207,1.0952166855335226,0.4398486759142497,0.005674653215636823,2.17163946259764,2.885601101532428,0.0,0.0,1.411936705265415,1.2875629292817465
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1001,eval_flow_high_speed,7507,0.35153856400692685,0.23302984946007035,1.0164841771125792,0.34381244172106035,0.006660450246436659,2.377711857797435,2.8237205141632624,0.0,0.0,1.3975399166397207,1.3154212783362587
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1001,eval_flow_high_threat,7618,0.3427408768705697,0.22299772342160856,1.0,0.31753741139406666,0.0069572066159096875,2.6021927008383896,3.121565004180355,0.0,0.0,1.3800792081761264,1.2951469527590256
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1001,eval_flow_id,6733,0.35110649042031783,0.24601070863660493,1.0147076606750487,0.3310559928709342,0.0043071439180157435,2.841877874262938,3.5112110073561142,0.0,0.0,1.438299153444407,1.3382081837679256
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1001,eval_flow_mixed_ood,6900,0.3672463768115942,0.25485601745113945,1.0558170080184937,0.35,0.012028985507246378,2.5440109256196655,3.112488912668187,0.0,0.0,1.4409215427028097,1.3424404101354488
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1001,eval_flow_sudden_threat,7169,0.34035430325010463,0.2318971948577347,1.0142135620117188,0.32040730924815175,0.005719068210350118,2.612751181229589,3.1599969167045625,0.0,0.0,1.4105326611949303,1.3190797028689225
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1002,eval_flow_high_density,7901,0.45298063536261235,0.3276079902282781,1.0958412885665894,0.4390583470446779,0.005695481584609543,2.1707115605563176,2.879569668405785,0.0,0.0,1.4148815221902524,1.2909108114448504
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1002,eval_flow_high_speed,7161,0.3438067309035051,0.22948892048231434,1.0142135620117188,0.3359865940511102,0.006702974444909929,2.431566211021944,2.8779824435934733,0.0,0.0,1.4143469346446076,1.3339395466741946
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1002,eval_flow_high_threat,7655,0.3418680600914435,0.22254704793320226,1.0,0.31639451338994123,0.006792945787067277,2.607183257646546,3.1295229288340005,0.0,0.0,1.3791214330368848,1.293002828220812
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1002,eval_flow_id,6740,0.3504451038575668,0.24580306953941236,1.0142135620117188,0.3307121661721068,0.0043026706231454005,2.8384893949807797,3.5089212939326786,0.0,0.0,1.4381907772549183,1.3384893614257125
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1002,eval_flow_mixed_ood,6888,0.3620789779326365,0.24922585864545957,1.0520121216773985,0.34480255516840885,0.012049941927990708,2.5538121189858174,3.1148990383644835,0.0,0.0,1.4418228461659155,1.3454999226198447
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1002,eval_flow_sudden_threat,7136,0.33772421524663676,0.22999023942844818,1.0142135620117188,0.3179652466367713,0.005605381165919282,2.6340423496544623,3.1779790004859407,0.0,0.0,1.4123812817776318,1.3216204889987349
