method_key,method,base_policy,shield_enabled,shield_config_name,checkpoint_path,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1001,high,287,0.5505226480836237,0.44947735191637633,0.49825783972125437,0.9467824022980517,5.424426500209001,0.777562739957085,113.11846689895471,32.41901384126354,0.2394623581205621,0.2394623581205621,1.559212243477212,0.08234534151702029,0.0,3.570267237918142,0
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1001,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201003,118.46153846153847,40.686106336647065,0.22716014356064657,0.22716014356064657,1.5547731376174776,0.09116815743023023,0.0,3.6485454843499627,0
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1002,high,288,0.5520833333333334,0.4479166666666667,0.4965277777777778,0.9504312512526507,5.424973019096847,0.7835794191600548,113.49652777777777,32.574303086904735,0.2367347397076955,0.2367347397076955,1.5588144209115027,0.08256011386659125,0.0,3.5793079273790767,0
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1002,medium,12,1.0,0.0,0.8333333333333334,0.9852879255133181,5.5763401724712125,1.1336120913426082,120.91666666666667,42.7418101826236,0.2217455862356443,0.2217455862356443,1.5500729618811828,0.0940311212849634,0.0,3.7033333375129938,0
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1000,high,269,0.8215613382899628,0.17472118959107807,0.6951672862453532,0.9866398655864493,5.067901039004614,1.1407883486063064,149.79553903345726,38.68396729050586,0.29717037230192717,0.29717037230192717,1.4861826466714012,0.16119838992489038,0.0,3.2090247568439856,0
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1000,medium,31,0.8387096774193549,0.16129032258064516,0.6451612903225806,0.990477494332021,4.9877056128429675,1.118724601884042,153.16129032258064,38.959483155374265,0.31898532084335224,0.31898532084335224,1.4733672486593716,0.1668235849783607,0.0,3.1516163980630725,0
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1001,high,267,0.8202247191011236,0.1760299625468165,0.700374531835206,0.9865679588832155,5.063917482684354,1.1359309470943744,150.16104868913857,38.64605156389733,0.29891813113542476,0.29891813113542476,1.4852532011044668,0.1619189723700021,0.0,3.2079008650676197,0
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1001,medium,33,0.8181818181818182,0.18181818181818182,0.6363636363636364,0.9905530097236348,5.03686598420933,1.1026048822836443,152.21212121212122,38.547939646619085,0.3141910165070898,0.3141910165070898,1.4739653577556897,0.16672639555602453,0.0,3.201999010320071,0
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1002,high,266,0.8233082706766918,0.17293233082706766,0.7030075187969925,0.9864832825427174,5.0667785575386,1.1403361011604618,150.6203007518797,38.70429173208786,0.29738189821164734,0.29738189821164734,1.4849053547265334,0.1620404018614706,0.0,3.213330552596759,0
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1002,medium,34,0.7941176470588235,0.20588235294117646,0.6176470588235294,0.9894541434713633,5.027304527736354,1.0831172948374468,151.91176470588235,38.03602481941607,0.3167562351599468,0.3167562351599468,1.4744659604750305,0.1684961709142114,0.0,3.1751345314605417,0
