scenario,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
eval_flow_sudden_threat,attention_full_1500k,attention_full_1500k,reference,50,0.74,0.26,0.0,0.72,0.9706955151270755,1.1185749232769013,36.932236312063466,113.72,22.744,0.8633657366037368,4.963086190034131,0.9208285301923752,33.44,6.26,1.4547155336127695,0.1222430256628913,0.8927993947267532,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,50,0.0,0.06,0.94,0.24,0.9280887216469996,4.987545745372772,6.31690171400073,485.68,97.13600000000001,1.6432409715652465,3.9458951677134797,1.6517027175426484,117.92,6.26,0.999999984367066,1.2031017052041113,1.9999705171585083,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,50,0.1,0.08,0.82,0.38,0.912369148913164,4.4178028845787045,12.796753496630663,467.3,93.46,1.5972177411615849,4.036371163143439,1.6323408509790898,100.1,6.26,0.999999983106253,0.9645875211224092,1.9999793195724487,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,50,0.14,0.1,0.76,0.28,0.9395062269383538,4.360013395547867,10.71672558225618,466.72,93.344,1.5719890767335891,3.905932242454373,1.61814996778965,109.54,6.26,0.9999999847197326,1.0926647236262028,1.9999708318710328,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,50,0.72,0.28,0.0,0.72,0.8700218600031655,4.590397573709488,32.82678557448726,92.34,18.468,0.8642815768718719,3.015914893530534,0.876067898273468,26.4,6.26,0.9999999866602457,0.2338900809689628,1.8070871728658675,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,50,0.8,0.2,0.0,0.8,0.8953925099986979,3.689020136594772,35.04307781248957,99.62,19.924,0.9173177546262741,2.9324306483565277,0.9315087777376175,28.48,6.26,0.9999999851736522,0.282074538216075,1.8232611781358719,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",50,0.14,0.1,0.76,0.28,0.9445559543463737,3.7986698853969574,10.996512341802566,459.94,91.988,1.5342113095521928,3.6457674138203946,1.5656597381830215,100.82,6.26,0.9999999841947735,1.1208055318437768,1.999973316192627,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,random,random,reference,50,0.0,0.0,1.0,0.0,0.09092576849032484,31.302155723571776,-13.404603000640554,500.0,100.0,3.770690431594849,7.65736594305992,3.8201040506362913,73.16,6.26,0.7758284770806134,1.0611170798429626,2.4313824510574342,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,straight_line,straight_line,reference,50,0.06,0.94,0.0,0.06,0.3783492736789795,21.139436650276185,3.8807137802362432,32.98,6.596,0.5061520969867707,4.1038695396769205,0.6102645635604859,10.06,6.26,0.9999999787339254,3.4322620114960874e-08,1.0136523741266501e-07,0,0.0,0.0,0.0,0
eval_flow_sudden_threat,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,safety_filter,50,0.82,0.18,0.0,0.74,0.9890142873697618,0.7177659094333648,38.54791986690308,142.22,28.444000000000003,1.1368242275714875,4.637898908513006,1.1904642057418824,43.14,6.26,1.3412194798468429,0.19966720120875694,1.3738903200626373,1,0.32577547944037955,0.22162055904006528,1.341080015897751,0
eval_flow_sudden_threat,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,50,0.78,0.22,0.0,0.36,0.9874586361326354,0.740854257941246,37.430406137449815,169.36,33.872,1.1904084831476212,4.406662434029882,1.2079150772094727,48.02,6.26,1.287592904522647,0.22022639181043702,1.5513110518455506,1,0.4280596015027317,0.3198002501921269,1.626854588985443,0
