split,horizon_sec,motion_mode_id,motion_mode,axis,count,mean,median,p10,p90,min,max
train,4.0,4,crossing_or_sudden_threat,z,26523,-2.5969821716898354,-2.5674874782562256,-2.920807218551636,-2.3113827228546144,-3.6763250827789307,-1.8484057188034058
val,1.0,0,linear,x,8307,-3.1872500018607384,-3.2060294151306152,-3.5526898860931397,-2.7896995544433594,-4.041401386260986,-2.5671544075012207
val,1.0,0,linear,y,8307,-3.441708955435284,-3.4577372074127197,-3.80419864654541,-3.049747371673584,-4.304257392883301,-2.8009033203125
val,1.0,0,linear,z,8307,-4.958302879930475,-5.0,-5.0,-4.83032808303833,-5.0,-4.470852375030518
val,2.0,0,linear,x,7742,-1.716579224089571,-1.7199222445487976,-1.8848881840705871,-1.5390947222709657,-2.10105037689209,-1.4267736673355103
val,2.0,0,linear,y,7742,-1.3463077392112497,-1.3535824418067932,-1.4984557509422303,-1.177836501598358,-1.7171880006790161,-1.0829651355743408
val,2.0,0,linear,z,7742,-3.3470236871692753,-3.359709620475769,-3.707797908782959,-2.9667387962341305,-4.18176794052124,-2.7174580097198486
val,4.0,0,linear,x,6622,-1.219597962868606,-1.2254123091697693,-1.3280330538749694,-1.1035744190216064,-1.4645745754241943,-0.9977642297744751
val,4.0,0,linear,y,6622,0.1841516749659394,0.1845661997795105,0.14323593974113463,0.22474195361137395,0.0968346819281578,0.2684587240219116
val,4.0,0,linear,z,6622,-2.6569466082504674,-2.668535828590393,-2.939218544960022,-2.352745294570923,-3.2883481979370117,-2.1696853637695312
val,1.0,1,sinusoidal_lateral,x,12298,-3.2688406994719297,-3.2357486486434937,-3.7600423097610474,-2.816128349304199,-4.941683292388916,-2.1317434310913086
val,1.0,1,sinusoidal_lateral,y,12298,-3.566884254106449,-3.533879518508911,-4.089675188064575,-3.0957632541656492,-5.0,-2.4075605869293213
val,1.0,1,sinusoidal_lateral,z,12298,-4.933525167629765,-5.0,-5.0,-4.743521833419799,-5.0,-3.45341420173645
val,2.0,1,sinusoidal_lateral,x,11497,-1.7039293095869967,-1.6573587656021118,-2.1557167530059815,-1.3153577327728272,-2.9916281700134277,-0.8817501068115234
val,2.0,1,sinusoidal_lateral,y,11497,-1.3933365604686065,-1.3755220174789429,-1.6336469650268555,-1.178013563156128,-2.1883833408355713,-0.8917085528373718
val,2.0,1,sinusoidal_lateral,z,11497,-3.4339050021059174,-3.4073853492736816,-3.955533266067505,-2.9668659210205077,-5.0,-2.182070255279541
val,4.0,1,sinusoidal_lateral,x,9909,-1.204145756868845,-1.1618086099624634,-1.7491019725799561,-0.6983899235725403,-2.4454450607299805,-0.27458709478378296
val,4.0,1,sinusoidal_lateral,y,9909,0.15353713848429132,0.16298595070838928,-0.28370577096939087,0.5699755668640137,-0.802014946937561,0.9002900123596191
val,4.0,1,sinusoidal_lateral,z,9909,-2.7136629613789145,-2.6681275367736816,-3.211665630340576,-2.2975777626037597,-4.435256004333496,-1.689373254776001
val,1.0,2,accel_decel,x,7500,-3.2448869486490883,-3.2249382734298706,-3.680947494506836,-2.853997015953064,-4.544291973114014,-2.404305934906006
val,1.0,2,accel_decel,y,7500,-3.5025453293164572,-3.478763461112976,-3.9300424814224244,-3.10406756401062,-4.7757368087768555,-2.523761034011841
val,1.0,2,accel_decel,z,7500,-4.975574614651998,-5.0,-5.0,-4.93499231338501,-5.0,-4.031619548797607
val,2.0,2,accel_decel,x,6754,-1.7291447622980067,-1.7173120975494385,-1.9190358519554138,-1.5580615997314453,-2.252957582473755,-1.1452600955963135
val,2.0,2,accel_decel,y,6754,-1.3675855871555824,-1.3565530180931091,-1.5495234727859497,-1.2013654470443726,-1.9204087257385254,-0.9846950173377991
