split,horizon_sec,direction,bin,std_low,std_high,count,mean_predicted_std,mean_abs_projected_error,pct_abs_z_lt_1,pct_abs_z_lt_2
train,4.0,y_axis,4,1.1330734729766845,1.6342475414276123,32298,1.2295842170715332,0.5110535621643066,0.8617251842219332,0.9435568765867856
train,4.0,radial_xy,0,0.28679949045181274,0.5592114090919494,32298,0.5198373794555664,0.3849010467529297,0.7313146324849836,0.9373955043655954
train,4.0,radial_xy,1,0.5592114090919494,0.5953136563301087,32298,0.577332079410553,0.3359779119491577,0.8348194934670877,0.968450058827172
train,4.0,radial_xy,2,0.5953136563301087,0.6400261282920837,32297,0.6166374683380127,0.40093162655830383,0.7902901198253708,0.9548255255906122
train,4.0,radial_xy,3,0.6400261282920837,0.6998926520347596,32298,0.6680285930633545,0.4559038579463959,0.7733605796024522,0.9472103535822651
train,4.0,radial_xy,4,0.6998926520347596,1.2059608697891235,32298,0.7620196342468262,0.6181953549385071,0.7505108675459781,0.9096228868660599
train,4.0,rel_velocity_xy,0,0.3613469898700714,0.9729310274124146,32298,0.8154779076576233,0.44654619693756104,0.8341692984085702,0.9413585980556072
train,4.0,rel_velocity_xy,1,0.9729310274124146,1.0678393602371217,32298,1.0344823598861694,0.5237799286842346,0.85283918508886,0.9472413152517184
train,4.0,rel_velocity_xy,2,1.0678393602371217,1.0902929782867432,32297,1.0804697275161743,0.549767017364502,0.8394587732606744,0.9211072235811376
train,4.0,rel_velocity_xy,3,1.0902929782867432,1.1061330318450928,32298,1.0978012084960938,0.5342188477516174,0.8447272276921172,0.9229673664003963
train,4.0,rel_velocity_xy,4,1.1061330318450928,1.3231592178344727,32298,1.1272293329238892,0.6331747174263,0.8176976902594588,0.919066196049291
train,4.0,error_direction_diag_only,0,0.2868211269378662,0.5792017340660095,32298,0.5265677571296692,0.5186591744422913,0.6070654529692241,0.8967737940429747
train,4.0,error_direction_diag_only,1,0.5792017340660095,0.6751396656036377,32298,0.6223509907722473,0.4736363887786865,0.7597064833735835,0.954331537556505
train,4.0,error_direction_diag_only,2,0.6751396656036377,0.8445661306381227,32297,0.751367449760437,0.4335084557533264,0.8563024429513577,0.9654147444035049
train,4.0,error_direction_diag_only,3,0.8445661306381227,1.0476584434509277,32298,0.9574793577194214,0.8162661194801331,0.7003839247012199,0.8921605052944455
train,4.0,error_direction_diag_only,4,1.0476584434509277,1.5570849180221558,32298,1.1031115055084229,1.592692494392395,0.44117282803888785,0.711096662332033
val,1.0,x_axis,0,0.08208499848842621,0.17079514563083648,9052,0.15275758504867554,0.14205718040466309,0.6406319045514803,0.863013698630137
val,1.0,x_axis,1,0.17079514563083648,0.19106182157993318,9051,0.1814109981060028,0.11150394380092621,0.789305049165838,0.9514970721467241
val,1.0,x_axis,2,0.19106182157993318,0.20766544342041016,9050,0.19940675795078278,0.10148540884256363,0.8474033149171271,0.9713812154696133
val,1.0,x_axis,3,0.20766544342041016,0.2288447052240372,9052,0.21756303310394287,0.10808009654283524,0.8591471498011489,0.9768007070260716
val,1.0,x_axis,4,0.2288447052240372,0.4971812069416046,9052,0.24911397695541382,0.10653237998485565,0.8832302253645603,0.9870746796288113
val,1.0,y_axis,0,0.08208499848842621,0.14934533834457397,9052,0.13267545402050018,0.10400643944740295,0.7806009721608484,0.9006849315068494
val,1.0,y_axis,1,0.14934533834457397,0.16696058511734008,9051,0.15835855901241302,0.08841043710708618,0.851950060766766,0.9351452878135013
val,1.0,y_axis,2,0.16696058511734008,0.18197018504142762,9051,0.17457008361816406,0.08150023967027664,0.8816705336426914,0.9485139763562037
val,1.0,y_axis,3,0.18197018504142762,0.2009098768234253,9051,0.1905687302350998,0.08356334269046783,0.8816705336426914,0.9503922218539388
val,1.0,y_axis,4,0.2009098768234253,0.4420754015445709,9052,0.21922685205936432,0.07582400739192963,0.9147149801148917,0.9665267344233318
val,1.0,radial_xy,0,0.08208499103784561,0.16789826452732087,9052,0.15000607073307037,0.1467438042163849,0.6188687582854617,0.8601414052143173
val,1.0,radial_xy,1,0.16789826452732087,0.18798737823963166,9051,0.17834384739398956,0.11923178285360336,0.7677604684565241,0.942547784775163
val,1.0,radial_xy,2,0.18798737823963166,0.20499522686004643,9051,0.19651305675506592,0.10460811853408813,0.8350458512871506,0.9666335211578831
val,1.0,radial_xy,3,0.20499522686004643,0.22606995999813081,9051,0.21473701298236847,0.11227717250585556,0.8470887194785106,0.9707214672411888
val,1.0,radial_xy,4,0.22606995999813081,0.496980756521225,9052,0.2465003877878189,0.10716837644577026,0.8794741493592576,0.9867432611577552
val,1.0,rel_velocity_xy,0,0.08208499103784561,0.153076434135437,9052,0.13806039094924927,0.13055503368377686,0.6759832081307998,0.8678745028722934
val,1.0,rel_velocity_xy,1,0.153076434135437,0.17041617929935457,9051,0.1622597575187683,0.11204469949007034,0.7806872168821125,0.9198983537730637
val,1.0,rel_velocity_xy,2,0.17041617929935457,0.1850653737783432,9051,0.17776264250278473,0.09801282733678818,0.8418959231024197,0.9451994254778477
val,1.0,rel_velocity_xy,3,0.1850653737783432,0.20390907824039461,9051,0.19386044144630432,0.10182038694620132,0.8489669649762457,0.9507236769417744
val,1.0,rel_velocity_xy,4,0.20390907824039461,0.4622488021850586,9052,0.22201992571353912,0.09108585119247437,0.8915156871409633,0.966858152894388
val,1.0,error_direction_diag_only,0,0.08208499103784561,0.16146669089794158,9052,0.14429683983325958,0.2120126485824585,0.4759169244365886,0.7442554131683606
val,1.0,error_direction_diag_only,1,0.16146669089794158,0.18146343827247619,9051,0.17201897501945496,0.17328566312789917,0.6302066070047508,0.8655397193680257
val,1.0,error_direction_diag_only,2,0.18146343827247619,0.19910368621349336,9051,0.19005604088306427,0.16098788380622864,0.708209037675395,0.9073030604353111
val,1.0,error_direction_diag_only,3,0.19910368621349336,0.22106941342353822,9051,0.20942631363868713,0.1552726924419403,0.7585902110264059,0.9373549883990719
val,1.0,error_direction_diag_only,4,0.22106941342353822,0.4918043613433838,9052,0.24203228950500488,0.14193491637706757,0.8157313300927972,0.9690676093680954
val,2.0,x_axis,0,0.2240661233663559,0.3913966238498688,8344,0.36278417706489563,0.3352357745170593,0.62643815915628,0.8797938638542665
val,2.0,x_axis,1,0.3913966238498688,0.4157607078552246,8344,0.4042944014072418,0.23606723546981812,0.8173537871524449,0.9659635666347076
val,2.0,x_axis,2,0.4157607078552246,0.43594799637794496,8344,0.42589980363845825,0.22350038588047028,0.8467162032598274,0.9763902205177373
val,2.0,x_axis,3,0.43594799637794496,0.46004838943481446,8344,0.4472992420196533,0.25730058550834656,0.8353307766059443,0.9790268456375839
val,2.0,x_axis,4,0.46004838943481446,0.7224629521369934,8344,0.4910966455936432,0.38910219073295593,0.6726989453499521,0.9514621284755513
val,2.0,y_axis,0,0.27804040908813477,0.4731428146362305,8344,0.4475895166397095,0.25720489025115967,0.8344918504314478,0.9381591562799616
val,2.0,y_axis,1,0.4731428146362305,0.4972768485546112,8344,0.48587074875831604,0.25492265820503235,0.8513902205177373,0.9338446788111218
val,2.0,y_axis,2,0.4972768485546112,0.5159823060035705,8344,0.5064581632614136,0.22764727473258972,0.8709252157238735,0.9418744007670182
val,2.0,y_axis,3,0.5159823060035705,0.5380449891090393,8344,0.5262396931648254,0.22444967925548553,0.8716442953020134,0.9511025886864813
val,2.0,y_axis,4,0.5380449891090393,0.7756584882736206,8344,0.5585154891014099,0.2014264017343521,0.9004074784276127,0.959731543624161
val,2.0,radial_xy,0,0.24199742078781128,0.40291494131088257,8344,0.3744161128997803,0.32790666818618774,0.6412991371045063,0.8983700862895494
val,2.0,radial_xy,1,0.40291494131088257,0.4259082436561585,8344,0.41532090306282043,0.25128939747810364,0.8069271332694151,0.9593720038350911
val,2.0,radial_xy,2,0.4259082436561585,0.44577948451042176,8344,0.43576517701148987,0.2599388062953949,0.8063279002876318,0.9664429530201343
val,2.0,radial_xy,3,0.44577948451042176,0.47010618448257446,8344,0.4572868347167969,0.28597697615623474,0.8065675934803451,0.9682406519654841
val,2.0,radial_xy,4,0.47010618448257446,0.7226753830909729,8344,0.4972429573535919,0.38013336062431335,0.6822866730584851,0.9511025886864813
val,2.0,rel_velocity_xy,0,0.26509368419647217,0.46351962685585024,8344,0.4234464764595032,0.33970144391059875,0.7013422818791947,0.9197027804410355
val,2.0,rel_velocity_xy,1,0.46351962685585024,0.49137386679649353,8344,0.47846662998199463,0.29172879457473755,0.8168744007670182,0.9383988494726749
val,2.0,rel_velocity_xy,2,0.49137386679649353,0.5115744709968567,8344,0.5015179514884949,0.2500697672367096,0.8582214765100671,0.9521812080536913
val,2.0,rel_velocity_xy,3,0.5115744709968567,0.5339309930801392,8344,0.5220427513122559,0.26374924182891846,0.8559443911792906,0.9495445829338447
val,2.0,rel_velocity_xy,4,0.5339309930801392,0.7621347904205322,8344,0.554980456829071,0.24427984654903412,0.8836289549376798,0.9593720038350911
val,2.0,error_direction_diag_only,0,0.2289699912071228,0.41375749707221987,8344,0.379413366317749,0.4228558838367462,0.5334372003835091,0.8479146692233941
val,2.0,error_direction_diag_only,1,0.41375749707221987,0.44497824311256406,8344,0.4303056597709656,0.34132757782936096,0.7138063279002876,0.9364813039309684
val,2.0,error_direction_diag_only,2,0.44497824311256406,0.47018954157829285,8344,0.4574783146381378,0.38916656374931335,0.7102109300095877,0.9286912751677853
val,2.0,error_direction_diag_only,3,0.47018954157829285,0.5004011034965515,8344,0.48481860756874084,0.46311306953430176,0.6520853307766059,0.8899808245445829
val,2.0,error_direction_diag_only,4,0.5004011034965515,0.7225854396820068,8344,0.5281850695610046,0.5941874384880066,0.5497363374880153,0.8338926174496645
val,4.0,x_axis,0,0.2944274842739105,0.5095303297042847,6950,0.46158814430236816,0.46539202332496643,0.5890647482014388,0.88431654676259
