variant,step,base_scenario,risk_mean_time,wide_d2_mean_time,delta_mean_time,delta_near_miss,delta_min_distance,delta_collision,delta_success,delta_reaction,risk_pareto_positive
high_speed,750000,eval_threat_validated_sudden,9.072,8.796,0.2759999999999998,-0.02,0.1415528202056886,0.0,0.0,0.0,False
small_space,250000,eval_accel_decel,7.32,8.252000000000002,-0.9320000000000022,0.0,-0.043232364654540945,0.0,0.0,,True
small_space,250000,eval_ar1,7.212,8.684,-1.4719999999999995,0.0,-0.07303205251693745,0.0,0.0,,True
small_space,250000,eval_mixed_v2,7.151999999999999,10.556,-3.404,0.2,-0.5452380537986754,0.0,0.040000000000000036,0.0,False
small_space,250000,eval_random_switch,8.248000000000001,15.696000000000002,-7.448,0.04,-0.15222120821476004,0.02,0.020000000000000018,,False
small_space,250000,eval_random_switch_hard,16.900000000000002,34.364000000000004,-17.464000000000002,0.3,-0.23565125465393066,0.2,0.38,,False
small_space,250000,eval_sinusoidal,7.4639999999999995,9.8,-2.336000000000001,0.0,-0.05910202503204376,0.0,0.040000000000000036,,True
small_space,250000,eval_sudden_turn,8.632,15.968000000000002,-7.336000000000002,-0.02,0.002665601372718873,0.0,0.05999999999999994,0.0,True
small_space,250000,eval_threat_validated_sudden,8.180000000000001,14.196000000000002,-6.016,0.13999999999999999,-0.4015571928024291,0.04,-0.020000000000000018,0.0,False
small_space,500000,eval_accel_decel,6.056,6.984000000000001,-0.9280000000000008,0.0,-0.13223536252975476,0.0,0.0,,True
small_space,500000,eval_ar1,6.0440000000000005,7.032,-0.9879999999999995,0.0,-0.18871147871017446,0.0,0.0,,True
small_space,500000,eval_mixed_v2,6.072,6.528,-0.4559999999999995,0.11999999999999994,-0.12522648096084588,0.0,0.0,-0.028000000000000025,False
small_space,500000,eval_random_switch,6.367999999999999,6.992000000000001,-0.6240000000000014,-0.02,-0.1509228539466858,0.0,0.0,,True
small_space,500000,eval_random_switch_hard,9.06,9.56,-0.5,0.04000000000000001,-0.18855539619922657,0.02,0.0,,False
small_space,500000,eval_sinusoidal,6.1,7.032,-0.9320000000000004,0.0,-0.19157531261444083,0.0,0.0,,True
small_space,500000,eval_sudden_turn,6.4559999999999995,7.248000000000002,-0.7920000000000025,0.0,-0.19615312576293942,0.0,0.0,0.04400000000000004,True
small_space,500000,eval_threat_validated_sudden,6.252000000000002,6.864000000000001,-0.6119999999999992,0.09999999999999998,-0.20698658376932144,-0.020000000000000018,0.020000000000000018,-0.02400000000000002,False
small_space,750000,eval_accel_decel,5.880000000000001,6.964000000000002,-1.0840000000000014,0.0,-0.25918230295181277,0.0,0.0,,True
small_space,750000,eval_ar1,5.884000000000001,6.892,-1.0079999999999991,0.0,-0.2835435628890992,0.0,0.0,,True
small_space,750000,eval_mixed_v2,5.952000000000001,6.708000000000001,-0.7560000000000002,0.15999999999999998,-0.08485344439744957,0.07999999999999999,-0.07999999999999996,0.008000000000000007,False
small_space,750000,eval_random_switch,6.36,7.196000000000001,-0.8360000000000003,0.02,-0.24209833025932337,0.0,0.0,,True
small_space,750000,eval_random_switch_hard,7.0360000000000005,8.488,-1.451999999999999,0.020000000000000004,-0.24016520023345955,0.04,-0.040000000000000036,,False
small_space,750000,eval_sinusoidal,5.888000000000001,6.9,-1.0119999999999996,0.0,-0.31689341545104965,0.0,0.0,,True
small_space,750000,eval_sudden_turn,6.412000000000001,7.228000000000001,-0.8159999999999998,0.02,-0.18591352224349977,0.0,0.0,0.003999999999999976,True
small_space,750000,eval_threat_validated_sudden,6.252000000000001,7.016,-0.7639999999999993,0.14,-0.13116251468658446,0.06,-0.05999999999999994,0.0040000000000000036,False
