split,horizon_sec,direction,count,mean_abs_z,std_z,pct_abs_z_lt_1,pct_abs_z_lt_2,projected_nll,corr_projected_std_abs_error,mean_projected_std,mean_abs_projected_error,scalar_std_trace_mean,scalar_std_max_mean
val,4.0,y_axis,34748,0.49801477789878845,0.8775833249092102,0.8547830090940486,0.9599401404397375,-0.983077347278595,0.6235934522681073,0.5031246542930603,0.36544519662857056,0.6018085479736328,0.5316181182861328
val,4.0,radial_xy,34748,0.6511157155036926,0.9726890921592712,0.7782606193162196,0.9493496028548406,-1.0715603828430176,0.5991168732949373,0.316042959690094,0.2360379993915558,0.6018085479736328,0.5316181182861328
val,4.0,rel_velocity_xy,34748,0.5912878513336182,0.9501761794090271,0.8090825371244388,0.9551341084378957,-0.8683472871780396,0.6174254363843384,0.5071694850921631,0.3788171112537384,0.6018085479736328,0.5316181182861328
val,4.0,error_direction_diag_only,34748,0.845016360282898,0.8375664949417114,0.6880395994014044,0.916426844710487,-0.5900272727012634,0.6550552466011534,0.48940619826316833,0.4760647714138031,0.6018085479736328,0.5316181182861328
test,1.0,x_axis,43908,0.3657146394252777,0.6256731152534485,0.9032067049284869,0.9800491937687893,-2.128290891647339,0.5889116037921929,0.1049128919839859,0.04716845601797104,0.17486821115016937,0.1386716365814209
test,1.0,y_axis,43908,0.385463148355484,0.718207836151123,0.8934590507424615,0.970392639154596,-1.8799567222595215,0.5793675535222385,0.13423581421375275,0.06974158436059952,0.17486821115016937,0.1386716365814209
test,1.0,radial_xy,43908,0.40829598903656006,0.6876646876335144,0.8860344356381525,0.9737860982053385,-2.0320982933044434,0.5998547421466073,0.11107949912548065,0.055653590708971024,0.17486821115016937,0.1386716365814209
test,1.0,rel_velocity_xy,43908,0.41741466522216797,0.7422662973403931,0.8862394096747745,0.9686161975038717,-1.8591455221176147,0.5615415763838427,0.13429057598114014,0.0723109170794487,0.17486821115016937,0.1386716365814209
test,1.0,error_direction_diag_only,43908,0.5895304679870605,0.7212175130844116,0.8149539947162249,0.9442698369317665,-1.7073191404342651,0.598395574532784,0.13328306376934052,0.09747082740068436,0.17486821115016937,0.1386716365814209
test,2.0,x_axis,40528,0.5459761023521423,0.8369777798652649,0.82999407816818,0.9617795104619029,-1.7135103940963745,0.6316351911916441,0.15877726674079895,0.1059955582022667,0.31489577889442444,0.2674749493598938
test,2.0,y_axis,40528,0.43412530422210693,0.7815309166908264,0.8765298065534939,0.9673065534938807,-1.4658091068267822,0.6295762310344925,0.2510102689266205,0.16692779958248138,0.31489577889442444,0.2674749493598938
test,2.0,radial_xy,40528,0.5701584815979004,0.86760413646698,0.8162011448874852,0.9583251085669167,-1.5629336833953857,0.616269951735116,0.17982226610183716,0.12588085234165192,0.31489577889442444,0.2674749493598938
test,2.0,rel_velocity_xy,40528,0.5056208968162537,0.8297053575515747,0.8523736675878405,0.9647157520726412,-1.3986880779266357,0.619026335511736,0.2545264661312103,0.17571772634983063,0.31489577889442444,0.2674749493598938
test,2.0,error_direction_diag_only,40528,0.7400776743888855,0.7721127271652222,0.7427210817212792,0.9310353335965259,-1.155646562576294,0.6390714830845363,0.253309041261673,0.23161287605762482,0.31489577889442444,0.2674749493598938
test,4.0,x_axis,33889,0.6505018472671509,0.9672713875770569,0.7818761249963115,0.9461182094484936,-1.2701504230499268,0.64420546106041,0.2512001693248749,0.18922317028045654,0.5567446351051331,0.48917779326438904
test,4.0,y_axis,33889,0.47163814306259155,0.8553348183631897,0.8708725545162147,0.9614329133347104,-1.0942692756652832,0.6290544046718335,0.45882323384284973,0.33555224537849426,0.5567446351051331,0.48917779326438904
test,4.0,radial_xy,33889,0.6577439904212952,0.9824506640434265,0.7748531972026321,0.9460887013485202,-1.1223913431167603,0.6062960134959389,0.2992200255393982,0.2276056408882141,0.5567446351051331,0.48917779326438904
test,4.0,rel_velocity_xy,33889,0.5813969373703003,0.9369844794273376,0.8189973147629024,0.9570952226386144,-0.9699150919914246,0.6221959118159076,0.46393340826034546,0.34877532720565796,0.5567446351051331,0.48917779326438904
test,4.0,error_direction_diag_only,33889,0.840288519859314,0.8413310050964355,0.6970403375726637,0.9150756882764319,-0.6650558710098267,0.6557952528821666,0.4537389576435089,0.4465409219264984,0.5567446351051331,0.48917779326438904
