method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1000,high,288,0.5868055555555556,0.4131944444444444,0.5555555555555556,0.9464951761208371,4.804857337500656,0.7804636205546558,116.41319444444444,32.9464355527711,0.30553812667309466,0.3471900216615449,1.5524900556405747,0.15031097723177625,0.0,2.7991381108375406,0
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1000,medium,12,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.9111976148182297,4.458588275873873,0.9991111805041631,113.66666666666667,36.726744788780955,0.35495447407165304,0.42566346779704434,1.555341589274886,0.16500324610495098,0.0,2.3911453732634462,0
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1001,high,288,0.5798611111111112,0.4201388888888889,0.5486111111111112,0.9465513946985199,4.77224556554121,0.776346605271101,116.40277777777777,32.808994866486444,0.30772746355754194,0.3496643342058068,1.5524877712396967,0.15104455069468312,0.0,2.7702990795323226,0
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1001,medium,12,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.9111976148182297,4.458588275873873,0.9991111805041631,113.66666666666667,36.726744788780955,0.35495447407165304,0.42566346779704434,1.555341589274886,0.16500324610495098,0.0,2.3911453732634462,0
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1002,high,287,0.5818815331010453,0.4181184668989547,0.5505226480836237,0.9468422143637053,4.779214144938458,0.7784130475662311,116.41463414634147,32.85983500806443,0.3090689943085325,0.35104922892780527,1.5522791070617297,0.1510894731459221,0.0,2.7663126597356755,0
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1002,medium,13,0.8461538461538461,0.15384615384615385,0.8461538461538461,0.9172354281516191,4.55536035709722,0.9992061073963459,113.61538461538461,37.19708346580993,0.34330719322066816,0.4099385039705869,1.5528470657080007,0.16267024394660506,0.0,2.4670152144750306,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1000,high,290,0.5275862068965518,0.4724137931034483,0.4724137931034483,0.9292378148537143,5.111879742837839,0.8005353749826036,107.97241379310344,31.353295066803504,0.24462589922022157,0.2800145542894569,1.5151204287251434,0.09059207275682069,0.0,3.1622792303894305,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1000,medium,10,0.7,0.3,0.4,0.8995331787107016,4.916433429831909,1.0317134886980057,105.9,33.76666560328114,0.29975741933354405,0.33963062837136015,1.5287962350042221,0.10459669430046858,0.0,2.8761286518335707,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1001,high,291,0.5360824742268041,0.4639175257731959,0.48109965635738833,0.9311664530223497,5.110980784194691,0.8012863910689796,108.36769759450172,31.59293183882749,0.24435325212623038,0.27986388474039026,1.5141009697202392,0.09126214411233483,0.0,3.1642005294025948,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1001,medium,9,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.8914374350892148,4.969627811144004,1.0756889879703522,104.55555555555556,35.063980240338346,0.2963406354176855,0.33876096184388416,1.534935028005795,0.10428255779649004,0.0,2.8957731332134946,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1002,high,291,0.5360824742268041,0.4639175257731959,0.48109965635738833,0.9321248884099683,5.121304713619271,0.7988565877540824,108.4192439862543,31.63079490604037,0.2437247980233581,0.2793128381387579,1.514111805385943,0.09124471848192645,0.0,3.17086351023869,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1002,medium,9,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.8914374350892148,4.969627811144004,1.0756889879703522,104.55555555555556,35.063980240338346,0.2963406354176855,0.33876096184388416,1.534935028005795,0.10428255779649004,0.0,2.8957731332134946,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1000,high,290,0.503448275862069,0.496551724137931,0.4689655172413793,0.9247396026367855,5.228824408842958,0.7434084016701271,110.70689655172414,30.762944479354445,0.26385668569964,0.2980471001341908,1.5653949320259817,0.09029876235458027,0.0,3.2164098570454027,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1000,medium,10,0.6,0.4,0.5,0.962952749650632,5.154815909878813,0.8302385449409485,114.4,34.003453110701315,0.23508202753119756,0.2696965062530422,1.5531023737788323,0.09703070932863198,0.0,3.161218194799073,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1001,high,290,0.506896551724138,0.49310344827586206,0.4724137931034483,0.923740416342935,5.221084282794233,0.7473000988878052,110.82413793103449,30.791936889972273,0.26172366222125654,0.29555824030141753,1.5647513417945453,0.09081183235927784,0.0,3.216430882433554,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1001,medium,10,0.6,0.4,0.5,0.962952749650632,5.154815909878813,0.8302385449409485,114.4,34.003453110701315,0.23508202753119756,0.2696965062530422,1.5531023737788323,0.09703070932863198,0.0,3.161218194799073,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1002,high,289,0.5086505190311419,0.4913494809688581,0.4740484429065744,0.9275703857700505,5.229476583187949,0.752081046776788,111.26297577854672,30.956532432673608,0.25803273443409364,0.2918736746122888,1.5642071774102353,0.09064474608314609,0.0,3.2290234658012382,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1002,medium,11,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.9374199996853502,5.11153003677098,0.8062119483947754,111.18181818181819,32.04986451072719,0.24132888578785508,0.2739473417029958,1.55706977254709,0.09422341310911692,0.0,3.107976933800828,0
