method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_z,include_logvar,logvar_output_scale,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,adapter_output_64,0,25520,1633280,0,0,5.650062909432713,5.660347938537598,5.853743553161621,6.045830726623535,0.99984020211947,0.9999895095825195,0.9999977946281433
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,full_aug_obs,0,25487,764610,0,0,3.218745435729951,3.269775390625,3.6449363231658936,4.805688381195068,1.1291226645283436,1.4799829721450806,2.763392686843872
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,obs_i_12,0,1053,12636,0,0,1.3464275387956885,1.3265855312347412,1.7332019805908203,1.9225298166275024,0.7314835737573455,0.9298574328422546,1.0193806886672974
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,delta_hat_9_after_scale,0,1053,9477,0,0,1.366191125153816,1.3528023958206177,1.9782897233963013,2.183223247528076,1.0430969752137818,1.5670387744903564,1.7591040134429932
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,logvar_raw_9_clamped,0,1053,9477,0,0,12.848767726170031,13.21276569366455,14.217805862426758,14.467430114746094,4.979558679792616,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,logvar_scaled_9_policy,0,1053,9477,0,0,2.5697535531133666,2.6425533294677734,2.8435611724853516,2.8934860229492188,0.995911736264188,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,adapter_output_64,0,1065,68160,0,0,5.692166570206763,5.690278053283691,5.883709907531738,5.959621429443359,0.9997162420984725,0.9999900698661804,0.999995231628418
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,full_aug_obs,0,1053,31590,0,0,3.23832114537557,3.2881391048431396,3.6369388103485107,3.7801504135131836,1.1584286840892586,1.5670387744903564,1.7591040134429932
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,obs_i_12,0,867,10404,0,0,1.2305831335820128,1.1850405931472778,1.698211431503296,2.0371835231781006,0.6990915918432717,0.9837533831596375,1.218230962753296
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,delta_hat_9_after_scale,0,867,7803,0,0,0.8762292165090056,0.9338329434394836,1.5320533514022827,1.8273491859436035,0.7162959598211063,1.2801438570022583,1.478360652923584
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,logvar_raw_9_clamped,0,867,7803,0,0,13.172084839698766,13.562034606933594,14.746376037597656,15.0,4.952489075776202,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,logvar_scaled_9_policy,0,867,7803,0,0,2.6344169836143307,2.712406635284424,2.949275255203247,3.0,0.9904978157739738,1.0,1.0
