method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1001,300,0.44666666666666666,0.5533333333333333,0.42,0.9217943666496399,4.190454883608569,0.7013997362802425,105.19666666666667,29.49947847837658,0.3125521078265738,0.36463689799481563,1.4934086953015457,0.11608963635395071,0.0,2.2721010264436177,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1002,300,0.44333333333333336,0.5566666666666666,0.4166666666666667,0.921198567769756,4.2028591639056305,0.7026212309549252,105.06,29.411463008797814,0.31225427039251624,0.36437766467642274,1.4934052929005162,0.11594748442471121,0.0,2.2749011060280857,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,300,0.62,0.38,0.5966666666666667,0.9541808679547946,4.651644688831918,0.7958940568069617,115.19,33.912181588998706,0.3131133093729717,0.35652416863803554,1.541956451067425,0.1536906029741922,0.0,2.6606137243869683,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,300,0.6133333333333333,0.38666666666666666,0.59,0.9540842770968136,4.637584636941514,0.7930374698340893,115.25333333333333,33.77671638541606,0.3145517197569612,0.3580976514176901,1.542010288618681,0.15459681211127663,0.0,2.6491136773055053,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,300,0.6166666666666667,0.38333333333333336,0.5933333333333334,0.9540613489243479,4.648073467054785,0.7941528813540936,115.06333333333333,33.84461257940907,0.3136843784581389,0.35767710546358356,1.5419144274699383,0.15450392417257586,0.0,2.649352859971444,0
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1000,300,0.5966666666666667,0.4033333333333333,0.5666666666666667,0.9450832736687329,4.791006575035585,0.7892095229526361,116.30333333333333,33.09764792221149,0.30751478056903697,0.35032895950696485,1.5526041169859475,0.15089866798670326,0.0,2.782818401334577,0
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1001,300,0.59,0.41,0.56,0.9451372435033083,4.759699273954516,0.7852571882804235,116.29333333333334,32.96570486337822,0.3096165439781064,0.35270429954945626,1.5526019239611042,0.15160289851109385,0.0,2.755132931281567,0
p3_final,P3_block_projected_final,P3_block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,1002,300,0.5933333333333334,0.4066666666666667,0.5633333333333334,0.9455592536278482,4.769513814132005,0.7879807468255361,116.29333333333334,33.04778244123341,0.31055264959472506,0.35360109751299246,1.5523037186030682,0.15159130654728506,0.0,2.753343103774381,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1000,300,0.5333333333333333,0.4666666666666667,0.47,0.9282476603156139,5.105364865737641,0.8082413121064504,107.90333333333334,31.433740751352754,0.2464636165573323,0.28200175675885364,1.515576288934446,0.09105889347494227,0.0,3.1527408777709023,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1001,300,0.5433333333333333,0.45666666666666667,0.48,0.9299745824843556,5.10674019500317,0.8095184689760209,108.25333333333333,31.697063290872812,0.24591287362497408,0.28163079705349514,1.5147259914688058,0.09165275652285948,0.0,3.1561477075169218,0
p3_parent_500k,P3_block_projected_parent_500k,P3_block_projected_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,parent_500k,1002,300,0.5433333333333333,0.45666666666666667,0.48,0.9309042648103457,5.116754406545012,0.8071615597605706,108.30333333333333,31.733790466069312,0.24530327314518796,0.2810962818499117,1.5147365020645385,0.09163585366136334,0.0,3.1626107989279344,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1000,300,0.5066666666666667,0.49333333333333335,0.47,0.9260133742039138,5.226357458877486,0.7463027397791545,110.83,30.87096143373267,0.2628975304273586,0.29710208033815244,1.56498518008441,0.09052316058704866,0.0,3.214570134970525,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1001,300,0.51,0.49,0.47333333333333333,0.9250474941198583,5.2188753370303855,0.7500647137562434,110.94333333333333,30.898987430663237,0.26083560773158787,0.29469618249980506,1.5643630428606883,0.09101912825825631,0.0,3.214590459512405,0
z2_corrected_full,N3Z2CF_corrected_Z2_full,N3Z2CF_corrected_Z2_full,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,1002,300,0.51,0.49,0.47333333333333333,0.9279315382802781,5.2251518764859926,0.754065846502781,111.26,30.996621275535574,0.2574202599837316,0.2912163757389481,1.5639454725652533,0.09077596387409836,0.0,3.224585092961223,0
