method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,accel_decel,59,0.4745762711864407,0.5254237288135594,0.423728813559322,0.9525122617606795,4.979837796407081,0.727617215807155,107.0677966101695,30.95310649913763,0.2766767025177013,0.31354643938805493,1.4655503568867796,0.12988190547373338,0.0,3.105731266196116,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,ar1_velocity,84,0.6547619047619048,0.34523809523809523,0.6309523809523809,0.9622800998579647,4.847305783231938,0.8429748516175009,111.36904761904762,34.96306152426149,0.2876186125486062,0.32117487220397384,1.4610399650574037,0.14349415166944468,0.0,3.0536895575612326,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,crossing_or_sudden_threat,47,0.7021276595744681,0.2978723404255319,0.6808510638297872,0.9673325189064774,4.799155353780061,0.8732739097260415,111.87234042553192,36.09532438592422,0.2903217800166184,0.32289129039034326,1.460069826407458,0.13840071845552754,0.0,2.9246758156755224,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,linear,36,0.5,0.5,0.4166666666666667,0.9375066114908233,4.9643972638185225,0.7799183738728365,108.11111111111111,31.086768956908227,0.31501392264504263,0.3466627605026478,1.4828795467345137,0.13144513031569335,0.0,2.9439818743002517,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,sinusoidal_lateral,74,0.6081081081081081,0.3918918918918919,0.5945945945945946,0.9570515574214102,4.851034805523373,0.8165431375036368,111.0,33.84706877130074,0.2848929215031116,0.3208576902454911,1.4659682989675655,0.135783808986912,0.0,2.970169764973444,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,accel_decel,64,0.5625,0.4375,0.46875,0.9485586895646407,5.505372107215689,0.8184743905439973,113.609375,32.63120796938954,0.2281884400897852,0.26257730820056807,1.5584328981187128,0.0970112940789941,0.0,3.669790923441379,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,ar1_velocity,75,0.49333333333333335,0.5066666666666667,0.4533333333333333,0.9417999404941636,5.390325021469859,0.7091212028264999,112.29333333333334,31.136076950160756,0.2380607267197437,0.2681561912723023,1.560498425865668,0.09563944881356928,0.0,3.5270478233456886,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,crossing_or_sudden_threat,53,0.6037735849056604,0.39622641509433965,0.5660377358490566,0.953447697615779,5.523277044319582,0.7931778554646474,114.41509433962264,33.77068612024644,0.25044450069907126,0.2823291370620915,1.5597185599847656,0.09898094497494773,0.0,3.601915864839751,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,linear,36,0.5555555555555556,0.4444444444444444,0.5,0.9390486387947933,5.497493534007263,0.8805684712198045,112.13888888888889,32.199683847202714,0.22785010310734843,0.2557539205437135,1.557006936594379,0.09408145740753898,0.0,3.635221231296809,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,sinusoidal_lateral,72,0.6111111111111112,0.3888888888888889,0.5555555555555556,0.9507280407193132,5.274776820206614,0.802064766900407,114.13888888888889,33.78875168728317,0.24988495486542162,0.29009574152930934,1.5611814662362613,0.09718990372781124,0.0,3.4545843979097905,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,accel_decel,64,0.5625,0.4375,0.46875,0.9486026472757876,5.506867609104082,0.8186530480161309,113.015625,32.63696171003682,0.229216400616101,0.2635710033760067,1.557806159906919,0.09632397003898946,0.0,3.6603124659411543,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,ar1_velocity,74,0.5135135135135135,0.4864864864864865,0.47297297297297297,0.9415412842492182,5.404752134017966,0.7169205040947811,112.32432432432432,31.528426448321355,0.23800938214248468,0.2670721899810298,1.5597941470127585,0.09588970123991358,0.0,3.5435765118708913,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,crossing_or_sudden_threat,53,0.6037735849056604,0.39622641509433965,0.5660377358490566,0.9534978230235953,5.522176916443273,0.7876329725643374,114.09433962264151,33.774519059471196,0.2487970319026726,0.2796455030487536,1.5592055241662268,0.09839121441079411,0.0,3.6132349574352824,0
