method,seed,step,d_warning,sudden_reaction,sudden_near_miss,sudden_collision,sudden_min_distance,sudden_mean_time,random_success,random_mean_time,random_min_distance,random_near_miss,hard_success,hard_collision,hard_near_miss,hard_min_distance,mixed_success,mixed_collision,mixed_near_miss,mixed_min_distance,is_750k
attention_full_risk_penalty,0,750000,1.0,0.20800000000000007,0.0,0.0,1.9128647971153259,8.112,1.0,8.1,2.0643192434310915,0.0,1.0,0.0,0.06,1.5000232815742494,0.8,0.2,0.52,1.0538073086738586,1
attention_full_risk_penalty,0,1000000,1.0,1.0760000000000003,0.0,0.0,1.888251371383667,7.716,1.0,7.735999999999999,2.052177391052246,0.0,1.0,0.0,0.08,1.4576443445682525,0.94,0.06,0.44,1.1140122461318969,0
attention_full_risk_penalty,1,250000,1.0,0.20000000000000007,0.0,0.0,2.599109592437744,17.136,0.9,17.812,2.7146590685844423,0.0,0.28,0.04,0.06,1.7886218053102494,0.92,0.04,0.24,1.435051234960556,0
attention_full_risk_penalty,1,500000,1.0,0.20000000000000007,0.02,0.0,2.0437936961650847,8.796000000000001,1.0,8.675999999999998,2.15427130818367,0.02,1.0,0.0,0.04,1.5442306005954742,0.8,0.2,0.56,1.0117167872190476,0
attention_full_risk_penalty,1,750000,1.0,0.20000000000000007,0.0,0.0,1.9101585626602173,8.144,1.0,8.004,2.079492154121399,0.0,1.0,0.0,0.08,1.4114551162719726,0.74,0.26,0.64,0.9257339286804199,1
attention_full_risk_penalty,1,1000000,1.0,0.20800000000000007,0.02,0.02,1.9054045963287354,8.24,1.0,7.892,2.0545283913612367,0.0,1.0,0.0,0.02,1.4477515530586242,0.78,0.22,0.52,1.0266469836235046,0
attention_full_risk_penalty,2,250000,1.0,0.20000000000000007,0.0,0.0,2.6700266790390015,26.36,0.38,31.128,2.9492538195848463,0.02,0.08,0.0,0.08,1.6562562429904937,0.58,0.0,0.02,2.346997935771942,0
attention_full_risk_penalty,2,500000,1.0,0.20000000000000007,0.0,0.0,2.0952037358283997,8.9,0.98,8.868,2.5762457168102264,0.02,1.0,0.0,0.06,1.470211660861969,0.9,0.1,0.46,1.1306899642944337,0
attention_full_risk_penalty,2,750000,1.0,0.20000000000000007,0.0,0.0,1.9162664604187012,8.304,1.0,8.276,2.4176497292518615,0.0,1.0,0.0,0.02,1.3975292038917542,0.86,0.14,0.54,1.0779436862468719,1
attention_full_risk_penalty,2,1000000,1.0,0.2120000000000001,0.0,0.0,1.8682002854347228,7.908,1.0,7.803999999999999,2.3450095653533936,0.0,1.0,0.0,0.06,1.4006432473659516,0.86,0.14,0.5,1.082852503657341,0
