method,raw_method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,mean_time,min_distance_p10,min_distance_p25,min_distance_min,checkpoint_path,eval_csv_path
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,250000,eval_random_switch_hard,2.0,50,0.04,0.18,,,,1.1955252140760422,0.34,0.9,0.03603741318769604,2.245508823344986,2.4327376284426667,2.7372289605059885,0.042506229366449544,0.037323659031826495,36.188,0.5015463531017303,0.771089643239975,0.345542699098587,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step250000_hard.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,250000,eval_sudden_turn,2.0,50,0.82,0.0,0.20000000000000007,0.20000000000000007,0.0,2.6830143690109254,0.0,0.14,0.00014182383669321383,0.004269663572161118,0.027209791244822288,0.1989878708744896,0.0005501160414563004,0.0005500553940106204,20.875999999999998,1.894009244441986,2.1212395429611206,1.5539194345474243,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step250000_sudden.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,250000,mixed_uncertainty,2.0,50,0.86,0.0,0.20000000000000007,0.20000000000000007,0.0,1.8831507468223572,0.02,0.56,0.005835713976096005,0.3575281495960796,0.5852237276219092,1.916124094409554,0.0027049733036085643,0.002703868037326509,25.724,1.4023735880851746,1.5878845751285553,0.6157586574554443,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step250000_mixed.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,500000,eval_random_switch,2.0,50,1.0,0.0,,,,2.3108923983573915,0.0,0.28,0.002278617013289465,0.14078823803403392,0.1805200194181927,0.3219348896414544,0.0004211304856299812,0.00042112868563716293,8.692,1.6248568773269654,1.890331655740738,1.4326069355010986,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step500000_random.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,500000,eval_random_switch_hard,2.0,50,1.0,0.0,,,,1.6365449142456054,0.06,0.84,0.030241982324700947,0.6566418329427082,1.160180885110647,1.579820416279265,0.010710581142693028,0.010643850403623636,9.54,1.1899503946304322,1.296069920063019,0.7430909276008606,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step500000_hard.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,500000,eval_sudden_turn,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.143421858549118,0.02,0.3,0.0028946364691728255,0.05766276126568209,0.2913674391035759,1.2703612417716703,0.0011481788670365937,0.0011478339158038932,8.943999999999999,1.754503083229065,1.931873768568039,0.8728969693183899,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step500000_sudden.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,500000,mixed_uncertainty,2.0,50,0.82,0.18,0.20000000000000007,0.20000000000000007,0.0,1.032123187482357,0.52,0.98,0.0788459870649967,2.2654987239431805,2.640370350336336,3.138585648416875,0.04639047714802668,0.0451422528262739,8.675999999999998,0.4948489844799041,0.7583339214324951,0.2283946126699447,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step500000_mixed.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,750000,eval_random_switch,2.0,50,1.0,0.0,,,,2.2575710463523864,0.0,0.36,0.002319445461026235,0.08141463582022229,0.166250293974329,0.7733974323972603,0.0010975171715495785,0.0010788824804075945,8.68,1.715053951740265,1.9092717170715332,1.1205698251724243,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step750000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step750000_random.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,750000,eval_random_switch_hard,2.0,50,1.0,0.0,,,,1.7523277831077575,0.0,0.8,0.010720601965076602,0.4560853454373614,0.4748516765245675,0.5227771658986882,0.002122504706294391,0.0021170925988644377,9.584000000000001,1.324659252166748,1.523387372493744,1.2769666910171509,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step750000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step750000_hard.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,750000,eval_sudden_turn,2.0,50,0.98,0.02,0.20000000000000007,0.20000000000000007,0.0,2.0535946148633957,0.02,0.38,0.002512886516633425,0.04517428461218316,0.14419818441809068,2.4699767388474223,0.0015666337882203408,0.0015666141889241032,8.796,1.7520061612129212,1.8535400331020357,0.4283840358257293,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step750000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step750000_sudden.csv
