method,step,scenario,seed_count,d_warning,mean_success_rate,std_success_rate,mean_collision_rate,std_collision_rate,mean_reaction_time_eval_style,std_reaction_time_eval_style,mean_reaction_time_nan_style,std_reaction_time_nan_style,mean_nan_reaction_rate,std_nan_reaction_rate,mean_mean_min_distance,std_mean_min_distance,mean_near_miss_rate,std_near_miss_rate,mean_distance_warning_cost_nonzero_rate,std_distance_warning_cost_nonzero_rate,mean_distance_warning_cost_mean,std_distance_warning_cost_mean,mean_distance_warning_cost_p90,std_distance_warning_cost_p90,mean_distance_warning_cost_p95,std_distance_warning_cost_p95,mean_distance_warning_cost_max,std_distance_warning_cost_max,mean_risk_sum_mean,std_risk_sum_mean,mean_risk_max_mean,std_risk_max_mean,mean_mean_time,std_mean_time
attention_full_distance_penalty_d1,500000,eval_random_switch,3,1.0,1.0,0.0,0.0,0.0,,,,,,,1.6655049896240233,0.20437968926266503,0.09333333333333334,0.09451631252505217,0.09333333333333334,0.09451631252505217,1.93027007768818e-05,1.2095988502056509e-05,0.001472506808647837,0.0025504566070691562,0.0018222179049936602,0.0031338440930678653,0.013080018216575867,0.009108469949523053,0.017375680994824585,0.0020787176899365626,0.017216368389320225,0.0020606223926652838,7.1626666666666665,0.02013289182738733
attention_full_distance_penalty_d1,500000,eval_random_switch_hard,3,1.0,0.9733333333333333,0.046188021535170036,0.02666666666666667,0.046188021535170064,,,,,,,0.9738754121462504,0.04529365595156602,0.58,0.03999999999999998,0.58,0.03999999999999998,0.0034620064310683777,0.0045796105815412175,0.0638509537896869,0.0419211827751272,0.11879281402540726,0.08169551665943124,0.19262731498641603,0.11811827528561455,0.06728996497578915,0.03881122857414744,0.06586114604491737,0.03841320634779074,6.960000000000001,0.3925913906340789
attention_full_distance_penalty_d1,500000,eval_sudden_turn,3,1.0,1.0,0.0,0.0,0.0,0.5440000000000002,0.595825477803694,0.3006802721088436,0.1743833466123768,0.006666666666666667,0.011547005383792516,1.3841878732045492,0.046480628661260556,0.10000000000000002,0.03464101615137755,0.10000000000000002,0.03464101615137755,7.745161907654365e-05,0.00012640646052750184,0.0003804515311160767,0.0006589613817104165,0.0016782460177726024,0.0027429458035148507,0.06735240241296003,0.10963866119505788,0.019642293962291012,0.004414924085980243,0.019428942008564667,0.004230261807585644,7.212000000000001,0.10400000000000006
attention_full_distance_penalty_d1,500000,mixed_uncertainty,3,1.0,0.9333333333333332,0.041633319989322626,0.06666666666666667,0.041633319989322654,0.5893333333333336,0.34908642673890017,0.34429931972789124,0.12168185098251574,0.006666666666666667,0.011547005383792516,0.9385710457960764,0.06677398136812941,0.64,0.09165151389911677,0.64,0.09165151389911677,0.002694024035967356,0.0009759547133872755,0.15314464490806692,0.04051612063984351,0.22139615487295505,0.07144137079597401,0.3355202538120568,0.09825451980167556,0.0785853001385509,0.019149848804208523,0.07770064696602566,0.018723952376580543,7.390666666666667,0.22632130552233357
attention_full_distance_penalty_d1,750000,eval_random_switch,3,1.0,1.0,0.0,0.0,0.0,,,,,,,1.4976058709621427,0.21257037524857683,0.15333333333333332,0.07571877794400364,0.15333333333333332,0.07571877794400364,6.396052921691384e-05,3.135108890505205e-05,0.0012217883889939446,0.0019162512939776173,0.010347881087688386,0.006123499476363276,0.0239751275481469,0.01167342432360542,0.028395360543391184,0.001256383394777496,0.028075945232155498,0.0013921744090690251,6.94,0.060398675482166465
attention_full_distance_penalty_d1,750000,eval_random_switch_hard,3,1.0,0.9666666666666667,0.05773502691896256,0.03333333333333333,0.05773502691896259,,,,,,,0.9075855420033138,0.058708265775822006,0.7333333333333334,0.09451631252505215,0.7333333333333334,0.09451631252505215,0.00581298169576747,0.00783219993388386,0.1061038398482637,0.06435277305573008,0.16247176930383572,0.10894248243678108,0.22502020467032102,0.13732321613228626,0.08736901295681791,0.04933198129304398,0.08494903785487012,0.04846960966169431,6.686666666666667,0.4631428865191968
attention_full_distance_penalty_d1,750000,eval_sudden_turn,3,1.0,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,5.9562176870748305,4.681852953792815,0.551854256854257,0.18237410672966897,0.15333333333333332,0.13316656236958785,1.221411898136139,0.0921340908343171,0.18000000000000002,0.1216552506059644,0.18000000000000002,0.1216552506059644,0.0004397669861282278,0.0007078744612538335,0.007435297039296244,0.012525593230821436,0.017478795120668727,0.022342705754204377,0.11980280497019413,0.1818481943683588,0.03628661574029437,0.01057310166340537,0.035898083895056776,0.01066944257735775,6.934666666666668,0.1998532795160819
attention_full_distance_penalty_d1,750000,mixed_uncertainty,3,1.0,0.9333333333333332,0.041633319989322626,0.06666666666666667,0.041633319989322654,1.5360000000000003,1.2779170552113308,0.8118297872340428,0.3224814718446854,0.02,0.034641016151377546,0.9214562513430913,0.08417485940765325,0.66,0.14,0.66,0.14,0.00309214053684267,0.001307212663331813,0.13119663314014562,0.06317034243607501,0.2325716229605589,0.0968404092781564,0.4307847157807177,0.05887456380506594,0.088538384784606,0.029447207177819377,0.08786112217459803,0.02918004012669627,7.124,0.18914544668059105
attention_full_distance_penalty_d1,1000000,eval_random_switch,3,1.0,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,,,,,,,1.42317370057106,0.26569396130033734,0.20666666666666667,0.09451631252505217,0.20666666666666667,0.09451631252505217,0.00021787376748874873,0.00012990160360522117,0.007967319410769697,0.008119195741175571,0.01682967052521055,0.007703983632680267,0.10586510542993934,0.09796205794393105,0.03693461305209312,0.007119019554070078,0.0362524125252566,0.007105697204683543,6.847999999999999,0.04156921938165232
attention_full_distance_penalty_d1,1000000,eval_random_switch_hard,3,1.0,0.9866666666666667,0.023094010767585053,0.013333333333333334,0.023094010767585032,,,,,,,0.9021426031986871,0.04678192932172219,0.7600000000000001,0.13114877048604,0.7600000000000001,0.13114877048604,0.003922194684831355,0.004401830175168706,0.0876060672985069,0.04059143757311876,0.12665373162571886,0.051497826273450405,0.2177972059240979,0.13610229914033203,0.07906171516825751,0.026683508800924443,0.07635801076889034,0.0258744645900079,6.761333333333334,0.1937558601264318
