method,raw_method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,mean_time,min_distance_p10,min_distance_p25,min_distance_min,checkpoint_path,eval_csv_path,sweep_label
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,500000,eval_sudden_turn,1.5,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,1.7966441857814788,0.02,0.2,0.0006726565387543727,0.013576281298907084,0.06060621364402137,0.4013393676403929,0.0031184585207661235,0.0031177737095502457,7.972000000000001,1.383540892601013,1.5746140778064728,0.8664864897727966,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step500000_sudden.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,500000,mixed_uncertainty,1.5,50,0.9,0.1,0.20000000000000007,0.20000000000000007,0.0,1.1238591915369034,0.46,0.76,0.016937365181220198,0.8505922979365456,1.0993995793437188,1.369068878589851,0.04159194606668347,0.040727501238426826,7.964000000000001,0.5778157770633697,0.7542387247085571,0.3299278318881988,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step500000_mixed.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,750000,eval_random_switch,1.5,50,1.0,0.0,,,,1.7653246164321899,0.0,0.2,0.0001648591708180832,0.006558079322390088,0.02853284725515258,0.0545436314407652,0.0036941694246208955,0.0036908163338059672,7.328,1.4211244702339172,1.5211635828018188,1.2664542198181152,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step750000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step750000_random.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,750000,eval_random_switch_hard,1.5,50,1.0,0.0,,,,1.2504352200031281,0.12,0.96,0.009178885248061255,0.2517218295626236,0.34725068840797113,0.6311242613593073,0.013016975193750065,0.01272733172518197,7.4159999999999995,0.9983004093170167,1.1313555538654327,0.7055667042732239,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step750000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step750000_hard.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,750000,eval_sudden_turn,1.5,50,1.0,0.0,2.7039999999999997,0.5148936170212768,0.06,1.5413485157489777,0.02,0.48,0.0010446057677836332,0.060760417347314875,0.09511685450528369,0.2516573029207656,0.007206081154638423,0.007180286620059594,7.280000000000001,1.253725802898407,1.3711394965648651,0.99834543466568,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step750000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step750000_sudden.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,750000,mixed_uncertainty,1.5,50,0.96,0.04,0.2880000000000001,0.2880000000000001,0.0,1.19529332280159,0.38,0.78,0.018267083951210218,0.5663240284738595,0.6930642813654104,1.1401929900918653,0.032761903736036956,0.032479356343895115,7.7719999999999985,0.7474607527256012,0.8820857554674149,0.4322018027305603,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step750000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step750000_mixed.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,1000000,eval_random_switch,1.5,50,1.0,0.0,,,,1.757274901866913,0.0,0.24,4.082641189028962e-05,0.003958920762484282,0.008471126411140447,0.0144442378723965,0.004136128492169312,0.004075031322551721,7.228,1.437144124507904,1.514331579208374,1.3798158168792725,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step1000000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step1000000_random.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,1000000,eval_random_switch_hard,1.5,50,1.0,0.0,,,,1.3242288172245025,0.06,0.86,0.0073723178653517275,0.1749454756615436,0.26834649208426764,0.5642034175057375,0.012875618057732886,0.01240892318543042,7.4159999999999995,1.0819673657417295,1.1914168894290924,0.7488652467727661,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step1000000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step1000000_hard.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,1000000,eval_sudden_turn,1.5,50,1.0,0.0,8.36,0.28205128205128216,0.22,1.5472828578948974,0.0,0.48,0.00034578258678264785,0.02652272784439439,0.042677752454158405,0.0708794216453867,0.006354881055476609,0.006340276734490494,7.188000000000001,1.3372385025024414,1.439617782831192,1.233768105506897,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step1000000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step1000000_sudden.csv,d1.5
attention_full_distance_penalty_mid_d15,attention_full_distance_penalty_mid_d15,0,1000000,mixed_uncertainty,1.5,50,0.96,0.04,0.2320000000000001,0.2320000000000001,0.0,1.1809307610988617,0.42,0.76,0.019026458881999105,0.551195903300209,0.6921807780403503,1.29217877402347,0.03446323468792659,0.03446296620863169,7.408,0.757619458436966,0.8809780180454254,0.3632595837116241,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_mid_d15_s0_step1000000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_mid_d15_s0_step1000000_mixed.csv,d1.5
