training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase,breakdown_type,breakdown_key,threat_motion_mode,threat_class
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_id,50,0.66,0.34,0.64,0.9569688827136232,4.850834837293876,0.7909553581476212,112.46,34.859831907840274,0.3299335434188035,0.3636517415871854,1.546998207343627,0.1496390485822186,0.0,2.7538673677338905,0,N3PF-V,scenario,eval_flow_id,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_mixed_ood,50,0.7,0.3,0.7,0.9421928257165196,4.496304599427353,0.846585505604744,113.68,35.17009385641697,0.3182257791660237,0.3699855078890878,1.5443181452354315,0.1544507259376318,0.0,2.533198505402208,0,N3PF-V,scenario,eval_flow_mixed_ood,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_sudden_threat,50,0.62,0.38,0.58,0.9648319011380038,4.686708119330733,0.7886270847916603,114.42,34.29402939644656,0.3097108498899723,0.3544162737729474,1.5329174218454096,0.1533569955295499,0.0,2.587746316041253,0,N3PF-V,scenario,eval_flow_sudden_threat,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_high_density,50,0.58,0.42,0.58,0.9394562779440708,4.308693379207583,0.7491250801086425,111.92,32.51142870772823,0.3674672667944508,0.4111788918243468,1.5563675189870398,0.1546354153513324,0.0,2.2906500434458548,0,N3PF-V,scenario,eval_flow_high_density,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_high_speed,50,0.56,0.44,0.5,0.9511513399114248,4.870021971001218,0.8135554778575897,117.88,32.60429336778607,0.2484448226958691,0.2997131602988596,1.5547197457671875,0.1477461213647729,0.0,3.0012146421898,0,N3PF-V,scenario,eval_flow_high_speed,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_high_threat,50,0.6,0.4,0.58,0.9703542305438952,4.656775818063763,0.7916579806804657,120.58,34.033364871738065,0.306670757413078,0.343363068425858,1.5172575914010218,0.1647647994098765,0.0,2.7631405932088144,0,N3PF-V,scenario,eval_flow_high_threat,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_id,50,0.66,0.34,0.64,0.9567821877160624,4.839785295467242,0.7885527831315994,112.6,34.855237498004094,0.3314356442591396,0.3654689684779417,1.5477030188094674,0.1500250914201918,0.0,2.741131003134301,0,N3PF-V,scenario,eval_flow_id,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_mixed_ood,50,0.68,0.32,0.68,0.9421272989270668,4.482030957137794,0.8317158490419387,114.02,34.76517248220068,0.3219754931902745,0.3733737485662785,1.5430316019082202,0.1562551473214111,0.0,2.5235831776086,0,N3PF-V,scenario,eval_flow_mixed_ood,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_sudden_threat,50,0.6,0.4,0.56,0.9646343275383628,4.668200400771485,0.7836176481842995,114.52,33.89080138503922,0.3113163341889551,0.3554880709128559,1.5329822548391498,0.1541542978000747,0.0,2.574962604245661,0,N3PF-V,scenario,eval_flow_sudden_threat,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_density,50,0.58,0.42,0.58,0.9422539553505312,4.301633833102269,0.7471739798784256,112.34,32.673169882248025,0.3699339334611175,0.4140622251576802,1.5558359396157462,0.1552952394788501,0.0,2.278894102904544,0,N3PF-V,scenario,eval_flow_high_density,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_speed,50,0.56,0.44,0.5,0.9482960579351845,4.886853563764456,0.8114363181591034,117.28,32.44724562556147,0.2469378540547542,0.298580756117675,1.554570514158036,0.1473766216494066,0.0,3.0017290453663503,0,N3PF-V,scenario,eval_flow_high_speed,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_threat,50,0.62,0.38,0.6,0.9709490102300832,4.664848430857286,0.795247243642807,120.54,34.45392086548461,0.3055178752075643,0.3438173290774871,1.5172643012687974,0.1641551624636173,0.0,2.7644129301310416,0,N3PF-V,scenario,eval_flow_high_threat,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_id,50,0.66,0.34,0.64,0.9563532015096876,4.866074132442204,0.7924166619777679,112.26,34.84374335270833,0.3303224514410288,0.3655251745669347,1.5480657998003358,0.1496390904518736,0.0,2.7486405803021534,0,N3PF-V,scenario,eval_flow_id,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_mixed_ood,50,0.66,0.34,0.66,0.9416203788125936,4.493361663373796,0.824256374835968,113.6,34.34783726346991,0.3191841398068158,0.3696707410474815,1.543071125094985,0.1559999908126242,0.0,2.532384869211486,0,N3PF-V,scenario,eval_flow_mixed_ood,,
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_sudden_threat,50,0.62,0.38,0.58,0.9648954897080076,4.675669178788699,0.7943867096304893,114.36,34.301758486982095,0.3102100167775529,0.3544064068142427,1.53267888488173,0.1545574401790832,0.0,2.570055631913091,0,N3PF-V,scenario,eval_flow_sudden_threat,,
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1000,,55,0.4363636363636363,0.5636363636363636,0.4,0.9599115531156558,4.710750293542021,0.6956394163045017,105.03636363636365,29.886659404452395,0.2786794472636969,0.3108855995884184,1.5513615406151664,0.1030801958157049,0.0,2.761974878799038,0,,motion,accel_decel,accel_decel,
