stage,baseline_name,config_name,baseline_category,config_params,episode_filter_triggered,mean_min_predicted_cpa_raw,mean_min_predicted_cpa_filtered,min_min_predicted_cpa_raw,min_min_predicted_cpa_filtered,mean_min_ttc_raw,mean_min_ttc_filtered,min_min_ttc_raw,min_min_ttc_filtered,failure_type,nan_or_crash,method,policy_name,scenario,checkpoint_step,episode_id,episode_seed,success,collision,timeout,truncated,out_of_bounds,near_miss,progress,final_goal_distance,mean_time,episode_length_steps,episode_return,mean_min_distance,episode_min_distance,min_distance_after_threat,no_response,no_response_rate,reaction_time_eval_style,conditional_reaction_time,planned_cpa,planned_ttc,threat_class,motion_mode,replacement_count,active_obstacle_count,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_count,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm
b0_smoke,cpa_reactive_sweep,cpa_reactive_h6,cpa_reactive_sweep,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":6.0}",0,2.1706163040995596,2.1706163040995596,0.017616815865039825,0.017616815865039825,1.3298127444763668,1.3298127444763668,0.0,0.0,timeout,0,cpa_reactive_sweep,cpa_reactive_h6,eval_flow_id,-1,0,1000,0,0,1,1,0,1,0.9068287918119662,3.2291955947875977,100.0,500,7.287411338825171,3.5506371148824694,0.9908013939857483,0.9908013939857483,0,0.05185185185185185,4.2,4.2,1.003038538557868,8.84803104288935,high,crossing_or_sudden_threat,90,5,0.9999999858140945,1.248300624228146,1.999998688697815,0,0,0.0,0.0,0.0
b0_smoke,cpa_reactive_sweep,cpa_reactive_w14,cpa_reactive_sweep,"{""avoid_weight"":1.4,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":4.5}",0,2.090008700639633,2.090008700639633,0.003179538529366255,0.003179538529366255,1.5960295535249835,1.5960295535249835,0.0,0.0,near_miss,0,cpa_reactive_sweep,cpa_reactive_w14,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9848013706860465,0.5331941246986389,44.800000000000004,224,34.968103088913566,4.032272395278726,1.1765568256378174,1.1765568256378174,0,0.12755102040816327,5.000000000000001,5.000000000000001,0.420490343726993,0.8,high,ar1_velocity,36,5,0.9999999850988388,1.0271916953786653,1.9999998807907104,0,0,0.0,0.0,0.0
b0_smoke,cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,"{""avoid_weight"":2.8,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":4.5}",0,2.1385204740301043,2.1385204740301043,0.0012487494386732578,0.0012487494386732578,1.4675281358679302,1.4675281358679302,0.0,0.0,collision,0,cpa_reactive_sweep,cpa_reactive_w28,eval_flow_id,-1,0,1000,0,1,0,0,0,0,0.979805358721827,0.6887034177780151,95.2,476,2.0589480402546805,3.7135016282065574,0.579220175743103,0.579220175743103,0,0.058823529411764705,5.4,5.4,1.6751020694856549,5.61169268989919,medium,crossing_or_sudden_threat,92,5,0.9999999822187824,1.1894998299783883,1.9999992847442627,0,0,0.0,0.0,0.0
b0_smoke,distance_filter,distance_filter_d1p5_beta0p5,safety_filter,"{""beta"":0.5,""d_filter"":1.5}",1,3.1061397599770086,3.1158894986680177,0.017112024128437042,0.017112024128437042,2.307250240800258,2.332770858795565,0.0,0.0,near_miss,0,distance_filter,distance_filter_d1p5_beta0p5,eval_flow_id,1500000,0,1000,1,0,0,0,0,1,0.9781919685256519,0.7426544427871704,21.400000000000002,107,42.37882466201023,5.837418639771292,1.12704598903656,1.12704598903656,0,0.011627906976744186,0.19999999999999996,0.19999999999999996,1.1327958661632034,4.0323812495870035,high,ar1_velocity,32,5,1.5311325905479003,0.17404011042595333,1.6340789794921875,1,6,0.056074766355140186,0.05503998209382886,1.0998202562332153
b0_smoke,distance_filter,distance_filter_d1p5_beta0p8,safety_filter,"{""beta"":0.8,""d_filter"":1.5}",1,2.6988538888214086,2.735302035279434,0.003436452243477106,0.003436452243477106,2.0830204285129352,1.9983410037502094,0.0,0.0,near_miss,0,distance_filter,distance_filter_d1p5_beta0p8,eval_flow_id,1500000,0,1000,1,0,0,0,0,1,0.9817916911302471,0.6239774227142334,27.0,135,41.7710502971543,5.127932107007062,1.2555702924728394,1.2555702924728394,0,0.008771929824561403,0.19999999999999996,0.19999999999999996,1.1327958661632034,4.0323812495870035,high,ar1_velocity,36,5,1.4382833739121754,0.3084315996054115,2.1262760162353516,1,8,0.05925925925925926,0.08812631456940262,1.9509789943695068
b0_smoke,distance_filter,distance_filter_d2_beta0p5,safety_filter,"{""beta"":0.5,""d_filter"":2.0}",1,3.0519378720350145,3.090062356323277,0.0008045085123740137,0.017112024128437042,2.3933167912476105,2.3912457261542115,0.0,0.0,none,0,distance_filter,distance_filter_d2_beta0p5,eval_flow_id,1500000,0,1000,1,0,0,0,0,0,0.9802539215872169,0.7102980613708496,21.8,109,42.41658467814577,5.870429616455638,1.5176581144332886,1.5337902307510376,0,0.011363636363636364,0.19999999999999996,0.19999999999999996,1.1327958661632034,4.0323812495870035,high,ar1_velocity,34,5,1.5106658864458766,0.17385000082517596,1.2618131637573242,1,10,0.09174311926605505,0.09323435092191083,1.2030497789382935
b0_smoke,distance_filter,distance_filter_d2_beta0p8,safety_filter,"{""beta"":0.8,""d_filter"":2.0}",1,2.8176330618224426,2.894210837979908,0.017112024128437042,0.017112024128437042,2.232264986017444,2.2028619994210903,0.0,0.0,near_miss,0,distance_filter,distance_filter_d2_beta0p8,eval_flow_id,1500000,0,1000,1,0,0,0,0,1,0.991058362651296,0.7286159992218018,24.400000000000002,122,41.53632719767269,5.470344969483673,1.3941781520843506,1.5425317287445068,0,0.009900990099009901,0.19999999999999996,0.19999999999999996,1.1327958661632034,4.0323812495870035,high,ar1_velocity,34,5,1.4789151818048758,0.33496557663710524,2.233118772506714,1,13,0.10655737704918032,0.15996303519264596,2.129535436630249
b0_smoke,distance_filter,distance_filter_d2p5_beta0p5,safety_filter,"{""beta"":0.5,""d_filter"":2.5}",1,2.856112795600277,2.91711378033318,0.004245647229254246,0.00500972056761384,2.2199500252703026,2.188058807920184,0.0,0.0,near_miss,0,distance_filter,distance_filter_d2p5_beta0p5,eval_flow_id,1500000,0,1000,1,0,0,0,0,1,0.9793298686208958,0.7120440602302551,24.8,124,42.294901088695966,5.508103392777905,1.0060880184173584,1.0060880184173584,0,0.009708737864077669,0.19999999999999996,0.19999999999999996,1.1327958661632034,4.0323812495870035,high,ar1_velocity,35,5,1.4665278148266576,0.18266634485207317,1.5198280811309814,1,17,0.13709677419354838,0.1325005091005756,1.1984927654266357
b0_smoke,distance_filter,distance_filter_d2p5_beta0p8,safety_filter,"{""beta"":0.8,""d_filter"":2.5}",1,2.2480163312474897,2.4932454822187404,0.0012940223095938563,0.006819417234510183,1.7755246780028469,1.761281357762235,0.0,0.0,collision,0,distance_filter,distance_filter_d2p5_beta0p8,eval_flow_id,1500000,0,1000,0,1,0,0,0,0,1.0,1.0036648511886597,34.2,171,20.31522624545422,4.503583873573103,0.4319821000099182,0.4319821000099182,0,0.006666666666666667,0.19999999999999996,0.19999999999999996,0.7337343846628466,0.8,high,sinusoidal_lateral,47,5,1.3892024295371876,0.40957558808903044,2.2975244522094727,1,49,0.28654970760233917,0.42906240657059075,2.2869255542755127
b0_smoke,cpa_ttc_filter,cpa_ttc_filter_h3_cpa1p2,safety_filter,"{""beta"":0.8,""cpa_safe"":1.2,""horizon"":3.0}",1,1.6580074193035292,3.075084656788326,0.004101958125829697,0.019896777346730232,1.6570597689658884,1.2315293912056924,0.0,0.0,collision,0,cpa_ttc_filter,cpa_ttc_filter_h3_cpa1p2,eval_flow_id,1500000,0,1000,0,1,0,0,0,0,1.0,1.0425945520401,68.2,341,17.976630780074068,4.481573373778475,0.4499858319759369,0.4499858319759369,0,0.0032679738562091504,0.19999999999999996,0.19999999999999996,0.7425074492742212,0.8,high,linear,63,5,1.2688268816366224,0.36704586961863883,2.1776928901672363,1,179,0.5249266862170088,0.882388948345464,2.1857240200042725
b0_smoke,cpa_ttc_filter,cpa_ttc_filter_h3_cpa1p5,safety_filter,"{""beta"":0.8,""cpa_safe"":1.5,""horizon"":3.0}",1,1.801935278812294,2.4748425224597193,0.0023057509679347277,0.013016432523727417,1.4191261136040054,1.4163666928577567,0.0,0.0,collision,0,cpa_ttc_filter,cpa_ttc_filter_h3_cpa1p5,eval_flow_id,1500000,0,1000,0,1,0,0,0,0,1.0,1.347565770149231,80.60000000000001,403,15.672756520068624,3.6860321233645266,0.3630368709564209,0.3630368709564209,0,0.002793296089385475,0.19999999999999996,0.19999999999999996,1.0992618574092485,0.8,high,accel_decel,95,5,1.257684227254787,0.48666013159443955,2.0421810150146484,1,193,0.47890818858560796,0.7540479445132073,2.297619104385376
