motion_mode,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
linear,cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,1,0.0,0.0,1.0,0.0,0.9343619462512184,2.296466827392578,16.86966971859705,500.0,100.0,1.5273032188415527,3.332747364282608,1.5273032188415527,145.0,5.0,0.9999999825954438,0.8536943974328023,1.9999991655349727,0,0.0,0.0,0.0,0
linear,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,2,0.0,0.0,1.0,0.0,0.9250988650282417,2.802462577819824,8.332696649197091,500.0,100.0,1.699273407459259,3.143236912131309,1.699273407459259,136.0,6.5,0.999999983727932,1.225671523130461,1.999968409538269,0,0.0,0.0,0.0,0
linear,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,1,1.0,0.0,0.0,1.0,0.9878055525979228,0.4146446585655212,43.11845344965643,87.0,17.400000000000002,1.2986133098602295,4.223530381575398,1.2986133098602295,23.0,5.0,0.9999999869828936,0.0346267160416282,0.5199632048606873,0,0.0,0.0,0.0,0
linear,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",2,0.5,0.0,0.5,0.5,0.9305306774701727,2.3737159967422485,20.366965317664505,420.0,84.0,1.6632348895072937,3.588064098274007,1.6632348895072937,118.0,6.5,0.9999999859894023,1.0222858235223642,1.9997291564941406,0,0.0,0.0,0.0,0
linear,random,random,reference,1,0.0,0.0,1.0,0.0,0.0599352649623147,31.96264266967773,-13.842920738905672,500.0,100.0,3.2809112071990967,5.896745832443237,3.2809112071990967,142.0,5.0,0.7727677466720343,1.0567594455304987,2.2513906955718994,0,0.0,0.0,0.0,0
linear,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,1,1.0,0.0,0.0,1.0,1.0,0.6992495656013489,42.40631300053337,119.0,23.8,1.2437591552734375,4.959665234349355,1.2437591552734375,23.0,5.0,1.3864940865700983,0.1941561230174187,1.189006805419922,1,0.3361344537815126,0.2762538101993689,1.3847770690917969,0
linear,vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,1,1.0,0.0,0.0,0.0,0.9845990798290436,0.5263796448707581,39.60590454431231,348.0,69.60000000000001,1.6267493963241575,3.203986921872216,1.6267493963241575,117.0,5.0,1.0571797042656903,0.3842501557040486,2.175999879837036,1,0.6350574712643678,0.4901106538058355,2.020493030548096,0
sinusoidal_lateral,attention_full_1500k,attention_full_1500k,reference,2,1.0,0.0,0.0,1.0,0.9855480404882402,0.5209532976150513,42.849302637041546,99.0,19.8,1.0408000648021698,5.265273661777681,1.0408000648021698,18.0,5.0,1.4620993837349268,0.1103074028379563,1.1495247781276703,0,0.0,0.0,0.0,0
sinusoidal_lateral,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,1,1.0,0.0,0.0,1.0,0.99393553776887,0.7393133044242859,28.28104950245212,386.0,77.2,1.082905411720276,3.1270123717080742,1.082905411720276,69.0,5.0,0.9999999830142204,1.0576748970550318,1.999988913536072,0,0.0,0.0,0.0,0
sinusoidal_lateral,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.9037890061108743,3.3197457790374756,19.340584854426695,443.3333333333333,88.66666666666667,1.7798322836558025,3.9933203496932976,1.903794566790263,100.66666666666667,5.0,0.9999999833986012,0.9097603866937986,1.999939759572347,0,0.0,0.0,0.0,0
sinusoidal_lateral,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,2,1.0,0.0,0.0,1.0,0.9899755511920968,0.6980203986167908,42.46171961480687,100.5,20.1,1.1140642166137695,3.259553257489568,1.1140642166137695,24.5,5.0,0.9999999888570168,0.17442660950505245,1.3827783465385437,0,0.0,0.0,0.0,0
sinusoidal_lateral,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,1,1.0,0.0,0.0,1.0,0.9875474999239866,0.604801595211029,42.566261743356414,105.0,21.0,1.01780366897583,2.681699084100269,1.01780366897583,28.0,5.0,0.9999999829701016,0.1947404740311487,1.943400502204895,0,0.0,0.0,0.0,0
sinusoidal_lateral,random,random,reference,3,0.0,0.0,1.0,0.0,0.12998374277503932,29.693309148152668,-11.92303472534443,500.0,100.0,3.8327039877573648,7.907149650096893,3.8327039877573648,69.66666666666667,6.0,0.7723520968034864,1.0700492792294354,2.4246272246042886,0,0.0,0.0,0.0,0
sinusoidal_lateral,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,3,1.0,0.0,0.0,0.3333333333333333,0.9838383854250056,0.5552219053109487,42.37760329179819,135.33333333333334,27.066666666666666,1.5177276134490967,4.436441477083426,1.5274065335591633,32.666666666666664,5.0,1.3042541296804906,0.20950982034896345,1.3365322748819988,1,0.2851283406068426,0.1878666332172572,1.279456615447998,0
sinusoidal_lateral,vo_like_filter,vo_like_filter_h45_cpa2_h16,safety_filter,2,1.0,0.0,0.0,0.0,0.9815414361349364,0.6779605746269226,41.84118685716807,179.0,35.800000000000004,1.9940245747566223,4.304790755552087,1.9940245747566223,48.5,6.5,1.054840383366975,0.2472948055843257,1.7262150645256042,1,0.6393732067976164,0.5291185667047394,1.639514446258545,0
