method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_logvar,logvar_output_scale,feature_adapter,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,sinusoidal_lateral,medium,1,1.0,raw_concat,logvar_raw_9_clamped,0,248,2232,0,0,13.560553669929504,14.10776138305664,14.918081188201905,15.0,4.993117266124295,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,sinusoidal_lateral,medium,1,1.0,raw_concat,logvar_scaled_9_policy,0,248,2232,0,0,13.560553669929504,14.10776138305664,14.918081188201905,15.0,4.993117266124295,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,sinusoidal_lateral,medium,1,1.0,raw_concat,full_aug_obs,0,248,7440,0,0,13.670703985998708,14.220266342163086,14.965630865097046,15.058161735534668,4.993117266124295,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,sinusoidal_lateral,medium,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,accel_decel,medium,1,1.0,raw_concat,obs_i_12,0,216,2592,0,0,1.2946510935823123,1.2484983205795288,1.9178413450717926,2.067878246307373,0.7407685584492154,1.1693528592586517,1.2998666763305664
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,accel_decel,medium,1,1.0,raw_concat,delta_hat_9_after_scale,0,216,1944,0,0,1.36001256591192,1.3924805521965027,1.9597879648208618,2.183742046356201,1.1047045562278341,1.5161263346672058,1.8898508548736572
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,accel_decel,medium,1,1.0,raw_concat,logvar_raw_9_clamped,0,216,1944,0,0,13.679322304549041,13.939422130584717,14.678856611251831,14.894392013549805,5.0,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,accel_decel,medium,1,1.0,raw_concat,logvar_scaled_9_policy,0,216,1944,0,0,13.679322304549041,13.939422130584717,14.678856611251831,14.894392013549805,5.0,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,accel_decel,medium,1,1.0,raw_concat,full_aug_obs,0,216,6480,0,0,13.81565370824602,14.068056106567383,14.80447769165039,14.9619140625,5.0,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,accel_decel,medium,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,medium,1,1.0,raw_concat,obs_i_12,0,407,4884,0,0,1.3473348377377747,1.3306324481964111,1.7626057863235474,2.0675156116485596,0.728059125913156,0.9436018347740173,1.459743618965149
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,medium,1,1.0,raw_concat,delta_hat_9_after_scale,0,407,3663,0,0,1.1601577337455984,1.1196564435958862,1.8344185233116148,3.06359601020813,0.8971556400198315,1.4581906914710998,2.796027421951294
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,medium,1,1.0,raw_concat,logvar_raw_9_clamped,0,407,3663,0,0,12.732494276923102,13.195147514343262,14.387089157104493,14.761167526245117,4.966282586793642,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,medium,1,1.0,raw_concat,logvar_scaled_9_policy,0,407,3663,0,0,12.732494276923102,13.195147514343262,14.387089157104493,14.761167526245117,4.966282586793642,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,medium,1,1.0,raw_concat,full_aug_obs,0,407,12210,0,0,12.864480011586183,13.32145881652832,14.5081072807312,14.864215850830078,4.966282586793642,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,ar1_velocity,medium,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,medium,1,1.0,raw_concat,obs_i_12,0,43,516,0,0,1.249703845312429,1.2332819700241089,1.7441289782524108,1.925190806388855,0.6872537066770155,0.9737761080265044,1.1783466339111328
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,medium,1,1.0,raw_concat,delta_hat_9_after_scale,0,43,387,0,0,1.2726633257644122,1.3553056716918945,1.8410475254058838,1.8757215738296509,0.9944551399973935,1.3781110405921935,1.4470831155776978
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,medium,1,1.0,raw_concat,logvar_raw_9_clamped,0,43,387,0,0,12.91059048231258,13.351770401000977,14.254624843597412,14.522226333618164,4.973219960234886,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,medium,1,1.0,raw_concat,logvar_scaled_9_policy,0,43,387,0,0,12.91059048231258,13.351770401000977,14.254624843597412,14.522226333618164,4.973219960234886,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,medium,1,1.0,raw_concat,full_aug_obs,0,43,1290,0,0,13.042939452237862,13.456774711608887,14.381958198547363,14.578760147094727,4.973219960234886,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,linear,medium,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,crossing_or_sudden_threat,medium,1,1.0,raw_concat,obs_i_12,0,95,1140,0,0,1.3046565815022118,1.2339597940444946,1.843365466594696,1.9865907430648804,0.6995425669770492,1.0241575241088865,1.2758138179779053
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,crossing_or_sudden_threat,medium,1,1.0,raw_concat,delta_hat_9_after_scale,0,95,855,0,0,1.1964188202431327,1.1215627193450928,1.9079226613044737,2.399005889892578,0.9368219504230901,1.4411903381347653,2.073892831802368
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,crossing_or_sudden_threat,medium,1,1.0,raw_concat,logvar_raw_9_clamped,0,95,855,0,0,12.807569072121067,13.27927303314209,14.403840923309327,14.57778263092041,4.956874729457654,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,crossing_or_sudden_threat,medium,1,1.0,raw_concat,logvar_scaled_9_policy,0,95,855,0,0,12.807569072121067,13.27927303314209,14.403840923309327,14.57778263092041,4.956874729457654,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,crossing_or_sudden_threat,medium,1,1.0,raw_concat,full_aug_obs,0,95,2850,0,0,12.938328110544305,13.440072059631348,14.525054264068604,14.717498779296875,4.956874729457654,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_id,crossing_or_sudden_threat,medium,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,accel_decel,high,1,1.0,raw_concat,obs_i_12,0,8514,102168,0,0,1.3976572468047246,1.3745061755180359,1.8856767296791075,2.3125662803649902,0.8449462710102875,1.1107494473457336,1.471521019935608
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,accel_decel,high,1,1.0,raw_concat,delta_hat_9_after_scale,0,8514,76626,0,0,1.2572759922649839,1.2493224143981934,1.8844680547714228,3.198232889175415,0.9935124446111776,1.5271862030029295,2.9056453704833984
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,accel_decel,high,1,1.0,raw_concat,logvar_raw_9_clamped,0,8514,76626,0,0,13.320393912299911,13.68522834777832,14.713369369506836,15.0,4.976398586498786,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,accel_decel,high,1,1.0,raw_concat,logvar_scaled_9_policy,0,8514,76626,0,0,13.320393912299911,13.68522834777832,14.713369369506836,15.0,4.976398586498786,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,accel_decel,high,1,1.0,raw_concat,full_aug_obs,0,8514,255420,0,0,13.461695553692456,13.835310459136963,14.8199942111969,15.168807029724121,4.976398586498786,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,accel_decel,high,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,crossing_or_sudden_threat,high,1,1.0,raw_concat,obs_i_12,0,5970,71640,0,0,1.3677692580063339,1.3487228155136108,1.844696605205536,2.3868672847747803,0.8159613745695782,1.0518230557441712,1.428148627281189
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,crossing_or_sudden_threat,high,1,1.0,raw_concat,delta_hat_9_after_scale,0,5970,53730,0,0,1.3214005722016895,1.332198977470398,1.9956506073474887,3.4890060424804688,1.0450701885137526,1.6888983428478244,3.0843939781188965
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,crossing_or_sudden_threat,high,1,1.0,raw_concat,logvar_raw_9_clamped,0,5970,53730,0,0,13.414908492585123,13.744086265563965,14.68671703338623,15.0,4.991797155351495,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,crossing_or_sudden_threat,high,1,1.0,raw_concat,logvar_scaled_9_policy,0,5970,53730,0,0,13.414908492585123,13.744086265563965,14.68671703338623,15.0,4.991797155351495,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,crossing_or_sudden_threat,high,1,1.0,raw_concat,full_aug_obs,0,5970,179100,0,0,13.558631252084345,13.889344692230225,14.801532554626466,15.134737968444824,4.991797155351495,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,crossing_or_sudden_threat,high,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,sinusoidal_lateral,high,1,1.0,raw_concat,obs_i_12,0,15443,185316,0,0,1.4040154243414091,1.3886587619781494,1.9201749444007872,2.4517173767089844,0.83226351957822,1.0715306878089905,1.47183358669281
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,sinusoidal_lateral,high,1,1.0,raw_concat,delta_hat_9_after_scale,0,15443,138987,0,0,1.2863420812684598,1.2832980155944824,2.000442552566528,3.2323501110076904,1.0185714264475145,1.6486232638359068,2.9627857208251953
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,sinusoidal_lateral,high,1,1.0,raw_concat,logvar_raw_9_clamped,0,15443,138987,0,0,13.55875290804157,13.930683135986328,14.728112125396729,15.0,4.981329634562757,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,sinusoidal_lateral,high,1,1.0,raw_concat,logvar_scaled_9_policy,0,15443,138987,0,0,13.55875290804157,13.930683135986328,14.728112125396729,15.0,4.981329634562757,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,sinusoidal_lateral,high,1,1.0,raw_concat,full_aug_obs,0,15443,463290,0,0,13.702006565492434,14.089327812194824,14.836515331268311,15.170785903930664,4.981329634562757,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,sinusoidal_lateral,high,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,ar1_velocity,high,1,1.0,raw_concat,obs_i_12,0,9688,116256,0,0,1.3925882139536194,1.3743031024932861,1.9230572164058686,2.3682687282562256,0.8309386626845741,1.0814993560314177,1.4333868026733398
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,ar1_velocity,high,1,1.0,raw_concat,delta_hat_9_after_scale,0,9688,87192,0,0,1.2714564274591997,1.254508912563324,2.053391647338867,3.3883144855499268,1.021315160888062,1.772765380144119,2.963538646697998
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,ar1_velocity,high,1,1.0,raw_concat,logvar_raw_9_clamped,0,9688,87192,0,0,13.619915652383368,13.890392303466797,14.822707271575927,15.0,4.989785320373924,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,ar1_velocity,high,1,1.0,raw_concat,logvar_scaled_9_policy,0,9688,87192,0,0,13.619915652383368,13.890392303466797,14.822707271575927,15.0,4.989785320373924,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,ar1_velocity,high,1,1.0,raw_concat,full_aug_obs,0,9688,290640,0,0,13.761266352075078,14.04604434967041,14.924941682815552,15.185023307800293,4.989785320373924,5.0,5.0
