method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,eval_flow_sudden_threat,50,0.62,0.38,0.58,0.9648319011380038,4.686708119330733,0.7886270847916603,114.42,34.29402939644656,0.30971084988997233,0.3544162737729474,1.5329174218454096,0.15335699552954998,0.0,2.587746316041253,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_750k.zip,750000,750k,eval_flow_high_density,50,0.38,0.62,0.38,0.9027147397781774,4.44438683581616,0.6441233688592911,102.3,27.49531226141489,0.29260820444253943,0.3285455834930777,1.4948699556546412,0.09656599324919136,0.0,2.51424325440492,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_750k.zip,750000,750k,eval_flow_high_speed,50,0.5,0.5,0.38,0.935480793837269,4.7922781698628345,0.7990384462475777,112.12,30.96357511184901,0.18978115147049693,0.23402533111913784,1.4983796623168657,0.1089245138065505,0.0,3.077328739048411,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_750k.zip,750000,750k,eval_flow_high_threat,50,0.56,0.44,0.46,0.9621982376596914,4.970159178070058,0.8488171902298928,112.58,33.19044751444909,0.2271775433915174,0.25648674841977537,1.4646699478567866,0.09873255131239457,0.0,3.141791103491494,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_750k.zip,750000,750k,eval_flow_id,50,0.5,0.5,0.42,0.9422447070268916,5.195148793980394,0.7878327655792237,105.54,31.328042591365815,0.23724147300372267,0.2686641006955476,1.4920781803963026,0.09339257780067706,0.0,3.1000699682682558,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_750k.zip,750000,750k,eval_flow_mixed_ood,50,0.48,0.52,0.46,0.9154984663747424,4.656858775365865,0.7086643826961517,105.74,29.978788955824726,0.25649976672259933,0.29777334891394724,1.497747098746236,0.10872214794856555,0.0,2.7956952621738145,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_750k.zip,750000,750k,eval_flow_sudden_threat,50,0.54,0.46,0.48,0.9522700374055038,4.992068102335067,0.8348790475726128,109.02,32.39467988534765,0.23207025913088475,0.2684866210095139,1.4848358381047364,0.10272867414321624,0.0,2.9707334571466233,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/best_by_eval.zip,1500000,best_by_eval,eval_flow_high_density,50,0.5,0.5,0.48,0.9164916956595729,4.407613550511536,0.7248187845945359,112.2,30.11756461980971,0.3574202380172402,0.40442575547442544,1.5613986696410362,0.15268404812179825,0.0,2.3773606142129715,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/best_by_eval.zip,1500000,best_by_eval,eval_flow_high_speed,50,0.54,0.46,0.46,0.9443583006450829,5.0363376846864085,0.8214179229736328,117.24,31.93798575776062,0.2563076854719391,0.3044313450171007,1.5690387864498887,0.1402068257852781,0.0,3.1159126582933054,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/best_by_eval.zip,1500000,best_by_eval,eval_flow_high_threat,50,0.64,0.36,0.62,0.9629838527552336,4.8580403085017165,0.8269617426395416,120.56,34.59701546960042,0.2879130476565902,0.32679830625423023,1.537244141204285,0.15363275163407947,0.0,2.941106910284587,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/best_by_eval.zip,1500000,best_by_eval,eval_flow_id,50,0.7,0.3,0.68,0.9498105755573333,5.014993032189404,0.8489958328008652,112.52,35.362403347080395,0.31218509379797704,0.3482183711858433,1.554907186396258,0.1465835511660204,0.0,2.8736756869301945,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/best_by_eval.zip,1500000,best_by_eval,eval_flow_mixed_ood,50,0.54,0.46,0.52,0.9387860269736475,4.585252439122206,0.7372601416707039,117.22,31.77134293893658,0.3195382299566987,0.3685459401889385,1.5520183813181019,0.15856118111569636,0.0,2.618750669131054,0
