training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1001,high,280,0.4,0.6,0.38571428571428573,0.9607178702374394,5.319618920449085,0.6762988894379565,109.39642857142857,28.858139167749037,0.24758858270728176,0.28443037003587524,1.5812580974325787,0.1027312065307157,0.0,3.315587442632721,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1001,medium,20,0.7,0.3,0.7,0.9513009590590148,4.918182325279579,0.7911258399486542,117.1,34.90559405167424,0.22426828364303447,0.28854866409134805,1.5778129279908428,0.1247928140626168,0.0,3.027568731977018,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1002,high,280,0.39285714285714285,0.6071428571428571,0.37857142857142856,0.9628538140847326,5.339421890813438,0.676066149584949,109.29642857142858,28.789877944087507,0.24392657666916584,0.28093557323004703,1.5814111969823281,0.10103607338558442,0.0,3.3380635561492884,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1002,medium,20,0.7,0.3,0.7,0.9513009590590148,4.918182325279579,0.7911258399486542,117.1,34.90559405167424,0.22426828364303447,0.28854866409134805,1.5778129279908428,0.1247928140626168,0.0,3.027568731977018,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1000,high,285,0.41754385964912283,0.5824561403508772,0.39649122807017545,0.9547151992693547,4.727460935392569,0.6955428127656903,105.0982456140351,29.31503842432136,0.26733841180877377,0.307615271527265,1.5536134391019385,0.11036557837999073,0.0,2.8389514285432518,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1000,low,1,1.0,0.0,1.0,1.0,4.8965586134206465,0.9126120805740356,107.0,42.6510032497385,0.2897196261682243,0.308411214953271,1.552457861811201,0.08838999243540184,0.0,2.534976023658414,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1000,medium,14,0.6428571428571429,0.35714285714285715,0.5714285714285714,0.9131537492142682,4.397773125491042,0.816167064011097,109.28571428571429,32.67732981347985,0.30002834045776045,0.35149764980124754,1.547347682436823,0.12907577026189404,0.0,2.492958213520417,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1001,high,285,0.40350877192982454,0.5964912280701754,0.3824561403508772,0.9538522280137118,4.727986370365509,0.6908136032129589,104.87017543859649,28.981002859119886,0.267505581420553,0.3077006217777168,1.5544486180050752,0.10897500967269882,0.0,2.8369600654559983,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1001,low,1,1.0,0.0,1.0,1.0,4.8965586134206465,0.9126120805740356,107.0,42.6510032497385,0.2897196261682243,0.308411214953271,1.552457861811201,0.08838999243540184,0.0,2.534976023658414,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1001,medium,14,0.6428571428571429,0.35714285714285715,0.5714285714285714,0.9131537492142682,4.397773125491042,0.816167064011097,109.28571428571429,32.67732981347985,0.30002834045776045,0.35149764980124754,1.547347682436823,0.12907577026189404,0.0,2.492958213520417,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,high,284,0.40492957746478875,0.5950704225352113,0.38380281690140844,0.954297415467083,4.735820605966595,0.6914685210081893,104.94718309859155,29.021643633904493,0.2668339419640542,0.30709284150013205,1.5544621466191628,0.10929332748686502,0.0,2.84363222433123,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,low,1,1.0,0.0,1.0,1.0,4.8965586134206465,0.9126120805740356,107.0,42.6510032497385,0.2897196261682243,0.308411214953271,1.552457861811201,0.08838999243540184,0.0,2.534976023658414,0,nan
2,p3_s2_1500k,P3_block_projected_seed2_1500k,p3_s2_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1500000,1500k,1002,medium,15,0.6666666666666666,0.3333333333333333,0.6,0.9178913134906064,4.3885216173341375,0.8134440968434016,110.13333333333334,33.336113979850346,0.29587344562942886,0.3488295004702354,1.54572640333163,0.13158236102604132,0.0,2.486162411295712,0,nan
2,p3_s2_final,P3_block_projected_seed2_final,p3_s2_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/final.zip,1500000,final,1000,high,282,0.48226950354609927,0.5177304964539007,0.46099290780141844,0.9465748940240452,4.429384422715522,0.7266413954925453,103.97517730496453,30.56185591399433,0.29008470547624965,0.33290035906516846,1.5548554682508309,0.11746987877049697,0.0,2.552937048728161,0,nan
2,p3_s2_final,P3_block_projected_seed2_final,p3_s2_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/final.zip,1500000,final,1000,medium,18,0.6666666666666666,0.3333333333333333,0.5,0.9332770001752829,4.377335206685597,0.9738573382298151,105.88888888888889,33.713111052183535,0.3029392175695147,0.3441092839523091,1.553961456782443,0.1273600660719909,0.0,2.4383428735030774,0,nan
2,p3_s2_final,P3_block_projected_seed2_final,p3_s2_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/final.zip,1500000,final,1001,high,282,0.475177304964539,0.524822695035461,0.45390070921985815,0.9467455940836029,4.426812293973716,0.7219578075017912,103.91489361702128,30.407956108723642,0.29069605054130765,0.33364579805029765,1.5563244889358312,0.11645911737950598,0.0,2.5503199423567207,0,nan
