training_seed,method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_z,include_logvar,logvar_output_scale,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,logvar_raw_9_clamped,0,297,2673,0,0,12.704606547500148,12.681172370910645,14.206419372558592,14.402863502502441,4.995129729762222,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,logvar_scaled_9_policy,0,297,2673,0,0,2.5409213172064886,2.5362346172332764,2.8412838935852047,2.88057279586792,0.9990259461129956,1.0,1.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,adapter_output_64,0,309,19776,0,0,5.668654355416406,5.678315162658691,5.8752312660217285,5.940314769744873,0.9983591522213711,0.9998714923858643,0.9999697804450989,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,full_aug_obs,0,297,8910,0,0,3.1555596738552003,3.1161611080169678,3.6780972003936765,3.8252012729644775,1.122674539434388,1.4010287046432488,1.6616694927215576,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,obs_i_12,0,1437,17244,0,0,1.3300148903203657,1.3148002624511719,1.6965358972549442,2.0475382804870605,0.7106438006637987,0.9154449105262756,1.1341276168823242,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,delta_hat_9_after_scale,0,1437,12933,0,0,1.4832305906336591,1.4877095222473145,2.198732614517212,2.309908628463745,1.0999466835332563,1.498137712478638,1.6716333627700806,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,logvar_raw_9_clamped,0,1437,12933,0,0,12.309239638374345,12.894862174987793,14.343715286254882,14.880667686462402,4.945456638714465,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,logvar_scaled_9_policy,0,1437,12933,0,0,2.461847936435134,2.578972578048706,2.868743085861206,2.976133346557617,0.9890913285143937,1.0,1.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,adapter_output_64,0,1473,94272,0,0,5.609249394682905,5.594857215881348,5.846254825592041,5.925989151000977,0.9982073509765982,0.999915599822998,0.9999759197235107,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,full_aug_obs,0,1437,43110,0,0,3.1974575201006674,3.3282363414764404,3.695003795623779,3.7599270343780518,1.169332144653623,1.498137712478638,1.6716333627700806,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,obs_i_12,0,297,3564,0,0,1.3723907717550643,1.3546228408813477,1.7963491201400754,1.9727035760879517,0.7269619643086135,0.9569146037101743,1.1616321802139282,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,delta_hat_9_after_scale,0,297,2673,0,0,1.4066146907180246,1.4156100749969482,2.0301342964172355,2.1657774448394775,1.0613839803922056,1.5871120929718014,1.8233556747436523,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,logvar_raw_9_clamped,0,297,2673,0,0,12.534719592393047,12.735212326049805,14.424239158630371,14.800951957702637,4.981691196711377,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,logvar_scaled_9_policy,0,297,2673,0,0,2.5069439338915274,2.5470423698425293,2.884847831726074,2.9601902961730957,0.9963382404259961,1.0,1.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,adapter_output_64,0,294,18816,0,0,5.59476485057753,5.567452907562256,5.85496199131012,5.8736958503723145,0.9979319371739213,0.9999526768922806,0.9999903440475464,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,full_aug_obs,0,297,8910,0,0,3.2185930097946014,3.3019676208496094,3.724642419815063,3.7780098915100098,1.1609692128017695,1.5871120929718014,1.8233556747436523,nan
