training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1000,eval_flow_sudden_threat,50,0.68,0.32,0.66,0.9811081190166887,4.846465269388258,0.8345368865132332,114.38,35.61419021588174,0.3098256683013583,0.35469490257421554,1.5794653561464398,0.1792911541465227,0.0,2.749646299452095,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_high_density,50,0.62,0.38,0.6,0.9603874436782036,4.32650798073048,0.7857984253764152,114.38,33.633144027157165,0.35491257802819015,0.3973162227584385,1.5723668224986376,0.18849618754564992,0.0,2.4032386996256836,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_high_speed,50,0.4,0.6,0.4,0.963356189913467,4.3595022886783505,0.6684248799085617,118.52,29.212606385711464,0.32753832771826796,0.3773050467871462,1.5626986663605102,0.20222657936347985,0.0,2.5017677853844638,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_high_threat,50,0.64,0.36,0.56,0.9631139467993611,4.770716734729011,0.9089912414550781,113.36,34.15270551213417,0.33305758460935303,0.37276119956859666,1.5783186448137427,0.18434481874693734,0.0,2.7237045924640193,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_id,50,0.68,0.32,0.62,0.972342038015571,4.95043248350663,0.8550070613622666,111.76,35.339750829259444,0.3212546355164269,0.36256706679195394,1.5786951012453647,0.17190970184913035,0.0,2.7962022790723,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_mixed_ood,50,0.64,0.36,0.62,0.9500793059485018,4.420911224986159,0.8322941899299622,113.56,33.74562978775227,0.3469016007113295,0.4011032824868149,1.582139650806084,0.19093173319080836,0.0,2.458458049249766,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1001,eval_flow_sudden_threat,50,0.68,0.32,0.66,0.9810705117251542,4.818161781519684,0.838262257874012,114.68,35.6019669319318,0.3122133595964053,0.35695917770997326,1.5786461829406249,0.18389357378074345,0.0,2.729147310398298,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_density,50,0.62,0.38,0.6,0.9622114217361772,4.312706769541686,0.7834322699904441,114.7,33.710357573668105,0.3565953633279967,0.3993626444218814,1.57208389370488,0.18968453403046642,0.0,2.392862259927016,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_speed,50,0.4,0.6,0.4,0.9627741888484996,4.353861662897356,0.6755057591199874,118.46,29.18904133964876,0.325895609271666,0.37686815358326275,1.5628043293797556,0.20227008602507263,0.0,2.4901941389067814,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_high_threat,50,0.66,0.34,0.58,0.9639068593902254,4.770867281625364,0.9124179464578629,113.46,34.59575360314869,0.33207169492637706,0.37195306322994903,1.577328839740427,0.18568024058589588,0.0,2.7363409032421533,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_id,50,0.68,0.32,0.62,0.9708206222311433,4.93664914200529,0.8548672384023667,111.6,35.2788908878015,0.3196072159967539,0.3607254725149994,1.5784471938984725,0.1718219125521559,0.0,2.795099682156344,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_mixed_ood,50,0.66,0.34,0.62,0.9677311916393336,4.4564596521042095,0.8708267748355866,115.4,34.73620671370342,0.32766350547323425,0.3833889967725292,1.5799976362833918,0.18940228502764836,0.0,2.5461982241918393,0,nan
1,p3_s1_1500k,P3_block_projected_seed1_1500k,p3_s1_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1500000,1500k,1002,eval_flow_sudden_threat,50,0.68,0.32,0.66,0.9797711850441841,4.84643844668439,0.8415045797824859,114.54,35.52702201634686,0.3085626328216001,0.35292715748667436,1.579030793822173,0.18380438096971338,0.0,2.754821006673351,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1000,eval_flow_high_density,50,0.58,0.42,0.56,0.9515584973960042,4.273552402628933,0.7659503519535065,116.2,32.36874055546402,0.3720335715084695,0.40747612549269613,1.5864171591434753,0.18469038639464666,0.0,2.3731136642308917,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1000,eval_flow_high_speed,50,0.44,0.56,0.44,0.9632396199711059,4.27708297068205,0.6699578887224198,121.96,29.88850872177362,0.34873483499124036,0.3964821597637381,1.578284778826698,0.20367041720753193,0.0,2.4030068499393145,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1000,eval_flow_high_threat,50,0.62,0.38,0.56,0.9598948156772846,4.72645466431411,0.8466150945425034,114.5,33.69525952126334,0.35839792101397,0.3970551712388475,1.5953312718416328,0.17904294929494416,0.0,2.68244775673365,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1000,eval_flow_id,50,0.68,0.32,0.58,0.9696299870488099,4.977391756863575,0.908678082227707,112.42,35.25283576758385,0.3223976924212792,0.3628688881727263,1.5950666462855438,0.15921383982979687,0.0,2.814330517002822,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1000,eval_flow_mixed_ood,50,0.62,0.38,0.62,0.9444430920913607,4.435578729422897,0.7987844797968865,108.9,33.20282379112897,0.35283451394801574,0.40290782642910805,1.5974566761545317,0.1663857144087252,0.0,2.4866674946982785,0,nan
