method_key,method,steps,episode_reward,episode_length,wall_time,training_seed
block_projected_s1,n3pf_ms_block_projected_seed1,27944,14.27262,163,2026-05-15 18:48:45,1
block_projected_s1,n3pf_ms_block_projected_seed1,28160,13.174507,180,2026-05-15 18:48:45,1
block_projected_s1,n3pf_ms_block_projected_seed1,28200,12.417198,164,2026-05-15 18:48:46,1
block_projected_s1,n3pf_ms_block_projected_seed1,28316,14.583371,160,2026-05-15 18:48:46,1
block_projected_s1,n3pf_ms_block_projected_seed1,28464,0.527948,66,2026-05-15 18:48:47,1
block_projected_s1,n3pf_ms_block_projected_seed1,28580,2.421884,105,2026-05-15 18:48:47,1
block_projected_s1,n3pf_ms_block_projected_seed1,28648,11.557934,176,2026-05-15 18:48:47,1
block_projected_s1,n3pf_ms_block_projected_seed1,29312,8.52641,212,2026-05-15 18:48:51,1
block_projected_s1,n3pf_ms_block_projected_seed1,29320,8.375902,251,2026-05-15 18:48:51,1
block_projected_s1,n3pf_ms_block_projected_seed1,29388,10.663074,202,2026-05-15 18:48:52,1
block_projected_s1,n3pf_ms_block_projected_seed1,29412,9.863553,191,2026-05-15 18:48:52,1
block_projected_s1,n3pf_ms_block_projected_seed1,29520,-5.850252,27,2026-05-15 18:48:52,1
block_projected_s1,n3pf_ms_block_projected_seed1,30076,33.300186,172,2026-05-15 18:48:54,1
block_projected_s1,n3pf_ms_block_projected_seed1,30128,11.268418,204,2026-05-15 18:48:54,1
block_projected_s1,n3pf_ms_block_projected_seed1,30196,8.934566,219,2026-05-15 18:48:55,1
block_projected_s1,n3pf_ms_block_projected_seed1,30328,11.70112,202,2026-05-15 18:48:55,1
block_projected_s1,n3pf_ms_block_projected_seed1,30676,16.265819,150,2026-05-15 18:48:56,1
block_projected_s1,n3pf_ms_block_projected_seed1,30828,34.559521,175,2026-05-15 18:48:57,1
block_projected_s1,n3pf_ms_block_projected_seed1,30944,11.675941,187,2026-05-15 18:48:57,1
block_projected_s1,n3pf_ms_block_projected_seed1,31136,10.794495,202,2026-05-15 18:48:58,1
block_projected_s1,n3pf_ms_block_projected_seed1,31252,5.966774,106,2026-05-15 18:48:59,1
block_projected_s1,n3pf_ms_block_projected_seed1,31384,13.290482,177,2026-05-15 18:48:59,1
block_projected_s1,n3pf_ms_block_projected_seed1,31680,34.342065,184,2026-05-15 18:49:00,1
block_projected_s1,n3pf_ms_block_projected_seed1,31816,13.380056,170,2026-05-15 18:49:01,1
block_projected_s1,n3pf_ms_block_projected_seed1,31932,-5.052752,29,2026-05-15 18:49:01,1
block_projected_s1,n3pf_ms_block_projected_seed1,31960,32.402161,177,2026-05-15 18:49:01,1
block_projected_s1,n3pf_ms_block_projected_seed1,32040,12.860932,164,2026-05-15 18:49:02,1
block_projected_s1,n3pf_ms_block_projected_seed1,32308,2.535264,67,2026-05-15 18:49:03,1
block_projected_s1,n3pf_ms_block_projected_seed1,32432,11.576916,188,2026-05-15 18:49:03,1
block_projected_s1,n3pf_ms_block_projected_seed1,32540,14.681256,152,2026-05-15 18:49:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,32624,12.623758,166,2026-05-15 18:49:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,32728,-5.184117,26,2026-05-15 18:49:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,32952,14.078033,161,2026-05-15 18:49:07,1
block_projected_s1,n3pf_ms_block_projected_seed1,33268,11.31967,209,2026-05-15 18:49:08,1
block_projected_s1,n3pf_ms_block_projected_seed1,33276,12.686338,184,2026-05-15 18:49:08,1
block_projected_s1,n3pf_ms_block_projected_seed1,33380,-3.358067,28,2026-05-15 18:49:09,1
block_projected_s1,n3pf_ms_block_projected_seed1,33596,10.889274,217,2026-05-15 18:49:09,1
block_projected_s1,n3pf_ms_block_projected_seed1,33636,12.974403,171,2026-05-15 18:49:10,1
block_projected_s1,n3pf_ms_block_projected_seed1,34044,12.176203,192,2026-05-15 18:49:11,1
block_projected_s1,n3pf_ms_block_projected_seed1,34064,12.550835,171,2026-05-15 18:49:11,1
block_projected_s1,n3pf_ms_block_projected_seed1,34276,14.185949,160,2026-05-15 18:49:12,1
block_projected_s1,n3pf_ms_block_projected_seed1,34400,11.077881,201,2026-05-15 18:49:12,1
block_projected_s1,n3pf_ms_block_projected_seed1,34724,13.550401,170,2026-05-15 18:49:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,34748,10.736131,171,2026-05-15 18:49:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,34832,-4.987025,27,2026-05-15 18:49:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,34864,-4.210278,29,2026-05-15 18:49:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,35072,32.573671,199,2026-05-15 18:49:15,1
block_projected_s1,n3pf_ms_block_projected_seed1,35100,10.935294,175,2026-05-15 18:49:15,1
block_projected_s1,n3pf_ms_block_projected_seed1,35504,14.246103,168,2026-05-15 18:49:17,1
block_projected_s1,n3pf_ms_block_projected_seed1,35812,13.169375,185,2026-05-15 18:49:18,1
block_projected_s1,n3pf_ms_block_projected_seed1,35852,6.666533,247,2026-05-15 18:49:18,1
block_projected_s1,n3pf_ms_block_projected_seed1,35856,12.260251,189,2026-05-15 18:49:18,1
block_projected_s1,n3pf_ms_block_projected_seed1,35956,-4.215221,26,2026-05-15 18:49:18,1
block_projected_s1,n3pf_ms_block_projected_seed1,36224,10.957088,180,2026-05-15 18:49:19,1
block_projected_s1,n3pf_ms_block_projected_seed1,36268,3.515864,103,2026-05-15 18:49:19,1
block_projected_s1,n3pf_ms_block_projected_seed1,36348,8.841111,134,2026-05-15 18:49:20,1
block_projected_s1,n3pf_ms_block_projected_seed1,36684,12.096123,182,2026-05-15 18:49:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,36860,13.036147,148,2026-05-15 18:49:22,1
block_projected_s1,n3pf_ms_block_projected_seed1,36932,12.700278,177,2026-05-15 18:49:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,37028,12.974805,170,2026-05-15 18:49:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,37356,12.065796,168,2026-05-15 18:49:25,1
block_projected_s1,n3pf_ms_block_projected_seed1,37572,33.156257,178,2026-05-15 18:49:26,1
block_projected_s1,n3pf_ms_block_projected_seed1,37696,13.464647,167,2026-05-15 18:49:27,1
block_projected_s1,n3pf_ms_block_projected_seed1,37724,11.410888,198,2026-05-15 18:49:27,1
block_projected_s1,n3pf_ms_block_projected_seed1,37880,-3.044233,46,2026-05-15 18:49:27,1
block_projected_s1,n3pf_ms_block_projected_seed1,38048,13.899712,173,2026-05-15 18:49:28,1
block_projected_s1,n3pf_ms_block_projected_seed1,38200,-4.237078,38,2026-05-15 18:49:28,1
block_projected_s1,n3pf_ms_block_projected_seed1,38348,11.589757,194,2026-05-15 18:49:29,1
block_projected_s1,n3pf_ms_block_projected_seed1,38484,10.275118,190,2026-05-15 18:49:29,1
block_projected_s1,n3pf_ms_block_projected_seed1,38640,1.576283,73,2026-05-15 18:49:30,1
block_projected_s1,n3pf_ms_block_projected_seed1,38656,11.618902,194,2026-05-15 18:49:30,1
block_projected_s1,n3pf_ms_block_projected_seed1,39008,11.339738,202,2026-05-15 18:49:31,1
block_projected_s1,n3pf_ms_block_projected_seed1,39172,13.571746,172,2026-05-15 18:49:32,1
block_projected_s1,n3pf_ms_block_projected_seed1,39300,0.113601,73,2026-05-15 18:49:32,1
block_projected_s1,n3pf_ms_block_projected_seed1,39372,12.301134,183,2026-05-15 18:49:32,1
block_projected_s1,n3pf_ms_block_projected_seed1,39528,30.986057,218,2026-05-15 18:49:33,1
block_projected_s1,n3pf_ms_block_projected_seed1,39648,-4.795591,30,2026-05-15 18:49:33,1
block_projected_s1,n3pf_ms_block_projected_seed1,39952,10.272916,195,2026-05-15 18:49:35,1
block_projected_s1,n3pf_ms_block_projected_seed1,39968,13.095865,149,2026-05-15 18:49:35,1
block_projected_s1,n3pf_ms_block_projected_seed1,40056,7.046785,102,2026-05-15 18:49:35,1
block_projected_s1,n3pf_ms_block_projected_seed1,40132,10.211919,208,2026-05-15 18:49:35,1
block_projected_s1,n3pf_ms_block_projected_seed1,40684,11.403773,183,2026-05-15 18:49:37,1
block_projected_s1,n3pf_ms_block_projected_seed1,40716,10.836352,187,2026-05-15 18:49:37,1
block_projected_s1,n3pf_ms_block_projected_seed1,40812,31.998885,189,2026-05-15 18:49:38,1
block_projected_s1,n3pf_ms_block_projected_seed1,40828,32.862703,174,2026-05-15 18:49:38,1
block_projected_s1,n3pf_ms_block_projected_seed1,41312,14.192737,157,2026-05-15 18:49:41,1
block_projected_s1,n3pf_ms_block_projected_seed1,41380,33.943828,166,2026-05-15 18:49:42,1
block_projected_s1,n3pf_ms_block_projected_seed1,41532,13.362997,176,2026-05-15 18:49:42,1
block_projected_s1,n3pf_ms_block_projected_seed1,41556,32.310318,186,2026-05-15 18:49:42,1
block_projected_s1,n3pf_ms_block_projected_seed1,41780,8.411887,117,2026-05-15 18:49:43,1
block_projected_s1,n3pf_ms_block_projected_seed1,41956,14.71843,144,2026-05-15 18:49:44,1
block_projected_s1,n3pf_ms_block_projected_seed1,42212,34.207386,170,2026-05-15 18:49:45,1
block_projected_s1,n3pf_ms_block_projected_seed1,42356,11.803588,200,2026-05-15 18:49:45,1
block_projected_s1,n3pf_ms_block_projected_seed1,42372,15.000206,148,2026-05-15 18:49:45,1
block_projected_s1,n3pf_ms_block_projected_seed1,42564,14.266456,152,2026-05-15 18:49:46,1
block_projected_s1,n3pf_ms_block_projected_seed1,42848,15.05762,159,2026-05-15 18:49:47,1
block_projected_s1,n3pf_ms_block_projected_seed1,42996,13.084859,160,2026-05-15 18:49:48,1
block_projected_s1,n3pf_ms_block_projected_seed1,43056,13.697705,171,2026-05-15 18:49:48,1
block_projected_s1,n3pf_ms_block_projected_seed1,43124,15.479295,140,2026-05-15 18:49:48,1
block_projected_s1,n3pf_ms_block_projected_seed1,43412,3.423268,72,2026-05-15 18:49:49,1
