training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,crossing_or_sudden_threat,high,134,0.07462686567164178,0.11940298507462686,3.912474635543663,1.5013631030863006,1.5390052697551784,0.09124880951287141,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,crossing_or_sudden_threat,low,25,0.28,0.28,3.26361048668623,3.18264982353516,1.4872353410720824,0.19750872731208802,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,crossing_or_sudden_threat,medium,164,0.1524390243902439,0.22560975609756098,3.0935976711363056,1.5139186141942913,1.4879691484497815,0.11219361485777105,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,linear,high,365,0.3287671232876712,0.3726027397260274,2.4083330423532896,1.9301030367531882,1.5604627312046209,0.11142789416959228,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,linear,low,103,0.30097087378640774,0.44660194174757284,2.1025990387334406,1.480743338064318,1.6165774516688967,0.11568959173068259,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,linear,medium,307,0.247557003257329,0.2996742671009772,2.7502024599247847,1.1881821592710495,1.5792002670151404,0.11095173154572323,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,sinusoidal_lateral,high,674,0.3264094955489614,0.36795252225519287,2.5543368190702447,2.0668358448802677,1.5509718007432955,0.10733853442489394,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,sinusoidal_lateral,low,154,0.2857142857142857,0.38311688311688313,2.212812407565146,1.544139092824363,1.5413611775094813,0.15654398834744057,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,sinusoidal_lateral,medium,454,0.2665198237885463,0.32158590308370044,2.589682817672449,1.809019462258859,1.5774649182080172,0.10552708533826378,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,accel_decel,high,758,0.29683377308707126,0.34432717678100266,2.4572973067369706,1.9872135476073394,1.5031439676920153,0.11547442386111141,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,accel_decel,low,84,0.35714285714285715,0.42857142857142855,2.2503280491745543,2.098015263682444,1.5329041793232872,0.12257056829652616,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,accel_decel,medium,362,0.23756906077348067,0.32044198895027626,2.8548375557264243,1.6262183400602537,1.5654942090340083,0.0817649114918149,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,ar1_velocity,high,599,0.39065108514190316,0.41736227045075125,2.6868545248729796,2.199876842431112,1.503193832598067,0.14469954888033176,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,ar1_velocity,low,214,0.2570093457943925,0.32710280373831774,2.791609464590786,1.8508348334412579,1.5393803247781557,0.06911371108666758,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,ar1_velocity,medium,325,0.20307692307692307,0.23692307692307693,3.5514850227076273,1.4096110803234105,1.5298399510750404,0.09904630204805961,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,crossing_or_sudden_threat,high,459,0.3812636165577342,0.4095860566448802,2.3659375567447745,1.925171777946742,1.5205556221777057,0.1301902352694284,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,crossing_or_sudden_threat,low,69,0.4782608695652174,0.5507246376811594,2.0604428326900024,2.3627218690464598,1.4419139537258425,0.10683321709866109,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,crossing_or_sudden_threat,medium,154,0.2727272727272727,0.35064935064935066,2.402089188214053,1.8173056206528995,1.4352773416351963,0.13359190700212856,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,linear,high,429,0.18181818181818182,0.19813519813519814,4.1086878586486675,1.429710387328211,1.5428350505295334,0.10352952519566307,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,linear,low,135,0.17037037037037037,0.1925925925925926,3.1612397087668933,1.5341560353610137,1.5195443700861049,0.14297201677604957,0.0,nan
