repair_stage,source,block,dim,count,nan_count,inf_count,mean,std,min,max,p01,p05,p50,p95,p99,scenario
reference,n1_train_raw,obs_current,3,228957,0,0,0.0010243031131830815,0.11841980647130791,-0.559891402721405,0.5441984534263611,-0.3364487612247467,-0.21218326985836028,0.001098843407817185,0.2128865510225294,0.3377243077754975,train_flow_mixed
reference,n1_train_raw,obs_current,4,228957,0,0,-0.003892424558925644,0.3505440258753589,-0.8327811360359192,0.8330783247947693,-0.7371972441673279,-0.5537700057029724,-0.03076907992362976,0.548879563808441,0.7357647705078126,train_flow_mixed
reference,n1_train_raw,obs_current,5,228957,0,0,-0.0001348083037279771,0.03911857507225101,-0.5252153277397156,0.4686213433742523,-0.14054760634899138,-0.05045793354511261,0.0,0.05095722600817652,0.1403281164169312,train_flow_mixed
reference,n1_train_raw,obs_current,6,228957,0,0,0.36822420564973546,0.21564825530534187,0.07028300315141678,0.8398035764694214,0.0726652443408966,0.08524888008832932,0.36079639196395874,0.7707288265228271,0.8266203999519348,train_flow_mixed
reference,n1_train_raw,obs_current,7,228957,0,0,0.2864750773399286,0.0834085448774075,0.1600448489189148,0.4499877989292145,0.1620757132768631,0.17019528150558472,0.276928573846817,0.43017351627349854,0.44715526700019836,train_flow_mixed
reference,n1_train_raw,obs_current,8,228957,0,0,0.41229590049627496,0.11218285400996507,0.13464976847171783,0.8210892081260681,0.2164516282081604,0.24484079778194429,0.40301504731178284,0.6019105792045593,0.6488219952583314,train_flow_mixed
reference,n1_train_raw,obs_current,9,228957,0,0,-0.004378691860639306,0.18346520786739348,-0.763557493686676,0.8181746006011963,-0.4629431712627411,-0.31872525811195374,0.003869902342557907,0.29661317467689513,0.4455448687076569,train_flow_mixed
reference,n1_train_raw,obs_current,10,228957,0,0,0.5640142035404028,0.3761916216612925,0.0,1.0,0.0,0.0,0.5,1.0,1.0,train_flow_mixed
reference,n1_train_raw,obs_current,11,228957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_flow_mixed
reference,n1_train_raw,history_rel_pos,0,3897658,0,0,-0.7632605279209048,11.934111427658042,-22.9213924407959,21.47780990600586,-17.99722671508789,-16.539535522460938,-6.742868423461914,16.22096824645996,17.851848602294922,train_flow_mixed
reference,n1_train_raw,history_rel_pos,1,3897658,0,0,0.025452393131696407,4.136605346911319,-13.176140785217285,13.076032638549805,-8.188770294189453,-6.650514125823975,0.03242194652557373,6.6942057609558105,8.28266429901123,train_flow_mixed
reference,n1_train_raw,history_rel_pos,2,3897658,0,0,-0.0009006985930016193,0.26017140332653627,-1.4999909400939941,1.4996819496154785,-0.9586571455001831,-0.3667023181915283,-0.00021219253540039062,0.35987043380737305,0.9766330718994141,train_flow_mixed
reference,n1_train_raw,history_rel_vel,0,3897658,0,0,0.0031578670674599846,0.3558631095405307,-1.6796741485595703,1.6325953006744385,-1.0103390216827393,-0.6370628535747528,0.003702745772898197,0.6403613090515137,1.0169079303741455,train_flow_mixed
