method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
z_l2_scale_4,gpsi_z_l2_scale_4_screen,z_l2_scale_4_500k,500000,500k,medium,8,0.25,0.75,0.125,0.8250041796220156,5.035070580964766,0.6711101122200489,84.5,21.991989617370912,0.30770619603332006,0.3380705166444374,1.4894930405851479,0.07990754493655125,0.0,2.85996823447938,0
z_l2_scale_4,gpsi_z_l2_scale_4_screen,z_l2_scale_4_best_by_eval,500000,best_by_eval,high,293,0.29692832764505117,0.7030716723549488,0.2593856655290102,0.9159303968831861,4.962808210490423,0.6435723985726516,94.24573378839591,26.3022988500736,0.2734581299324749,0.30886356753110433,1.4559049049403363,0.08109932553533726,0.0,2.980271943803612,0
z_l2_scale_4,gpsi_z_l2_scale_4_screen,z_l2_scale_4_best_by_eval,500000,best_by_eval,medium,7,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.8160760722007262,5.0538575274800195,0.5760332090514046,84.42857142857143,19.904778200428048,0.34203390658713545,0.3768355444972949,1.4279256779065699,0.08277418167299258,0.0,2.6144698091037655,0
z_l2_scale_4,gpsi_z_l2_scale_4_screen,z_l2_scale_4_final,500000,final,high,293,0.29692832764505117,0.7030716723549488,0.2593856655290102,0.9159303968831861,4.962808210490423,0.6435723985726516,94.24573378839591,26.3022988500736,0.2734581299324749,0.30886356753110433,1.4559049049403363,0.08109932553533726,0.0,2.980271943803612,0
z_l2_scale_4,gpsi_z_l2_scale_4_screen,z_l2_scale_4_final,500000,final,medium,7,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.8160760722007262,5.0538575274800195,0.5760332090514046,84.42857142857143,19.904778200428048,0.34203390658713545,0.3768355444972949,1.4279256779065699,0.08277418167299258,0.0,2.6144698091037655,0
z_layernorm_alpha_0p5,gpsi_z_layernorm_alpha_0p5_screen,z_layernorm_alpha_0p5_250k,250000,250k,high,295,0.29152542372881357,0.7084745762711865,0.2745762711864407,0.8969987197933766,4.866715607726472,0.6424380180441727,91.4,25.62529215611273,0.29017665090939593,0.3245610890242603,1.3781307802894358,0.057981323659491144,0.0,2.872433828168638,0
z_layernorm_alpha_0p5,gpsi_z_layernorm_alpha_0p5_screen,z_layernorm_alpha_0p5_250k,250000,250k,medium,5,0.4,0.6,0.4,0.960069501008357,4.766390343702373,0.5424299657344818,97.0,30.09799916147198,0.3094495980210266,0.34545042259327974,1.3335481891192695,0.05994991519469628,0.0,2.623699952606029,0
z_layernorm_alpha_0p5,gpsi_z_layernorm_alpha_0p5_screen,z_layernorm_alpha_0p5_500k,500000,500k,high,288,0.4756944444444444,0.5243055555555556,0.4583333333333333,0.9389523574187764,5.505889569708571,0.7215827763235817,106.51388888888889,30.701548881523554,0.22948344693380365,0.26244788910338873,1.4806378738627552,0.08322958308307324,0.0,3.5831504333672077,0
z_layernorm_alpha_0p5,gpsi_z_layernorm_alpha_0p5_screen,z_layernorm_alpha_0p5_500k,500000,500k,medium,12,0.5833333333333334,0.4166666666666667,0.5,0.9650298097654982,5.603068894690712,0.7604504004120827,113.0,33.783956816034554,0.2041367591006584,0.24365937829155346,1.4657164194944288,0.08167892806367762,0.0,3.8741457685721072,0
z_layernorm_alpha_0p5,gpsi_z_layernorm_alpha_0p5_screen,z_layernorm_alpha_0p5_best_by_eval,500000,best_by_eval,high,293,0.46757679180887374,0.5324232081911263,0.4300341296928328,0.9366213338470958,5.29788238462502,0.7315382461855029,104.89078498293516,30.43212457828681,0.23683345021142962,0.26811138324085904,1.484232553705951,0.08431308020131525,0.0,3.4213790879904407,0
