method_key,method,steps,episode_reward,episode_length,wall_time,run_name,training_seed
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,22632,8.539206,229,2026-05-16 11:45:05,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,22700,11.543308,192,2026-05-16 11:45:05,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,22724,11.380385,178,2026-05-16 11:45:05,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,22740,10.49633,197,2026-05-16 11:45:05,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,23468,12.98301,182,2026-05-16 11:45:08,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,23500,11.031867,200,2026-05-16 11:45:08,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,23616,30.392878,223,2026-05-16 11:45:08,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,23760,7.37793,282,2026-05-16 11:45:09,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,24296,31.608662,207,2026-05-16 11:45:11,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,24448,8.648148,237,2026-05-16 11:45:11,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,24532,8.700115,229,2026-05-16 11:45:11,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,24604,10.081259,211,2026-05-16 11:45:13,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,25096,13.268229,162,2026-05-16 11:45:15,seed2_rerunA,2
