run_name,training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,source_phase,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,eval_flow_id,50,0.52,0.48,0.48,0.9669326318805664,5.092163698544914,0.7429703882336617,104.46,31.899823281739096,0.255227516732715,0.2870183409931329,1.5568071653805702,0.09941249392508716,0.0,3.0752730477274697,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,eval_flow_mixed_ood,50,0.34,0.66,0.32,0.9408416812503718,4.589200633900566,0.651272374689579,104.34,27.308858986228657,0.277403161200604,0.32274457756206615,1.5566016294152205,0.11398075512621501,0.0,2.754754099856338,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,eval_flow_sudden_threat,50,0.46,0.54,0.46,0.963616807750014,4.8949780750139045,0.7108079773187638,104.1,30.532132886733862,0.24220400408292542,0.28325135936945417,1.5541159131615387,0.10322061219220437,0.0,2.884335638974071,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1001,N3PF-MS-AB-StepB,eval_flow_high_density,50,0.38,0.62,0.36,0.9204111984300895,4.484266770633867,0.6961541944742202,101.8,27.141451179138702,0.3011728859614511,0.34203248220626015,1.5585514492635462,0.11297366657499498,0.0,2.5764980428340385,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1001,N3PF-MS-AB-StepB,eval_flow_high_speed,50,0.38,0.62,0.36,0.9548677100566294,4.402531584832875,0.6784978416562081,106.58,28.639195750458015,0.2718835359197647,0.318781554194561,1.5512994926124697,0.11255234150620566,0.0,2.649333915248281,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1001,N3PF-MS-AB-StepB,eval_flow_high_threat,50,0.46,0.54,0.42,0.9706611748579942,4.819292576298339,0.7160703575611115,109.9,30.66044105952982,0.26731226238349715,0.30536706720867557,1.5457258729040035,0.11979621223593362,0.0,2.9775651619827124,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1001,N3PF-MS-AB-StepB,eval_flow_id,50,0.52,0.48,0.48,0.967264240786256,5.079086309976853,0.7386161854863167,104.54,31.903509972776046,0.2550144340848497,0.2860720033511431,1.5565645461419717,0.09871591154803683,0.0,3.072287412262976,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1001,N3PF-MS-AB-StepB,eval_flow_mixed_ood,50,0.32,0.68,0.3,0.9405871132249394,4.597793721116077,0.6497580018639565,104.02,26.903064536895684,0.2775559938751758,0.32393561840528096,1.557866807904445,0.11211173454390044,0.0,2.7538167988372506,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1001,N3PF-MS-AB-StepB,eval_flow_sudden_threat,50,0.44,0.56,0.44,0.9588493121022443,4.8958589956313014,0.7053199768066406,103.66,29.946726210954207,0.24164502972395105,0.2822923850104798,1.5546554621210265,0.10291670424735011,0.0,2.889898862192817,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1002,N3PF-MS-AB-StepB,eval_flow_high_density,50,0.38,0.62,0.36,0.9202320605544849,4.475453615905822,0.699850143790245,102.26,27.12546731329612,0.30263955262811776,0.34374955537699187,1.558010927330929,0.11566379894859061,0.0,2.5660867930939317,0
