run_name,training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,crossing_or_sudden_threat,low,32,0.09375,0.125,3.902955612167716,2.2636362151665708,1.5706271529197693,0.1045419187285006,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,crossing_or_sudden_threat,medium,165,0.1696969696969697,0.22424242424242424,3.424014351649605,1.1721267457875224,1.524354244000984,0.1322961343508778,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,linear,high,356,0.2050561797752809,0.21629213483146068,3.213883485583353,1.6563365109265547,1.5833849915292826,0.11010236962792579,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,linear,low,113,0.21238938053097345,0.34513274336283184,2.642818780797245,1.4154382605860087,1.6280688184552488,0.15871643538759872,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,linear,medium,326,0.1687116564417178,0.17177914110429449,3.7563435799196547,1.1913972658859608,1.5986359620386839,0.08969182084583066,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,sinusoidal_lateral,high,633,0.24960505529225907,0.3033175355450237,3.2507761404294637,1.9661793903243716,1.5724695565482074,0.08728811493523031,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,sinusoidal_lateral,low,225,0.3022222222222222,0.4,2.7188882358248034,1.213726074500864,1.5447730398178101,0.16044517422715823,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,sinusoidal_lateral,medium,529,0.20982986767485823,0.2608695652173913,3.226776562145223,1.6663826465779945,1.5765159527272943,0.13346272291499411,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,accel_decel,high,751,0.21837549933422104,0.2529960053262317,3.5595536356551274,1.8264113222937621,1.564427583814461,0.08366853282222655,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,accel_decel,low,110,0.34545454545454546,0.37272727272727274,3.224487892555242,1.8037701820989587,1.5458900462497365,0.19692685939371585,0.0
